season,episode,title,rating,votes,episode_year
1,1,Chapter One: The Vanishing of Will Byers,8.6,59372,2016
1,2,Chapter Two: The Weirdo on Maple Street,8.3,50216,2016
1,3,"Chapter Three: Holly, Jolly",8.8,49507,2016
1,4,Chapter Four: The Body,8.9,48919,2016
1,5,Chapter Five: The Flea and the Acrobat,8.6,46679,2016
1,6,Chapter Six: The Monster,8.8,46567,2016
1,7,Chapter Seven: The Bathtub,9.1,48748,2016
1,8,Chapter Eight: The Upside Down,9.3,55971,2016
2,1,Chapter One: MADMAX,8.1,44744,2017
2,2,"Chapter Two: Trick or Treat, Freak",8.2,42851,2017
2,3,Chapter Three: The Pollywog,8.5,41900,2017
2,4,Chapter Four: Will the Wise,8.5,41899,2017
2,5,Chapter Five: Dig Dug,8.7,42109,2017
2,6,Chapter Six: The Spy,9.1,45750,2017
2,7,Chapter Seven: The Lost Sister,6,61623,2017
2,8,Chapter Eight: The Mind Flayer,9.2,48484,2017
2,9,Chapter Nine: The Gate,9.3,51652,2017
3,1,"Chapter One: Suzie, Do You Copy?",7.8,46805,2019
3,2,Chapter Two: The Mall Rats,7.9,44158,2019
3,3,Chapter Three: The Case of the Missing Lifeguard,8.2,42445,2019
3,4,Chapter Four: The Sauna Test,8.9,45114,2019
3,5,Chapter Five: The Flayed,8.5,41784,2019
3,6,Chapter Six: E Pluribus Unum,8.5,42027,2019
3,7,Chapter Seven: The Bite,8.7,43071,2019
3,8,Chapter Eight: The Battle of Starcourt,9.3,58884,2019
4,1,Chapter One: The Hellfire Club,8.1,49121,2022
4,2,Chapter Two: Vecna's Curse,8.1,44849,2022
4,3,Chapter Three: The Monster and the Superhero,8.3,43749,2022
4,4,Chapter Four: Dear Billy,9.5,74375,2022
4,5,Chapter Five: The Nina Project,8.1,43021,2022
4,6,Chapter Six: The Dive,8.5,43654,2022
4,7,Chapter Seven: The Massacre at Hawkins Lab,9.6,83779,2022
4,8,Chapter Eight: Papa,8.7,47274,2022
4,9,Chapter Nine: The Piggyback,9.2,65072,2022
5,1,Chapter One: The Crawl,7.8,83966,2025
5,2,Chapter Two: The Vanishing of Holly Wheeler,8.3,81074,2025
5,3,Chapter Three: The Turnbow Trap,8.4,81386,2025
5,4,Chapter Four: Sorcerer,9.3,125190,2025
5,5,Chapter Five: Shock Jock,7.8,88842,2025
5,6,Chapter Six: Escape from Camazotz,7.9,94109,2025
5,7,Chapter Seven: The Bridge,5.6,193657,2025
5,8,Chapter Eight: The Rightside Up,7.4,177803,2025
