season,episode,title,rating,votes,episode_year
1,1,Ambush,7.3,7885,2008
1,2,Rising Malevolence,7.3,6924,2008
1,3,Shadow of Malevolence,7.3,6473,2008
1,4,Destroy Malevolence,7.4,6317,2008
1,5,Rookies,7.9,6893,2008
1,6,Downfall of a Droid,6.5,5866,2008
1,7,Duel of the Droids,7.1,5818,2008
1,8,Bombad Jedi,6,5913,2008
1,9,Cloak of Darkness,7.9,5941,2008
1,10,Lair of Grievous,8.1,6109,2008
1,11,Dooku Captured,7.3,5520,2009
1,12,The Gungan General,6.9,5368,2009
1,13,Jedi Crash,7.3,5361,2009
1,14,Defenders of Peace,7.4,5310,2009
1,15,Trespass,7.5,5371,2009
1,16,The Hidden Enemy,7.6,5529,2009
1,17,Blue Shadow Virus,6.6,5105,2009
1,18,Mystery of a Thousand Moons,6.9,4987,2009
1,19,Storm Over Ryloth,7.6,5216,2009
1,20,Innocents of Ryloth,7.9,5374,2009
1,21,Liberty on Ryloth,7.6,5100,2009
1,22,Hostage Crisis,7.8,5211,2009
2,1,Holocron Heist,7.8,5135,2009
2,2,Cargo of Doom,8,5051,2009
2,3,Children of the Force,7.6,4889,2009
2,4,Senate Spy,6.8,4708,2009
2,5,Landing at Point Rain,8.2,5379,2009
2,6,Weapons Factory,7.8,4919,2009
2,7,Legacy of Terror,7.6,4810,2009
2,8,Brain Invaders,8,4942,2009
2,9,Grievous Intrigue,7.8,4623,2010
2,10,The Deserter,8.1,4897,2010
2,11,Lightsaber Lost,7.5,4701,2010
2,12,The Mandalore Plot,8,4993,2010
2,13,Voyage of Temptation,8.1,4950,2010
2,14,Duchess of Mandalore,7.6,4671,2010
2,15,Senate Murders,6.7,4320,2010
2,16,Cat and Mouse,7.5,4900,2010
2,17,Bounty Hunters,7.5,4529,2010
2,18,The Zillo Beast,7.3,4478,2010
2,19,The Zillo Beast Strikes Back,7.6,4508,2010
2,20,Death Trap,7.7,4507,2010
2,21,R2 Come Home,7.5,4402,2010
2,22,Lethal Trackdown,7.9,4463,2010
3,1,Clone Cadets,7.8,5515,2010
3,2,ARC Troopers,8.6,5406,2010
3,3,Supply Lines,6.9,4640,2010
3,4,Sphere of Influence,6.9,4174,2010
3,5,Corruption,6.6,4318,2010
3,6,The Academy,6.9,4280,2010
3,7,Assassin,7.5,4289,2010
3,8,Evil Plans,6.1,4182,2010
3,9,Hunt for Ziro,7,4247,2010
3,10,Heroes on Both Sides,7.5,4353,2010
3,11,Pursuit of Peace,7.1,4195,2010
3,12,Nightsisters,8.6,5210,2011
3,13,Monster,8.7,5195,2011
3,14,Witches of the Mist,8.9,5304,2011
3,15,Overlords,8.9,5918,2011
3,16,Altar of Mortis,8.6,5442,2011
3,17,Ghosts of Mortis,8.9,5898,2011
3,18,The Citadel,8.1,4563,2011
3,19,Counter Attack,8,4414,2011
3,20,Citadel Rescue,8.2,4456,2011
3,21,Padawan Lost,7.6,4251,2011
3,22,Wookiee Hunt,7.9,4303,2011
4,1,Water War,7,4174,2011
4,2,Gungan Attack,7,4052,2011
4,3,Prisoners,7.1,4011,2011
4,4,Shadow Warrior,7.1,3937,2011
4,5,Mercy Mission,6.1,3950,2011
4,6,Nomad Droids,6.2,3918,2011
4,7,Darkness on Umbara,8.5,5325,2011
4,8,The General,8.6,5276,2011
4,9,Plan of Dissent,8.8,5294,2011
4,10,Carnage of Krell,9.4,6718,2011
4,11,Kidnapped,7.6,4058,2011
4,12,Slaves of the Republic,7.8,4120,2011
4,13,Escape from Kadavo,8.1,4154,2012
4,14,A Friend in Need,7.9,4161,2012
4,15,Deception,8.3,4397,2012
4,16,Friends and Enemies,8.3,4321,2012
4,17,The Box,8.7,4806,2012
4,18,Crisis on Naboo,8.3,4288,2012
4,19,Massacre,8.1,4392,2012
4,20,Bounty,8.2,4353,2012
4,21,Brothers,8.2,4648,2012
4,22,Revenge,9.1,5521,2012
5,1,Revival,8.8,5258,2012
5,2,A War on Two Fronts,7.3,4025,2012
5,3,Front Runners,7.3,3939,2012
5,4,The Soft War,7.4,3910,2012
5,5,Tipping Points,7.9,4032,2012
5,6,The Gathering,7.8,4197,2012
5,7,A Test of Strength,7.6,3964,2012
5,8,Bound for Rescue,7.3,3874,2012
5,9,A Necessary Bond,7.9,3979,2012
5,10,Secret Weapons,6.3,3881,2012
5,11,A Sunny Day in the Void,6,3978,2012
5,12,Missing in Action,7.2,3936,2013
5,13,Point of No Return,7,3762,2013
5,14,Eminence,8.8,5234,2013
5,15,Shades of Reason,9.1,5694,2013
5,16,The Lawless,9.7,8675,2013
5,17,Sabotage,8.1,4771,2013
5,18,The Jedi Who Knew Too Much,9.1,5771,2013
5,19,To Catch a Jedi,9.1,5579,2013
5,20,The Wrong Jedi,9.7,9976,2013
6,1,The Unknown,8.2,4576,2014
6,2,Conspiracy,8.2,4507,2014
6,3,Fugitive,8.4,4529,2014
6,4,Orders,9,5460,2014
6,5,An Old Friend,7,3763,2014
6,6,The Rise of Clovis,7.2,3770,2014
6,7,Crisis at the Heart,7.4,3755,2014
