season,episode,title,rating,votes,episode_year
1,1,Pilot,8.3,7674,2011
1,2,Ghosts,7.9,5851,2011
1,3,Mission Creep,8,5274,2011
1,4,Cura Te Ipsum,8.3,5122,2011
1,5,Judgement,8.2,4926,2011
1,6,The Fix,8.5,5184,2011
1,7,Witness,8.8,5480,2011
1,8,Foe,8.1,4771,2011
1,9,Get Carter,8.7,4944,2011
1,10,Number Crunch,9,5613,2011
1,11,Super,8.6,4752,2012
1,12,Legacy,8.2,4324,2012
1,13,Root Cause,8.7,4888,2012
1,14,Wolf and Cub,8,4295,2012
1,15,Blue Code,8.5,4374,2012
1,16,Risk,8.2,4217,2012
1,17,Baby Blue,8.5,4477,2012
1,18,Identity Crisis,8.3,4203,2012
1,19,Flesh and Blood,8.9,4823,2012
1,20,Matsya Nyaya,8.7,4494,2012
1,21,Many Happy Returns,9.1,5173,2012
1,22,No Good Deed,9,4640,2012
1,23,Firewall,9.6,8767,2012
2,1,The Contingency,8.9,5022,2012
2,2,Bad Code,9,4587,2012
2,3,Masquerade,8.2,3886,2012
2,4,Triggerman,8,3740,2012
2,5,Bury the Lede,8.6,4045,2012
2,6,The High Road,8.3,3679,2012
2,7,Critical,8.3,3805,2012
2,8,Til Death,8,3727,2012
2,9,C.O.D.,8,3549,2012
2,10,Shadow Box,8.7,4028,2012
2,11,2 Pi R,8.8,4329,2013
2,12,Prisoner's Dilemma,9.4,5231,2013
2,13,Dead Reckoning,9.2,4577,2013
2,14,One Percent,8.2,3626,2013
2,15,Booked Solid,8.4,3681,2013
2,16,Relevance,9.2,5658,2013
2,17,Proteus,8.4,3783,2013
2,18,All In,8.1,3435,2013
2,19,Trojan Horse,8.6,3656,2013
2,20,In Extremis,8.7,3796,2013
2,21,Zero Day,9.4,4994,2013
2,22,God Mode,9.4,5962,2013
3,1,Liberty,8.2,3872,2013
3,2,Nothing to Hide,8.3,3509,2013
3,3,Lady Killer,8.5,3810,2013
3,4,Reasonable Doubt,7.9,3634,2013
3,5,Razgovor,9.1,4405,2013
3,6,Mors Praematura,8.9,4037,2013
3,7,The Perfect Mark,8.5,3666,2013
3,8,Endgame,9.4,5192,2013
3,9,The Crossing,9.7,8781,2013
3,10,The Devil's Share,9.6,8510,2013
3,11,Lethe,9.1,4228,2013
3,12,Aletheia,9.1,4114,2014
3,13,4C,8.8,4070,2014
3,14,Provenance,8,3430,2014
3,15,Last Call,8.4,3513,2014
3,16,RAM,9.2,4556,2014
3,17,Root Path,9,3970,2014
3,18,Allegiance,8.1,3232,2014
3,19,Most Likely to...,8.5,3436,2014
3,20,Death Benefit,9.1,4017,2014
3,21,Beta,9.2,4090,2014
3,22,A House Divided,9.1,3965,2014
3,23,Deus Ex Machina,9.6,7723,2014
4,1,Panopticon,8.8,4253,2014
4,2,Nautilus,8.8,3926,2014
4,3,Wingman,8.4,3413,2014
4,4,Brotherhood,8.2,3394,2014
4,5,Prophets,9,4016,2014
4,6,Pretenders,8.6,3577,2014
4,7,Honor Among Thieves,8.5,3516,2014
4,8,Point of Origin,8.6,3546,2014
4,9,The Devil You Know,9.4,4830,2014
4,10,The Cold War,9,4129,2014
4,11,If-Then-Else,9.8,15332,2015
4,12,Control-Alt-Delete,9.1,4371,2015
4,13,M.I.A.,8.7,3619,2015
4,14,Guilty,8.3,3225,2015
4,15,Q & A,8.6,3366,2015
4,16,Blunt,7.8,3305,2015
4,17,Karma,8.2,3113,2015
4,18,Skip,8.6,3585,2015
4,19,Search and Destroy,8.7,3524,2015
4,20,Terra Incognita,8.8,4753,2015
4,21,Asylum,9.4,5358,2015
4,22,YHWH,9.7,9634,2015
5,1,B.S.O.D.,9.1,5260,2016
5,2,SNAFU,9.1,4296,2016
5,3,Truth Be Told,8.5,3865,2016
5,4,"6,741",9.3,6249,2016
5,5,ShotSeeker,8.7,3786,2016
5,6,A More Perfect Union,8.3,3663,2016
5,7,QSO,8.8,3868,2016
5,8,Reassortment,8.7,3763,2016
5,9,Sotto Voce,9.2,4352,2016
5,10,The Day the World Went Away,9.7,8090,2016
5,11,Synecdoche,9.2,4386,2016
5,12,.exe,9.5,5063,2016
5,13,Return 0,9.7,14833,2016
