season,episode,title,rating,votes,episode_year
1,1,The Target,7.8,10988,2002
1,2,The Detail,8.1,8848,2002
1,3,The Buys,8.1,8270,2002
1,4,Old Cases,8.2,7972,2002
1,5,The Pager,8.2,7633,2002
1,6,The Wire,8.5,7802,2002
1,7,One Arrest,8.4,7335,2002
1,8,Lessons,8.5,7320,2002
1,9,Game Day,8.7,7599,2002
1,10,The Cost,9.2,8746,2002
1,11,The Hunt,8.8,7527,2002
1,12,Cleaning Up,9.1,8205,2002
1,13,Sentencing,9,7974,2002
2,1,Ebb Tide,7.7,6917,2003
2,2,Collateral Damage,8,6394,2003
2,3,Hot Shots,8,6208,2003
2,4,Hard Cases,8,6105,2003
2,5,Undertow,8.1,5985,2003
2,6,All Prologue,8.8,6848,2003
2,7,Backwash,8.2,5891,2003
2,8,Duck and Cover,8.3,5949,2003
2,9,Stray Rounds,8.5,6006,2003
2,10,Storm Warnings,9,6772,2003
2,11,Bad Dreams,9.2,7395,2003
2,12,Port in a Storm,9,6863,2003
3,1,Time After Time,7.9,5929,2004
3,2,All Due Respect,8.3,5693,2004
3,3,Dead Soldiers,8.3,5667,2004
3,4,Amsterdam,8.3,5634,2004
3,5,Straight and True,8.5,5612,2004
3,6,Homecoming,8.6,5672,2004
3,7,Back Burners,8.5,5499,2004
3,8,Moral Midgetry,8.9,6230,2004
3,9,Slapstick,8.7,5695,2004
3,10,Reformation,8.7,5670,2004
3,11,Middle Ground,9.6,10254,2004
3,12,Mission Accomplished,9.3,7095,2004
4,1,Boys of Summer,8.3,5708,2006
4,2,Soft Eyes,8.4,5392,2006
4,3,Home Rooms,8.6,5465,2006
4,4,Refugees,8.3,5272,2006
4,5,Alliances,8.4,5253,2006
4,6,Margin of Error,8.7,5500,2006
4,7,Unto Others,8.4,5178,2006
4,8,Corner Boys,8.5,5256,2006
4,9,Know Your Place,8.5,5179,2006
4,10,Misgivings,8.8,5577,2006
4,11,A New Day,8.9,5715,2006
4,12,That's Got His Own,9.3,6725,2006
4,13,Final Grades,9.6,8816,2006
5,1,More with Less,8,5194,2008
5,2,Unconfirmed Reports,8.1,4980,2008
5,3,Not for Attribution,8.5,5083,2008
5,4,Transitions,8.8,5309,2008
5,5,React Quotes,8.6,5043,2008
5,6,The Dickensian Aspect,8.3,4890,2008
5,7,Took,8.4,4986,2008
5,8,Clarifications,8.9,5856,2008
5,9,Late Editions,9.4,6487,2008
5,10,-30-,9.6,9359,2008
