season,episode,title,rating,votes,episode_year
1,1,Chapter One: Make Your Mark,8.1,7812,2018
1,2,Chapter Two: Use It,7.6,6628,2018
1,3,Chapter Three: Make the Unsafe Choice,7.8,6200,2018
1,4,Chapter Four: Commit... to YOU,7.6,5929,2018
1,5,Chapter Five: Do Your Job,8.2,5963,2018
1,6,"Chapter Six: Listen with Your Ears, React with Your Face",8.3,6009,2018
1,7,"Chapter Seven: Loud, Fast, and Keep Going",9.3,8204,2018
1,8,Chapter Eight: Know Your Truth,8.9,6937,2018
2,1,"The Show Must Go On, Probably?",8.2,5730,2019
2,2,The Power of No,7.8,5410,2019
2,3,Past = Present x Future Over Yesterday,8.4,5562,2019
2,4,What?!,9.1,6604,2019
2,5,ronny/lily,9.7,18154,2019
2,6,The Truth Has a Ring to It,8.4,5322,2019
2,7,The Audition,9,5979,2019
2,8,berkman > block,9.3,7320,2019
3,1,forgiving jeff,8.4,5628,2022
3,2,limonada,8.6,5433,2022
3,3,ben mendelsohn,7.7,4799,2022
3,4,all the sauces,8.6,5076,2022
3,5,crazytimesh*tshow,8.4,4889,2022
3,6,710N,9.4,7151,2022
3,7,candy asses,8.6,5005,2022
3,8,starting now,9.5,8116,2022
4,1,yikes,8.2,5163,2023
4,2,bestest place on the earth,8.3,4965,2023
4,3,you're charming,9,5760,2023
4,4,it takes a psycho,9.1,6255,2023
4,5,tricky legacies,7.4,5762,2023
4,6,the wizard,8.2,4955,2023
4,7,a nice meal,8.6,5036,2023
4,8,wow,8.8,8652,2023
