season,episode,title,rating,votes,episode_year
1,1,Pilot,8.4,8782,2004
1,2,Paternity,8,6520,2004
1,3,Occam's Razor,8,6074,2004
1,4,Maternity,8.3,5943,2004
1,5,Damned If You Do,8,5677,2004
1,6,The Socratic Method,8.3,5573,2004
1,7,Fidelity,8,5387,2004
1,8,Poison,7.9,5150,2005
1,9,DNR,8.7,5927,2005
1,10,Histories,8.4,5452,2005
1,11,Detox,8.6,5432,2005
1,12,Sports Medicine,7.8,4785,2005
1,13,Cursed,8,4809,2005
1,14,Control,8.5,5098,2005
1,15,Mob Rules,7.8,4707,2005
1,16,Heavy,8.2,4684,2005
1,17,Role Model,8.4,4852,2005
1,18,Babies & Bathwater,8.8,5297,2005
1,19,Kids,8.2,4671,2005
1,20,Love Hurts,8.1,4695,2005
1,21,Three Stories,9.6,12678,2005
1,22,Honeymoon,8.6,5014,2005
2,1,Acceptance,8.3,4831,2005
2,2,Autopsy,9.1,6940,2005
2,3,Humpty Dumpty,7.8,4410,2005
2,4,TB or Not TB,7.9,4439,2005
2,5,Daddy's Boy,8,4306,2005
2,6,Spin,7.7,4141,2005
2,7,Hunting,8.1,4301,2005
2,8,The Mistake,8.8,4983,2005
2,9,Deception,8.2,4216,2005
2,10,Failure to Communicate,8.4,4297,2006
2,11,Need to Know,8,4095,2006
2,12,Distractions,8.4,4272,2006
2,13,Skin Deep,8.4,4857,2006
2,14,Sex Kills,8.3,4138,2006
2,15,Clueless,8.4,4179,2006
2,16,Safe,8.6,4555,2006
2,17,All In,8.9,5260,2006
2,18,Sleeping Dogs Lie,8,4063,2006
2,19,House vs. God,8.4,4483,2006
2,20,Euphoria: Part 1,9.1,5736,2006
2,21,Euphoria: Part 2,9.3,6369,2006
2,22,Forever,7.9,3996,2006
2,23,Who's Your Daddy?,7.6,3978,2006
2,24,No Reason,9.4,8089,2006
3,1,Meaning,8.8,5029,2006
3,2,Cane and Able,8.3,4161,2006
3,3,Informed Consent,8.5,4286,2006
3,4,Lines in the Sand,8.9,5153,2006
3,5,Fools for Love,8.2,3939,2006
3,6,Que Será Será,8,4007,2006
3,7,Son of Coma Guy,8.8,5033,2006
3,8,Whac-A-Mole,7.9,3837,2006
3,9,Finding Judas,8.4,3932,2006
3,10,Merry Little Christmas,8.6,4128,2006
3,11,Words and Deeds,8.4,4060,2007
3,12,"One Day, One Room",9,8127,2007
3,13,Needle in a Haystack,7.8,3862,2007
3,14,Insensitive,8.6,4235,2007
3,15,Half-Wit,8.9,5190,2007
3,16,Top Secret,7.9,3812,2007
3,17,Fetal Position,8.4,4130,2007
3,18,Airborne,8.9,4932,2007
3,19,Act Your Age,8,3729,2007
3,20,House Training,8.1,3872,2007
3,21,Family,8.2,3712,2007
3,22,Resignation,8.2,3679,2007
3,23,The Jerk,8.2,3781,2007
3,24,Human Error,8.8,4465,2007
4,1,Alone,8.8,4951,2007
4,2,The Right Stuff,8.7,4370,2007
4,3,97 Seconds,8.6,4196,2007
4,4,Guardian Angels,8.3,3826,2007
4,5,Mirror Mirror,8.7,4337,2007
4,6,Whatever It Takes,8.4,3984,2007
4,7,Ugly,8.1,3865,2007
4,8,You Don't Want to Know,8.4,3848,2007
4,9,Games,8.5,3977,2007
4,10,It's a Wonderful Lie,8.2,3710,2008
4,11,Frozen,9.1,5254,2008
4,12,Don't Ever Change,7.8,3728,2008
4,13,No More Mr. Nice Guy,7.9,3599,2008
4,14,Living the Dream,8.1,3675,2008
4,15,House's Head,9.7,15805,2008
4,16,Wilson's Heart,9.7,14332,2008
5,1,Dying Changes Everything,8.2,4020,2008
5,2,Not Cancer,8.1,3621,2008
5,3,Adverse Events,7.9,3492,2008
5,4,Birthmarks,8.9,4558,2008
5,5,Lucky Thirteen,8.4,3805,2008
5,6,Joy,8.4,3726,2008
5,7,The Itch,8.1,3400,2008
5,8,Emancipation,7.9,3356,2008
5,9,Last Resort,8.9,5052,2008
5,10,Let Them Eat Cake,8.1,3369,2008
5,11,Joy to the World,8.2,3680,2008
5,12,Painless,7.9,3356,2009
5,13,Big Baby,7.8,3231,2009
5,14,The Greater Good,7.8,3220,2009
5,15,Unfaithful,8.3,3517,2009
5,16,The Softer Side,8.4,3532,2009
5,17,The Social Contract,8.6,3647,2009
5,18,Here Kitty,8,3420,2009
5,19,Locked In,9.1,5421,2009
5,20,Simple Explanation,9.1,5674,2009
5,21,Saviors,8.2,3431,2009
5,22,House Divided,9,4496,2009
5,23,Under My Skin,9.2,4894,2009
5,24,Both Sides Now,9.6,8956,2009
6,1,Broken,9.6,13183,2009
6,2,Epic Fail,8.4,3899,2009
6,3,The Tyrant,8.9,4423,2009
6,4,Instant Karma,8.3,3400,2009
6,5,Brave Heart,8.3,3336,2009
6,6,Known Unknowns,8.1,3314,2009
6,7,Teamwork,8,3351,2009
6,8,Ignorance Is Bliss,8.2,3300,2009
6,9,Wilson,8.8,4224,2009
6,10,The Down Low,8.8,3999,2010
6,11,Remorse,8.5,3537,2010
6,12,Moving the Chains,7.8,3166,2010
6,13,5 to 9,8.6,4580,2010
6,14,Private Lives,7.9,3291,2010
6,15,Black Hole,7.8,3220,2010
6,16,Lockdown,8.8,4384,2010
6,17,Knight Fall,7.7,3119,2010
6,18,Open and Shut,7.7,3077,2010
6,19,The Choice,7.9,3208,2010
6,20,Baggage,8.8,4024,2010
6,21,Help Me,9.5,7264,2010
7,1,Now What?,8.2,3814,2010
7,2,Selfish,8.5,3449,2010
7,3,Unwritten,8.1,3141,2010
7,4,Massage Therapy,7.7,2967,2010
7,5,Unplanned Parenthood,8.1,3124,2010
7,6,Office Politics,7.9,2990,2010
7,7,A Pox on Our House,8.6,3554,2010
7,8,Small Sacrifices,7.5,2946,2010
7,9,Larger Than Life,8.2,3088,2011
7,10,Carrot or Stick,7.8,2932,2011
7,11,Family Practice,8.5,3350,2011
7,12,You Must Remember This,7.7,2888,2011
7,13,Two Stories,8.8,4415,2011
7,14,Recession Proof,7.8,2926,2011
7,15,Bombshells,8.5,4002,2011
7,16,Out of the Chute,8.7,3872,2011
7,17,Fall from Grace,8.3,3245,2011
7,18,The Dig,8.8,3684,2011
7,19,Last Temptation,8.3,3100,2011
7,20,Changes,7.7,2763,2011
7,21,The Fix,7.6,2772,2011
7,22,After Hours,9.1,4465,2011
7,23,Moving On,8.4,3844,2011
8,1,Twenty Vicodin,8.8,4326,2011
8,2,Transplant,8,3222,2011
8,3,Charity Case,8,3075,2011
8,4,Risky Business,7.7,2898,2011
8,5,The Confession,8.2,2996,2011
8,6,Parents,7.8,2783,2011
8,7,Dead & Buried,8.1,2924,2011
8,8,Perils of Paranoia,7.6,2797,2011
8,9,Better Half,7.8,2903,2012
8,10,Runaways,7.6,2758,2012
8,11,Nobody's Fault,9.1,4479,2012
8,12,Chase,8.8,3920,2012
8,13,Man of the House,7.8,2780,2012
8,14,Love Is Blind,7.8,2875,2012
8,15,Blowing the Whistle,7.3,2738,2012
8,16,Gut Check,7.5,2715,2012
8,17,We Need the Eggs,7.7,2752,2012
8,18,Body and Soul,7.8,2936,2012
8,19,The C Word,9,4235,2012
8,20,Post Mortem,8.8,3353,2012
8,21,Holding On,9,3994,2012
8,22,Everybody Dies,9.3,8016,2012
8,23,House M.D. Swan Song,8.3,236,2012
