season,episode,title,rating,votes,episode_year
1,1,"To You, in 2000 Years: The Fall of Shiganshina, Part 1",9.2,57617,2013
1,2,"That Day: The Fall of Shiganshina, Part 2",8.5,41966,2013
1,3,"A Dim Light Amid Despair: Humanity's Comeback, Part 1",8.1,40251,2013
1,4,"The Night of the Closing Ceremony: Humanity's Comeback, Part 2",8.6,38158,2013
1,5,"First Battle: The Struggle for Trost, Part 1",9.3,40721,2013
1,6,"The World the Girl Saw: The Struggle for Trost, Part 2",8.9,38229,2013
1,7,"Small Blade: The Struggle for Trost, Part 3",8.9,37294,2013
1,8,"I Can Hear His Heartbeat: The Struggle for Trost, Part 4",9.2,37448,2013
1,9,"Whereabouts of His Left Arm: The Struggle for Trost, Part 5",8.8,35100,2013
1,10,"Response: The Struggle for Trost, Part 6",8.3,34378,2013
1,11,"Idol: The Struggle for Trost, Part 7",8.3,33781,2013
1,12,"Wound: The Struggle for Trost, Part 8",8.3,33387,2013
1,13,"Primal Desire: The Struggle for Trost, Part 9",9,34904,2013
1,14,"Can't Look Into His Eyes Yet: Eve of The Counterattack, Part 1",8.5,33171,2013
1,15,"Special Operations Squad: Eve of the Counterattack, Part 2",8.1,34335,2013
1,16,"What Needs to Be Done Now: Eve of the Counterattack, Part 3",8.2,32801,2013
1,17,"Female Titan: The 57th Expedition Beyond the Walls, Part 1",9.1,35096,2013
1,18,"Forest of Giant Trees: The 57th Expedition Beyond the Walls, Part 2",8.9,33110,2013
1,19,"Bite: The 57th Exterior Scouting Mission, Part 3",8.9,33487,2013
1,20,"Erwin Smith: The 57th Expedition Beyond the Walls, Part 4",9.1,34156,2013
1,21,"Crushing Blow: The 57th Exterior Scouting Mission, Part 5",9.6,43360,2013
1,22,"The Defeated: The 57th Expedition Beyond the Walls, Part 6",9.1,34468,2013
1,23,"Smile: Raid on Stohess District, Part 1",9,34580,2013
1,24,"Mercy: Raid on Stohess District, Part 2",9.2,34311,2013
1,25,"Wall: Raid on Stohess District, Part 3",9.4,38845,2013
2,1,Beast Titan,9.2,35889,2017
2,2,I'm Home,8.5,31195,2017
2,3,Southwestward,8.6,30783,2017
2,4,Soldier,9.1,32843,2017
2,5,Historia,9.1,33276,2017
2,6,Warrior,9.8,76051,2017
2,7,Close Combat,9.6,41506,2017
2,8,The Hunters,8.4,30635,2017
2,9,Opening,8.6,30648,2017
2,10,Children,9,32957,2017
2,11,Charge,9.6,39320,2017
2,12,Scream,9.7,56183,2017
3,1,Smoke Signal,8.8,34638,2018
3,2,Pain,9.2,37074,2018
3,3,Old Story,8.7,31676,2018
3,4,Trust,8.5,31657,2018
3,5,Reply,9,33191,2018
3,6,Sin,9.2,34901,2018
3,7,Wish,9.5,39606,2018
3,8,Outside the Walls of Orvud District,8.9,32430,2018
3,9,Ruler of the Walls,9.3,34091,2018
3,10,Friends,9.2,33757,2018
3,11,Bystander,9.1,34055,2018
3,12,Night of the Battle to Retake the Wall,8.9,34022,2018
3,13,The Town Where Everything Began,9.6,45510,2019
3,14,Thunder Spears,9.6,43994,2019
3,15,Descent,9.6,45492,2019
3,16,Perfect Game,9.8,124102,2019
3,17,Hero,9.8,170809,2019
3,18,Midnight Sun,9.8,99156,2019
3,19,The Basement,9.2,41251,2019
3,20,That Day,9.8,78830,2019
3,21,Attack Titan,9.6,52396,2019
3,22,The Other Side of the Wall,9.5,46258,2019
4,1,The Other Side of the Sea,9.2,55903,2020
4,2,Midnight Train,8.6,49690,2020
4,3,The Door of Hope,9.2,50795,2020
4,4,From One Hand to Another,8.9,50027,2020
4,5,Declaration of War,9.8,107480,2021
4,6,The War Hammer Titan,9.8,107521,2021
4,7,Assault,9.8,134137,2021
4,8,Assassin's Bullet,9.5,58619,2021
4,9,Brave Volunteers,8.9,46960,2021
4,10,A Sound Argument,8.5,42934,2021
4,11,Deceiver,8.8,41397,2021
4,12,Guides,8.9,42443,2021
4,13,Children of the Forest,9.5,52937,2021
4,14,Savagery,9.7,58683,2021
4,15,Sole Salvation,9.5,49441,2021
4,16,Above and Below,9.4,48744,2021
4,17,Judgment,9.1,58114,2022
4,18,Sneak Attack,9.3,53198,2022
4,19,Two Brothers,9.7,100118,2022
4,20,Memories of the Future,9.8,109123,2022
4,21,"From You, 2000 Years Ago",9.8,106454,2022
4,22,Thaw,9,41531,2022
4,23,Sunset,8.5,34403,2022
4,24,Pride,8.5,34798,2022
4,25,Night of the End,8.6,34708,2022
4,26,Traitor,9.2,37876,2022
4,27,Retrospective,9.5,44311,2022
4,28,The Dawn of Humanity,9.6,56146,2022
4,29,The Final Chapters: Special 1,9.5,72842,2023
4,30,The Final Chapters: Special 2,9,93769,2023
