season,episode,title,rating,votes,episode_year
1,1,Pilot,7.8,5376,2009
1,2,The Night of the Comet,7.5,3788,2009
1,3,Friday Night Bites,7.9,3413,2009
1,4,Family Ties,7.9,3190,2009
1,5,You're Undead to Me,8.2,3143,2009
1,6,Lost Girls,8.4,3197,2009
1,7,Haunted,8.2,2997,2009
1,8,162 Candles,8.3,3012,2009
1,9,History Repeating,8.1,2879,2009
1,10,The Turning Point,8.3,2884,2009
1,11,Bloodlines,8.2,2893,2010
1,12,Unpleasantville,8.1,2756,2010
1,13,Children of the Damned,8.3,2754,2010
1,14,Fool Me Once,8.6,2818,2010
1,15,A Few Good Men,8,2646,2010
1,16,There Goes the Neighborhood,7.8,2613,2010
1,17,Let the Right One In,8.6,2733,2010
1,18,Under Control,8.1,2628,2010
1,19,Miss Mystic Falls,8.3,2857,2010
1,20,Blood Brothers,8.2,2669,2010
1,21,Isobel,8.4,2725,2010
1,22,Founder's Day,9.2,3922,2010
2,1,The Return,8.9,3295,2010
2,2,Brave New World,8.4,2558,2010
2,3,Bad Moon Rising,8.3,2497,2010
2,4,Memory Lane,8.1,2461,2010
2,5,Kill or Be Killed,8.6,2475,2010
2,6,Plan B,8.6,2469,2010
2,7,Masquerade,9,2978,2010
2,8,Rose,8.8,2796,2010
2,9,Katerina,8.5,2486,2010
2,10,The Sacrifice,8.3,2283,2010
2,11,By the Light of the Moon,8.4,2351,2010
2,12,The Descent,8.4,2500,2011
2,13,Daddy Issues,8.1,2246,2011
2,14,Crying Wolf,8,2274,2011
2,15,The Dinner Party,8.3,2260,2011
2,16,The House Guest,8.5,2256,2011
2,17,Know Thy Enemy,8.3,2263,2011
2,18,The Last Dance,8.7,2402,2011
2,19,Klaus,8.8,2601,2011
2,20,The Last Day,8.7,2386,2011
2,21,The Sun Also Rises,9.1,2864,2011
2,22,As I Lay Dying,8.9,2904,2011
3,1,The Birthday,8.5,3065,2011
3,2,The Hybrid,8.4,2473,2011
3,3,The End of the Affair,8.7,2610,2011
3,4,Disturbing Behavior,8.2,2262,2011
3,5,The Reckoning,9.1,2889,2011
3,6,Smells Like Teen Spirit,8.4,2306,2011
3,7,Ghost World,8.5,2339,2011
3,8,Ordinary People,8.7,2378,2011
3,9,Homecoming,8.9,2646,2011
3,10,The New Deal,8.3,2277,2012
3,11,Our Town,8.2,2150,2012
3,12,The Ties That Bind,8.2,2174,2012
3,13,Bringing Out the Dead,8.6,2306,2012
3,14,Dangerous Liaisons,8.6,2346,2012
3,15,All My Children,8.3,2233,2012
3,16,1912,7.7,2093,2012
3,17,Break on Through,7.9,2034,2012
3,18,The Murder of One,8.4,2155,2012
3,19,Heart of Darkness,8.6,2634,2012
3,20,Do Not Go Gentle,8.4,2205,2012
3,21,Before Sunset,8.6,2175,2012
3,22,The Departed,9.4,4814,2012
4,1,Growing Pains,8.7,3514,2012
4,2,Memorial,8.7,2587,2012
4,3,The Rager,8.3,2209,2012
4,4,The Five,8.3,2198,2012
4,5,The Killer,8.2,2032,2012
4,6,We All Go a Little Mad Sometimes,8.2,2151,2012
4,7,My Brother's Keeper,8.7,2724,2012
4,8,We'll Always Have Bourbon Street,8.3,2143,2012
4,9,"O Come, All Ye Faithful",8.5,2189,2012
4,10,After School Special,8.3,2130,2013
4,11,Catch Me If You Can,7.9,1930,2013
4,12,A View to a Kill,8.5,2011,2013
4,13,Into the Wild,8,1938,2013
4,14,Down the Rabbit Hole,8.5,2018,2013
