season,episode,title,rating,votes,episode_year
1,1,Pilot,6.9,4769,2009
1,2,Canvassing,7,4064,2009
1,3,The Reporter,7.1,3810,2009
1,4,Boys' Club,7.2,3698,2009
1,5,The Banquet,7.1,3565,2009
1,6,Rock Show,7.6,3595,2009
2,1,Pawnee Zoo,7.8,3738,2009
2,2,The Stakeout,8,3563,2009
2,3,Beauty Pageant,7.6,3428,2009
2,4,Practice Date,8.2,3505,2009
2,5,Sister City,7.6,3693,2009
2,6,Kaboom,7.5,3234,2009
2,7,Greg Pikitis,8.2,3517,2009
2,8,Ron and Tammy,8.3,3529,2009
2,9,The Camel,7.7,3192,2009
2,10,Hunting Trip,8.6,3813,2009
2,11,Tom's Divorce,7.7,3105,2009
2,12,Christmas Scandal,7.9,3144,2009
2,13,The Set Up,7.9,3153,2010
2,14,Leslie's House,7.8,3066,2010
2,15,Sweetums,7.7,3019,2010
2,16,Galentine's Day,7.5,3025,2010
2,17,Woman of the Year,7.9,3004,2010
2,18,The Possum,7.8,3005,2010
2,19,Park Safety,8,3104,2010
2,20,Summer Catalog,7.7,2945,2010
2,21,94 Meetings,8.4,3192,2010
2,22,Telethon,8.2,3071,2010
2,23,The Master Plan,8.4,3147,2010
2,24,Freddy Spaghetti,8.5,3186,2010
3,1,Go Big or Go Home,8.1,3046,2011
3,2,Flu Season,8.9,3847,2011
3,3,Time Capsule,8,2995,2011
3,4,Ron & Tammy 2,8.5,3254,2011
3,5,Media Blitz,7.9,2940,2011
3,6,Indianapolis,8,2917,2011
3,7,Harvest Festival,8.7,3328,2011
3,8,Camping,7.9,2928,2011
3,9,Andy and April's Fancy Party,8.9,3710,2011
3,10,Soulmates,8.4,3074,2011
3,11,Jerry's Painting,8.6,3097,2011
3,12,Eagleton,8.1,2941,2011
3,13,The Fight,8.8,3725,2011
3,14,Road Trip,8.4,3119,2011
3,15,The Bubble,8.1,2832,2011
3,16,Li'l Sebastian,8.8,3339,2011
4,1,I'm Leslie Knope,8,2846,2011
4,2,Ron and Tammys,8.6,3106,2011
4,3,Born and Raised,8,2775,2011
4,4,Pawnee Rangers,8.2,3031,2011
4,5,Meet 'N' Greet,7.7,2719,2011
4,6,End of the World,8.4,3082,2011
4,7,The Treaty,7.8,2774,2011
4,8,Smallest Park,7.9,2731,2011
4,9,The Trial of Leslie Knope,8.4,2848,2011
4,10,Citizen Knope,8.4,2774,2011
4,11,The Comeback Kid,8.5,3115,2012
4,12,Campaign Ad,8.3,2712,2012
4,13,Bowling for Votes,8.5,2826,2012
4,14,Operation Ann,8.1,2666,2012
4,15,Dave Returns,7.8,2587,2012
4,16,Sweet Sixteen,7.6,2551,2012
4,17,Campaign Shake-Up,7.9,2539,2012
4,18,Lucky,7.8,2551,2012
4,19,Live Ammo,7.8,2519,2012
4,20,The Debate,8.7,2940,2012
4,21,Bus Tour,8.2,2617,2012
4,22,"Win, Lose or Draw",9,3152,2012
5,1,Ms. Knope Goes to Washington,7.8,2612,2012
5,2,Soda Tax,7.8,2566,2012
5,3,How a Bill Becomes a Law,7.9,2537,2012
5,4,Sex Education,8,2577,2012
5,5,Halloween Surprise,8.6,2850,2012
5,6,Ben's Parents,7.7,2502,2012
5,7,Leslie vs. April,7.7,2475,2012
5,8,Pawnee Commons,7.7,2449,2012
5,9,Ron and Diane,8.9,3149,2012
5,10,Two Parties,8.8,3062,2013
5,11,Women in Garbage,8,2508,2013
5,12,Ann's Decision,7.6,2421,2013
5,13,Emergency Response,8.5,2592,2013
5,14,Leslie and Ben,9.2,3477,2013
5,15,Correspondents' Lunch,7.7,2333,2013
5,16,Bailout,8,2412,2013
5,17,Partridge,7.5,2305,2013
5,18,Animal Control,8.2,2406,2013
5,19,Article Two,7.9,2337,2013
5,20,Jerry's Retirement,8,2344,2013
5,21,Swing Vote,7.5,2256,2013
5,22,Are You Better Off?,8.2,2392,2013
6,1,London: Part 1,8.5,2692,2013
6,2,London: Part 2,8.6,2521,2013
6,3,The Pawnee-Eagleton Tip Off Classic,7.6,2333,2013
6,4,Doppelgängers,7.9,2424,2013
6,5,Gin It Up!,7.7,2272,2013
6,6,Filibuster,8,2337,2013
6,7,Recall Vote,7.5,2239,2013
6,8,Fluoride,7.6,2285,2013
6,9,The Cones of Dunshire,8.1,2357,2013
6,10,Second Chunce,7.5,2232,2014
6,11,New Beginnings,7.6,2201,2014
6,12,Farmers Market,7.6,2247,2014
6,13,Ann and Chris,8.8,2907,2014
6,14,Anniversaries,7.8,2244,2014
6,15,The Wall,7.6,2155,2014
6,16,New Slogan,7.4,2145,2014
6,17,Galentine's Day,7.5,2144,2014
6,18,Prom,7.6,2151,2014
6,19,Flu Season 2,8.3,2376,2014
6,20,"One in 8,000",8.1,2180,2014
6,21,Moving Up: Part 1,8.8,2725,2014
6,22,Moving Up: Part 2,9.2,3582,2014
7,1,2017,7.5,2560,2015
7,2,Ron & Jammy,8.1,2472,2015
7,3,William Henry Harrison,7.2,2290,2015
7,4,Leslie and Ron,9.5,5032,2015
7,5,Gryzzlbox,8.1,2271,2015
7,6,Save JJ's,7.9,2223,2015
7,7,Donna and Joe,8.3,2315,2015
7,8,Ms. Ludgate-Dwyer Goes to Washington,8,2276,2015
7,9,Pie-Mary,8.2,2366,2015
7,10,The Johnny Karate Super Awesome Musical Explosion Show,8.3,3139,2015
7,11,Two Funerals,8.4,2410,2015
7,12,One Last Ride,9.5,5878,2015
