season,episode,title,rating,votes,episode_year
1,1,Simpsons Roasting on an Open Fire,8.1,10629,1989
1,2,Bart the Genius,7.6,7421,1990
1,3,Homer's Odyssey,7.3,6616,1990
1,4,There's No Disgrace Like Home,7.6,6409,1990
1,5,Bart the General,7.9,6614,1990
1,6,Moaning Lisa,7.6,6314,1990
1,7,The Call of the Simpsons,7.7,5997,1990
1,8,The Telltale Head,7.6,5804,1990
1,9,Life on the Fast Lane,7.4,5766,1990
1,10,Homer's Night Out,7.3,5582,1990
1,11,The Crepes of Wrath,7.7,5612,1990
1,12,Krusty Gets Busted,8.3,6111,1990
1,13,Some Enchanted Evening,7.7,5778,1990
2,1,Bart Gets an F,8.3,6205,1990
2,2,Simpson and Delilah,8.2,5953,1990
2,3,Treehouse of Horror,8.2,6479,1990
2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8,5309,1990
2,5,Dancin' Homer,7.3,5109,1990
2,6,Dead Putting Society,7.9,4998,1990
2,7,Bart vs. Thanksgiving,7.6,4946,1990
2,8,Bart the Daredevil,8.3,5279,1990
2,9,Itchy & Scratchy & Marge,8,5180,1990
2,10,Bart Gets Hit by a Car,7.7,4804,1991
2,11,"One Fish, Two Fish, Blowfish, Blue Fish",8.8,6114,1991
2,12,The Way We Was,8.3,5052,1991
2,13,Homer vs. Lisa and the 8th Commandment,8,4724,1991
2,14,Principal Charming,7.4,4537,1991
2,15,"Oh Brother, Where Art Thou?",8.3,4982,1991
2,16,Bart's Dog Gets an F,7.4,4443,1991
2,17,Old Money,7.6,4427,1991
2,18,Brush with Greatness,7.9,4463,1991
2,19,Lisa's Substitute,8.6,5758,1991
2,20,The War of the Simpsons,7.7,4357,1991
2,21,Three Men and a Comic Book,8.2,4863,1991
2,22,Blood Feud,7.8,4280,1991
3,1,Stark Raving Dad,8.6,5641,1991
3,2,Mr. Lisa Goes to Washington,7.7,4603,1991
3,3,When Flanders Failed,8.2,4780,1991
3,4,Bart the Murderer,8.6,5304,1991
3,5,Homer Defined,8.3,4981,1991
3,6,"Like Father, Like Clown",7.5,4416,1991
3,7,Treehouse of Horror II,8.2,5023,1991
3,8,Lisa's Pony,7.8,4342,1991
3,9,Saturdays of Thunder,7.8,4284,1991
3,10,Flaming Moe's,8.8,5515,1991
3,11,Burns Verkaufen der Kraftwerk,8.2,4408,1991
3,12,I Married Marge,8.3,4327,1991
3,13,Radio Bart,8.5,4650,1992
3,14,Lisa the Greek,8,4133,1992
3,15,Homer Alone,8,4127,1992
3,16,Bart the Lover,8.3,4600,1992
3,17,Homer at the Bat,8.7,5397,1992
3,18,Separate Vocations,8.2,4147,1992
3,19,Dog of Death,7.7,3941,1992
3,20,Colonel Homer,8,4304,1992
3,21,Black Widower,8.3,4300,1992
3,22,The Otto Show,7.6,4020,1992
3,23,Bart's Friend Falls in Love,7.7,4009,1992
3,24,"Brother, Can You Spare Two Dimes?",8.2,4145,1992
4,1,Kamp Krusty,8.5,4938,1992
4,2,A Streetcar Named Marge,8.1,4487,1992
4,3,Homer the Heretic,8.9,5855,1992
4,4,Lisa the Beauty Queen,7.7,4072,1992
4,5,Treehouse of Horror III,8.4,4815,1992
4,6,Itchy & Scratchy: The Movie,8.2,4343,1992
4,7,Marge Gets a Job,7.7,3955,1992
4,8,New Kid on the Block,8.2,4303,1992
4,9,Mr. Plow,8.8,5342,1992
4,10,Lisa's First Word,8.7,4607,1992
4,11,Homer's Triple Bypass,8.6,4739,1992
4,12,Marge vs. the Monorail,9.1,6705,1993
4,13,Selma's Choice,8,3996,1993
4,14,Brother from the Same Planet,8.1,4005,1993
4,15,I Love Lisa,8.4,4384,1993
4,16,Duffless,8.3,4101,1993
4,17,Last Exit to Springfield,9,6049,1993
4,18,So It's Come to This: A Simpsons Clip Show,6.9,3712,1993
4,19,The Front,8,3805,1993
4,20,Whacking Day,8.1,4046,1993
4,21,Marge in Chains,7.7,3739,1993
4,22,Krusty Gets Kancelled,8.1,4069,1993
5,1,Homer's Barbershop Quartet,8.5,4872,1993
5,2,Cape Feare,9.2,6808,1993
5,3,Homer Goes to College,8.6,4824,1993
5,4,Rosebud,8.8,4928,1993
5,5,Treehouse of Horror IV,8.8,5100,1993
5,6,Marge on the Lam,8,3963,1993
5,7,Bart's Inner Child,7.6,3732,1993
5,8,Boy Scoutz 'n the Hood,8.6,4464,1993
5,9,The Last Temptation of Homer,8.5,4380,1993
5,10,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.6,4350,1993
5,11,Homer the Vigilante,8.2,3999,1994
5,12,Bart Gets Famous,8.1,3886,1994
5,13,Homer and Apu,8.2,3923,1994
5,14,Lisa vs. Malibu Stacy,8.1,4081,1994
5,15,Deep Space Homer,8.8,4964,1994
5,16,Homer Loves Flanders,8.6,4238,1994
5,17,Bart Gets an Elephant,7.8,3741,1994
5,18,Burns' Heir,8.3,3922,1994
5,19,Sweet Seymour Skinner's Baadasssss Song,8.3,3994,1994
5,20,The Boy Who Knew Too Much,8.3,3750,1994
5,21,Lady Bouvier's Lover,7.5,3414,1994
5,22,Secrets of a Successful Marriage,8,3585,1994
6,1,Bart of Darkness,8.7,4601,1994
6,2,Lisa's Rival,8.1,3927,1994
6,3,Another Simpsons Clip Show,5.7,3499,1994
6,4,Itchy & Scratchy Land,8.6,4340,1994
6,5,Sideshow Bob Roberts,8.2,3820,1994
6,6,Treehouse of Horror V,9.2,6187,1994
6,7,Bart's Girlfriend,8.1,3860,1994
6,8,Lisa on Ice,8.6,4174,1994
6,9,Homer Badman,9,5377,1994
6,10,Grampa vs. Sexual Inadequacy,8,3563,1994
6,11,Fear of Flying,7.7,3659,1994
6,12,Homer the Great,9,5107,1995
6,13,And Maggie Makes Three,8.9,4815,1995
6,14,Bart's Comet,8.7,4098,1995
6,15,Homie the Clown,8.6,4109,1995
6,16,Bart vs. Australia,8.5,4291,1995
6,17,Homer vs. Patty and Selma,7.8,3413,1995
6,18,A Star Is Burns,8.6,4099,1995
6,19,Lisa's Wedding,8.4,3933,1995
6,20,Two Dozen and One Greyhounds,8.1,3534,1995
6,21,The PTA Disbands,8,3477,1995
6,22,'Round Springfield,8.1,3753,1995
6,23,The Springfield Connection,8.2,3543,1995
6,24,Lemon of Troy,8.7,4296,1995
6,25,Who Shot Mr. Burns? Part One,9.2,5511,1995
7,1,Who Shot Mr. Burns? Part Two,9,5028,1995
7,2,Radioactive Man,8.3,3819,1995
7,3,Home Sweet Home-Dum-Diddly Doodily,8.4,3731,1995
7,4,Bart Sells His Soul,8.8,4741,1995
7,5,Lisa the Vegetarian,8.5,4337,1995
7,6,Treehouse of Horror VI,8.7,4484,1995
7,7,King Size Homer,9,5251,1995
7,8,Mother Simpson,8.7,4207,1995
7,9,Sideshow Bob's Last Gleaming,7.9,3442,1995
7,10,The Simpsons 138th Episode Spectacular!,7.3,3314,1995
7,11,Marge Be Not Proud,8.5,4296,1995
7,12,Team Homer,8.3,3513,1996
7,13,Two Bad Neighbors,8.5,4088,1996
7,14,Scenes from the Class Struggle in Springfield,7.7,3242,1996
7,15,Bart the Fink,7.6,3194,1996
7,16,Lisa the Iconoclast,8.1,3451,1996
7,17,Homer the Smithers,8.8,4467,1996
7,18,The Day the Violence Died,8,3405,1996
7,19,A Fish Called Selma,8.2,3755,1996
7,20,Bart on the Road,8.6,4069,1996
7,21,22 Short Films About Springfield,9,4838,1996
7,22,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',8.5,3661,1996
7,23,Much Apu About Nothing,8.1,3302,1996
7,24,Homerpalooza,7.9,3396,1996
7,25,"Summer of 4'2""",8.5,3732,1996
8,1,Treehouse of Horror VII,8.5,4158,1996
8,2,You Only Move Twice,9.2,7242,1996
8,3,The Homer They Fall,8.1,3590,1996
8,4,"Burns, Baby Burns",7.6,3447,1996
8,5,Bart After Dark,8.3,3677,1996
8,6,A Milhouse Divided,8.1,3447,1996
8,7,Lisa's Date with Density,7.8,3348,1996
8,8,Hurricane Neddy,8.7,4337,1996
8,9,El Viaje Misterioso de Nuestro Jomer,8.6,4432,1997
8,10,The Springfield Files,9.1,5546,1997
8,11,The Twisted World of Marge Simpson,7.7,3265,1997
8,12,Mountain of Madness,8.5,3886,1997
8,13,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,7.6,3489,1997
8,14,The Itchy & Scratchy & Poochie Show,8,3529,1997
8,15,Homer's Phobia,8.8,4812,1997
8,16,Brother from Another Series,8.2,3503,1997
8,17,"My Sister, My Sitter",7.8,3467,1997
8,18,Homer vs. the 18th Amendment,8.9,4197,1997
8,19,Grade School Confidential,8.2,3496,1997
8,20,The Canine Mutiny,7.6,3035,1997
8,21,The Old Man and the Lisa,7.8,3187,1997
8,22,In Marge We Trust,8.1,3307,1997
8,23,Homer's Enemy,9.3,7945,1997
8,24,The Simpsons Spin-Off Showcase,7.1,3177,1997
8,25,The Secret War of Lisa Simpson,7.8,3161,1997
9,1,The City of New York vs. Homer Simpson,9,5638,1997
9,2,The Principal and the Pauper,6.8,3983,1997
9,3,Lisa's Sax,8.1,3108,1997
9,4,Treehouse of Horror VIII,8.2,3481,1997
9,5,The Cartridge Family,8.2,3443,1997
9,6,Bart Star,7.6,2929,1997
9,7,The Two Mrs. Nahasapeemapetilons,7.6,2848,1997
9,8,Lisa the Skeptic,8.1,3114,1997
9,9,Realty Bites,7.6,2870,1997
9,10,Miracle on Evergreen Terrace,7.6,3141,1997
9,11,"All Singing, All Dancing",5,3246,1998
9,12,Bart Carny,7.6,2943,1998
9,13,The Joy of Sect,8.3,3249,1998
9,14,Das Bus,8.2,3177,1998
9,15,The Last Temptation of Krust,7.4,2766,1998
9,16,Dumbbell Indemnity,7.6,2781,1998
9,17,Lisa the Simpson,8,3075,1998
9,18,This Little Wiggy,7.8,2872,1998
9,19,Simpson Tide,8.1,3183,1998
9,20,The Trouble with Trillions,7.8,3017,1998
9,21,Girly Edition,7.8,2806,1998
9,22,Trash of the Titans,8.4,3492,1998
9,23,King of the Hill,8.2,3163,1998
9,24,Lost Our Lisa,7.7,2736,1998
9,25,Natural Born Kissers,8,2894,1998
10,1,Lard of the Dance,7.6,2924,1998
10,2,The Wizard of Evergreen Terrace,8.1,3213,1998
10,3,Bart the Mother,7.6,2831,1998
10,4,Treehouse of Horror IX,8,3304,1998
10,5,When You Dish Upon a Star,7.1,2785,1998
10,6,D'oh-in' in the Wind,7.5,2736,1998
10,7,Lisa Gets an 'A',8.1,2861,1998
10,8,Homer Simpson in: 'Kidney Trouble',7.2,2673,1998
10,9,Mayored to the Mob,8.1,3153,1998
10,10,Viva Ned Flanders,7.8,2824,1999
10,11,Wild Barts Can't Be Broken,7.7,2708,1999
10,12,"Sunday, Cruddy Sunday",7,2724,1999
10,13,Homer to the Max,7.7,2747,1999
10,14,I'm with Cupid,7.2,2523,1999
10,15,Marge Simpson in: 'Screaming Yellow Honkers',7.3,2567,1999
10,16,Make Room for Lisa,7.5,2521,1999
10,17,Maximum Homerdrive,7.7,2664,1999
10,18,Simpsons Bible Stories,7.3,2611,1999
10,19,Mom and Pop Art,7.6,2712,1999
10,20,The Old Man and the 'C' Student,7.2,2415,1999
10,21,Monty Can't Buy Me Love,7,2430,1999
10,22,They Saved Lisa's Brain,7.2,2459,1999
10,23,Thirty Minutes Over Tokyo,8,2918,1999
11,1,Beyond Blunderdome,7.3,2701,1999
11,2,Brother's Little Helper,7.5,2482,1999
11,3,Guess Who's Coming to Criticize Dinner?,7.5,2504,1999
11,4,Treehouse of Horror X,7.8,2937,1999
11,5,E-I-E-I-(Annoyed Grunt),7.9,2730,1999
11,6,"Hello Gutter, Hello Fadder",7.3,2306,1999
11,7,Eight Misbehavin',7,2337,1999
11,8,"Take My Wife, Sleaze",7.1,2368,1999
11,9,Grift of the Magi,7.3,2529,1999
11,10,Little Big Mom,7.3,2297,2000
11,11,Faith Off,6.8,2287,2000
11,12,The Mansion Family,7.3,2319,2000
11,13,Saddlesore Galactica,6.4,2520,2000
11,14,"Alone Again, Natura-Diddly",7.6,2888,2000
11,15,Missionary: Impossible,7.3,2379,2000
11,16,Pygmoelian,7.3,2280,2000
11,17,Bart to the Future,7.2,2531,2000
11,18,Days of Wine and D'oh'ses,7.4,2251,2000
11,19,Kill the Alligator and Run,6.5,2445,2000
11,20,Last Tap Dance in Springfield,7.1,2247,2000
11,21,"It's a Mad, Mad, Mad, Mad Marge",7.1,2318,2000
11,22,Behind the Laughter,7.9,2817,2000
12,1,Treehouse of Horror XI,7.6,2791,2000
12,2,A Tale of Two Springfields,7.4,2487,2000
12,3,Insane Clown Poppy,6.9,2281,2000
12,4,Lisa the Treehugger,7.1,2291,2000
12,5,Homer vs. Dignity,6.9,2393,2000
12,6,The Computer Wore Menace Shoes,7.7,2480,2000
12,7,The Great Money Caper,7.2,2292,2000
12,8,Skinner's Sense of Snow,7.9,2881,2000
12,9,HOMR,8.1,2781,2001
12,10,Pokey Mom,7.1,2432,2001
12,11,Worst Episode Ever,7.3,2321,2001
12,12,Tennis the Menace,6.8,2273,2001
12,13,Day of the Jackanapes,7.1,2128,2001
12,14,New Kids on the Blecch,7.2,2457,2001
12,15,Hungry Hungry Homer,7.5,2289,2001
12,16,"Bye, Bye, Nerdie",6.6,2205,2001
12,17,Simpson Safari,6.8,2263,2001
12,18,Trilogy of Error,8.6,3336,2001
12,19,I'm Goin' to Praiseland,7.1,2331,2001
12,20,Children of a Lesser Clod,7.2,2087,2001
12,21,Simpsons Tall Tales,6.9,2156,2001
13,1,Treehouse of Horror XII,7.6,2712,2001
13,2,The Parent Rap,7.1,2156,2001
13,3,Homer the Moe,7.1,2137,2001
13,4,A Hunka Hunka Burns in Love,7.1,2052,2001
13,5,The Blunder Years,7.6,2414,2001
13,6,She of Little Faith,7.1,2204,2001
13,7,Brawl in the Family,6.8,2027,2002
13,8,Sweets and Sour Marge,6.9,2032,2002
13,9,Jaws Wired Shut,7.3,2113,2002
13,10,Half-Decent Proposal,7.2,2256,2002
13,11,The Bart Wants What It Wants,7,1974,2002
13,12,The Lastest Gun in the West,6.5,2021,2002
13,13,The Old Man and the Key,6.5,1957,2002
13,14,Tales from the Public Domain,7.2,2041,2002
13,15,Blame It on Lisa,7,2101,2002
13,16,Weekend at Burnsie's,7.7,2308,2002
13,17,Gump Roast,5.4,2138,2002
13,18,I Am Furious Yellow,7.7,2228,2002
13,19,The Sweetest Apu,6.7,1891,2002
13,20,Little Girl in the Big Ten,7.1,1953,2002
13,21,The Frying Game,6.9,1999,2002
13,22,Papa's Got a Brand New Badge,7.7,2426,2002
14,1,Treehouse of Horror XIII,7.6,2533,2002
14,2,How I Spent My Strummer Vacation,7.4,2190,2002
14,3,Bart vs. Lisa vs. 3rd Grade,7.1,2057,2002
14,4,Large Marge,7.1,2157,2002
14,5,Helter Shelter,6.7,1982,2002
14,6,The Great Louse Detective,7.3,2104,2002
14,7,Special Edna,7,1973,2003
14,8,The Dad Who Knew Too Little,7.3,2015,2003
14,9,The Strong Arms of the Ma,6.8,2067,2003
14,10,Pray Anything,6.7,1873,2003
14,11,Barting Over,6.7,2029,2003
14,12,I'm Spelling as Fast as I Can,7.2,1907,2003
14,13,A Star Is Born Again,6.9,1928,2003
14,14,Mr. Spritz Goes to Washington,6.8,1852,2003
14,15,C.E.D'oh,7.1,1797,2003
14,16,'Scuse Me While I Miss the Sky,7.1,1815,2003
14,17,Three Gays of the Condo,7.2,1988,2003
14,18,"Dude, Where's My Ranch?",6.9,1975,2003
14,19,Old Yeller-Belly,6.6,1840,2003
14,20,"Brake My Wife, Please",6.7,1817,2003
14,21,The Bart of War,6.6,1852,2003
14,22,Moe Baby Blues,7.7,2382,2003
15,1,Treehouse of Horror XIV,7.5,2469,2003
15,2,My Mother the Carjacker,7.2,1971,2003
15,3,The President Wore Pearls,6.8,2001,2003
15,4,The Regina Monologues,7,2077,2003
15,5,The Fat and the Furriest,7.1,1885,2003
15,6,"Today, I Am a Clown",6.3,1811,2003
15,7,'Tis the Fifteenth Season,7,1929,2003
15,8,"Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",6.6,1845,2004
15,9,"I, (Annoyed Grunt)-Bot",7.3,2005,2004
15,10,Diatribe of a Mad Housewife,7.2,1917,2004
15,11,Margical History Tour,7.1,1845,2004
15,12,Milhouse Doesn't Live Here Anymore,7.2,1919,2004
15,13,Smart & Smarter,7.1,1904,2004
15,14,The Ziff Who Came to Dinner,6.6,1807,2004
15,15,Co-Dependent's Day,6.6,1840,2004
15,16,The Wandering Juvie,7,1908,2004
15,17,My Big Fat Geek Wedding,6.6,1852,2004
15,18,Catch 'Em If You Can,7.1,1930,2004
15,19,Simple Simpson,7.4,1988,2004
15,20,The Way We Weren't,7.2,1911,2004
15,21,Bart-Mangled Banner,6.3,1878,2004
15,22,Fraudcast News,7.2,1793,2004
16,1,Treehouse of Horror XV,7.4,2296,2004
16,2,All's Fair in Oven War,6.9,1855,2004
16,3,Sleeping with the Enemy,7.2,1891,2004
16,4,She Used to Be My Girl,6.5,1805,2004
16,5,Fat Man and Little Boy,7,1749,2004
16,6,Midnight Rx,7.1,1794,2005
16,7,Mommie Beerest,6.8,1718,2005
16,8,Homer and Ned's Hail Mary Pass,6.2,1797,2005
16,9,Pranksta Rap,6.5,1849,2005
16,10,There's Something About Marrying,6.9,1861,2005
16,11,On a Clear Day I Can't See My Sister,6.7,1836,2005
16,12,Goo Goo Gai Pan,6.9,1850,2005
16,13,Mobile Homer,6.7,1725,2005
16,14,The Seven-Beer Snitch,6.7,1715,2005
16,15,Future-Drama,7.3,1938,2005
16,16,Don't Fear the Roofer,7.4,2023,2005
16,17,The Heartbroke Kid,7.1,1855,2005
16,18,A Star Is Torn,6.7,1746,2005
16,19,Thank God It's Doomsday,7.2,1801,2005
16,20,Home Away from Homer,7.1,1717,2005
16,21,"The Father, the Son, and the Holy Guest Star",7.2,1890,2005
17,1,The Bonfire of the Manatees,6.2,1878,2005
17,2,The Girl Who Slept Too Little,6.8,1803,2005
17,3,Milhouse of Sand and Fog,6.8,1713,2005
17,4,Treehouse of Horror XVI,7.3,2157,2005
17,5,Marge's Son Poisoning,6.9,1795,2005
17,6,See Homer Run,6.8,1732,2005
17,7,The Last of the Red Hat Mamas,6.6,1749,2005
17,8,The Italian Bob,7.2,2033,2005
17,9,Simpsons Christmas Stories,6.7,1787,2005
17,10,Homer's Paternity Coot,6.6,1732,2006
17,11,We're on the Road to D'ohwhere,6.9,1708,2006
17,12,My Fair Laddy,6.5,1760,2006
17,13,The Seemingly Never-Ending Story,7.7,2044,2006
17,14,Bart Has Two Mommies,7,1740,2006
17,15,"Homer Simpson, This Is Your Wife",6.4,2067,2006
17,16,Million Dollar Abie,6.2,1723,2006
17,17,"Kiss Kiss, Bang Bangalore",7.1,1880,2006
17,18,The Wettest Stories Ever Told,6.7,1705,2006
17,19,Girls Just Want to Have Sums,7.1,1865,2006
17,20,Regarding Margie,6.7,1732,2006
17,21,The Monkey Suit,7.1,1811,2006
17,22,Homer and Marge Turn a Couple Play,6.3,1738,2006
18,1,"The Mook, the Chef, the Wife and Her Homer",7.5,2154,2006
18,2,Jazzy & The Pussycats,6.6,1930,2006
18,3,"Please Homer, Don't Hammer 'Em",6.7,1842,2006
18,4,Treehouse of Horror XVII,6.8,2195,2006
18,5,G.I. (Annoyed Grunt),6.7,1835,2006
18,6,Moe'N'a Lisa,6.7,1773,2006
18,7,Ice Cream of Margie (with the Light Blue Hair),6.9,1792,2006
18,8,The Haw-Hawed Couple,7.2,1785,2006
18,9,"Kill Gil, Vol. 1 & 2",6.2,1870,2006
18,10,The Wife Aquatic,6.5,1765,2007
18,11,Revenge Is a Dish Best Served Three Times,6.9,1740,2007
18,12,Little Big Girl,6.7,1856,2007
18,13,Springfield Up,7.3,1857,2007
18,14,Yokel Chords,6.8,1784,2007
18,15,Rome-old and Juli-eh,6.3,1748,2007
18,16,Homerazzi,7,1788,2007
18,17,Marge Gamer,7.3,1982,2007
18,18,The Boys of Bummer,5.8,1957,2007
18,19,Crook and Ladder,6.9,1676,2007
18,20,"Stop, or My Dog Will Shoot!",6.8,1651,2007
18,21,24 Minutes,8.1,2821,2007
18,22,You Kent Always Say What You Want,7.1,1882,2007
19,1,He Loves to Fly and He D'ohs,6.6,1842,2007
19,2,Homer of Seville,6.5,1851,2007
19,3,Midnight Towboy,7.1,1778,2007
19,4,I Don't Wanna Know Why the Caged Bird Sings,6.7,1707,2007
19,5,Treehouse of Horror XVIII,6.9,2021,2007
19,6,Little Orphan Millie,6.6,1707,2007
19,7,Husbands and Knives,6.9,1830,2007
19,8,Funeral for a Fiend,7.1,1881,2007
19,9,Eternal Moonshine of the Simpson Mind,8.2,2583,2007
19,10,E Pluribus Wiggum,6.7,1752,2008
19,11,That '90s Show,6.3,2402,2008
19,12,"Love, Springfieldian Style",6.5,1768,2008
19,13,The DeBarted,7.6,2099,2008
19,14,Dial 'N' for Nerder,7.4,1850,2008
19,15,Smoke on the Daughter,6.6,1687,2008
19,16,Papa Don't Leech,6.1,1616,2008
19,17,Apocalypse Cow,6.8,1703,2008
19,18,Any Given Sundance,7,1695,2008
19,19,Mona Leaves-a,7,1736,2008
19,20,All About Lisa,6.4,1568,2008
20,1,"Sex, Pies and Idiot Scrapes",7.2,2044,2008
20,2,Lost Verizon,6.8,1819,2008
20,3,"Double, Double, Boy in Trouble",6.8,1771,2008
20,4,Treehouse of Horror XIX,7.1,2158,2008
20,5,Dangerous Curves,6.5,1678,2008
