season,episode,title,rating,votes,episode_year
1,1,Space Pilot 3000,8.6,5816,1999
1,2,The Series Has Landed,8,4628,1999
1,3,"I, Roommate",8.2,4484,1999
1,4,Love's Labours Lost in Space,8,4221,1999
1,5,Fear of a Bot Planet,7.8,3999,1999
1,6,A Fishful of Dollars,8.2,4106,1999
1,7,My Three Suns,7.7,3888,1999
1,8,A Big Piece of Garbage,8,3855,1999
1,9,Hell Is Other Robots,8.1,3962,1999
2,1,A Flight to Remember,8.2,3827,1999
2,2,Mars University,7.7,3610,1999
2,3,When Aliens Attack,8,3487,1999
2,4,Fry and the Slurm Factory,8.3,3833,1999
2,5,I Second That Emotion,7.6,3356,1999
2,6,"Brannigan, Begin Again",7.8,3345,1999
2,7,A Head in the Polls,7.6,3252,1999
2,8,Xmas Story,8.1,3505,1999
2,9,Why Must I Be a Crustacean in Love?,8,3327,2000
2,10,Put Your Head on My Shoulders,7.5,3114,2000
2,11,The Lesser of Two Evils,7.6,3082,2000
2,12,Raging Bender,7.6,3026,2000
2,13,A Bicyclops Built for Two,8,3228,2000
2,14,How Hermes Requisitioned His Groove Back,8,3141,2000
2,15,A Clone of My Own,7.5,2987,2000
2,16,The Deep South,7.8,3118,2000
2,17,Bender Gets Made,7.6,2972,2000
2,18,The Problem with Popplers,8.5,3329,2000
2,19,Mother's Day,7.8,2956,2000
2,20,Anthology of Interest I,8.5,3345,2000
3,1,The Honking,7.5,3046,2000
3,2,War Is the H-Word,8.4,3251,2000
3,3,The Cryonic Woman,7.4,2912,2000
3,4,Parasites Lost,9,3789,2001
3,5,Amazon Women in the Mood,8.6,3730,2001
3,6,Bendless Love,7.3,2788,2001
3,7,The Day the Earth Stood Stupid,8.5,3115,2001
3,8,That's Lobstertainment!,7.1,2801,2001
3,9,The Birdbot of Ice-Catraz,7.5,2742,2001
3,10,The Luck of the Fryrish,9.4,6115,2001
3,11,The Cyber House Rules,7.7,2814,2001
3,12,Insane in the Mainframe,8.1,2938,2001
3,13,Bendin' in the Wind,7.3,2823,2001
3,14,Time Keeps on Slipping,8.3,3103,2001
3,15,I Dated a Robot,7.6,2817,2001
4,1,Roswell That Ends Well,9.1,3962,2001
4,2,A Tale of Two Santas,7.7,2760,2001
4,3,Anthology of Interest II,8.2,2901,2002
4,4,Love and Rocket,7.7,2750,2002
4,5,Leela's Homeworld,8.7,3293,2002
4,6,Where the Buggalo Roam,7.5,2649,2002
4,7,A Pharaoh to Remember,7.6,2729,2002
4,8,Godfellas,8.9,3901,2002
4,9,Future Stock,7.7,2695,2002
4,10,A Leela of Her Own,6.9,2611,2002
4,11,The 30% Iron Chef,7.6,2612,2002
4,12,Where No Fan Has Gone Before,8.3,3175,2002
5,1,Crimes of the Hot,7.8,2599,2002
5,2,Jurassic Bark,9.5,7657,2002
5,3,The Route of All Evil,7.3,2544,2002
5,4,A Taste of Freedom,7.7,2571,2002
5,5,Kif Gets Knocked Up a Notch,7.5,2597,2003
5,6,Less Than Hero,7.7,2595,2003
5,7,Teenage Mutant Leela's Hurdles,8.3,2744,2003
5,8,The Why of Fry,8.7,3024,2003
5,9,The Sting,9.2,4142,2003
5,10,The Farnsworth Parabox,8.9,3342,2003
5,11,Three Hundred Big Boys,8.2,2771,2003
5,12,Spanish Fry,7.6,2544,2003
5,13,Bend Her,7.2,2591,2003
5,14,Obsoletely Fabulous,7.7,2490,2003
5,15,Bender Should Not Be Allowed on TV,7.5,2495,2003
5,16,The Devil's Hands Are Idle Playthings,9.1,4095,2003
6,1,Bender's Big Score: Part 1,7.8,1054,2008
6,2,Bender's Big Score: Part 2,7.9,1020,2008
6,3,Bender's Big Score: Part 3,8,1013,2008
6,4,Bender's Big Score: Part 4,8.2,1045,2008
