season,episode,title,rating,votes,episode_year
1,1,"To Me, My X-Men",8.2,8342,2024
1,2,Mutant Liberation Begins,9,8370,2024
1,3,Fire Made Flesh,8.5,7488,2024
1,4,Motendo/Lifedeath - Part 1,6.9,7250,2024
1,5,Remember It,9.7,13122,2024
1,6,Lifedeath - Part 2,7.7,6383,2024
1,7,Bright Eyes,8.5,6419,2024
1,8,Tolerance Is Extinction - Part 1,9.2,7095,2024
1,9,Tolerance Is Extinction - Part 2,9.3,6897,2024
1,10,Tolerance Is Extinction - Part 3,9.3,6677,2024
2,1,Days of Past Future,8.2,3957,2026
2,2,A Force to Be Reckoned With,8.2,3750,2026
2,3,Rise of Apocalypse: Part 1,8.4,3681,2026
2,4,Rise of Apocalypse: Part II,9.4,4610,2026
2,5,"Weapon X, Lies, and DVDs",7.7,3410,2026
2,6,Danger.exe,7.9,3062,2026
2,7,"Strange Land, Savage Heart",7.9,2869,2026
2,8,The Dead Man's Hand,8.3,2869,2026
2,9,Survival of the Fittest,8.5,2972,2026
