season,episode,title,rating,votes,episode_year
1,1,The Cat and the Claw: Part 1,7.7,4568,1992
1,2,On Leather Wings,7.6,5358,1992
1,3,Heart of Ice,9,5481,1992
1,4,Feat of Clay: Part 1,8.3,3988,1992
1,5,Feat of Clay: Part 2,8.6,3997,1992
1,6,It's Never Too Late,7.6,3714,1992
1,7,Joker's Favor,8.5,3944,1992
1,8,The Cat and the Claw: Part 2,7.6,3605,1992
1,9,Pretty Poison,7.9,3944,1992
1,10,Nothing to Fear,8,4211,1992
1,11,Be a Clown,7.5,3490,1992
1,12,Appointment in Crime Alley,7.6,3073,1992
1,13,P.O.V.,7.5,3508,1992
1,14,The Clock King,7.6,3020,1992
1,15,The Last Laugh,7.7,3665,1992
1,16,Eternal Youth,7.3,2803,1992
1,17,Two-Face: Part 1,9.1,4648,1992
1,18,Two-Face: Part 2,9,4375,1992
1,19,Fear of Victory,7.6,2846,1992
1,20,I've Got Batman in My Basement,6.5,3118,1992
1,21,Vendetta,7.5,2776,1992
1,22,Prophecy of Doom,6.7,2733,1992
1,23,The Forgotten,7.2,3144,1992
1,24,Mad as a Hatter,8,2916,1992
1,25,The Cape and Cowl Conspiracy,7.5,2652,1992
1,26,Perchance to Dream,9,3447,1992
1,27,The Underdwellers,6.7,3103,1992
1,28,Night of the Ninja,7.5,2537,1992
1,29,The Strange Secret of Bruce Wayne,8.2,2665,1992
1,30,Tyger Tyger,7,2456,1992
1,31,Dreams in Darkness,8.3,2743,1992
1,32,Beware the Gray Ghost,8.9,3605,1992
1,33,Cat Scratch Fever,7.2,2396,1992
1,34,I Am the Night,8.6,2739,1992
1,35,Almost Got 'im,9.2,3750,1992
1,36,Moon of the Wolf,6.7,2314,1992
1,37,Terror in the Sky,7.3,2299,1992
1,38,Christmas with the Joker,7.8,3939,1992
1,39,Heart of Steel: Part 1,7.8,2399,1992
1,40,Heart of Steel: Part 2,7.9,2390,1992
1,41,"If You're So Smart, Why Aren't You Rich?",8.3,2625,1992
1,42,Joker's Wild,8.2,2499,1992
1,43,His Silicon Soul,8.2,2310,1992
1,44,Off Balance,7.6,2228,1992
1,45,What Is Reality?,7.7,2309,1992
1,46,The Laughing Fish,8.5,2652,1993
1,47,Harley and Ivy,8.6,2573,1993
1,48,The Mechanic,7.5,2156,1993
1,49,The Man Who Killed Batman,8.8,2717,1993
1,50,Zatanna,7.8,2268,1993
1,51,Robin's Reckoning: Part I,8.7,2684,1993
1,52,Birds of a Feather,7.7,2169,1993
1,53,Robin's Reckoning: Part II,8.6,2556,1993
1,54,Blind as a Bat,7.3,2035,1993
1,55,Day of the Samurai,7.8,2181,1993
1,56,See No Evil,7.7,2421,1993
1,57,The Demon's Quest: Part I,8.3,2242,1993
1,58,The Demon's Quest: Part II,8.3,2209,1993
1,59,Read My Lips,8.3,2226,1993
1,60,Fire from Olympus,6.9,2054,1993
2,1,Shadow of the Bat: Part 1,8.3,2252,1993
2,2,Shadow of the Bat: Part 2,8.3,2205,1993
2,3,Mudslide,8.1,2200,1993
2,4,The Worry Men,7.2,1983,1993
2,5,Paging the Crime Doctor,7.5,2034,1993
2,6,House & Garden,8.3,2080,1994
2,7,Sideshow,7.8,1986,1994
2,8,Avatar,7.5,1918,1994
2,9,Trial,9.1,2614,1994
2,10,Harlequinade,8.6,2202,1994
3,1,Bane,8.1,2116,1994
3,2,Second Chance,8.5,2232,1994
3,3,Riddler's Reform,8,1979,1994
3,4,Baby-Doll,7.8,2112,1994
3,5,Time Out of Joint,7.4,1850,1994
3,6,Harley's Holiday,8.6,2146,1994
3,7,Make 'Em Laugh,7.5,1861,1994
3,8,Batgirl Returns,7.6,1846,1994
3,9,Lock-Up,7.5,1865,1994
3,10,Deep Freeze,8.2,1980,1994
4,1,The Terrible Trio,6.7,1857,1995
4,2,Showdown,7.5,1898,1995
4,3,Catwalk,7.7,1848,1995
4,4,A Bullet for Bullock,8.1,1996,1995
4,5,The Lion and the Unicorn,7.2,1768,1995
