season,episode,title,rating,votes,episode_year
1,1,Tourist Trapped,8.2,6502,2012
1,2,The Legend of the Gobblewonker,7.7,5900,2012
1,3,Headhunters,7.9,5595,2012
1,4,The Hand That Rocks the Mabel,7.6,5363,2012
1,5,The Inconveniencing,8.5,5500,2012
1,6,Dipper vs. Manliness,7.7,5244,2012
1,7,Double Dipper,8.6,5404,2012
1,8,Irrational Treasure,8.1,5046,2012
1,9,The Time Traveler's Pig,9,5573,2012
1,10,Fight Fighters,8.5,5148,2012
1,11,Little Dipper,7.8,4805,2012
1,12,Summerween,8.6,5199,2012
1,13,Boss Mabel,7.7,4780,2012
1,14,Bottomless Pit!,8,4809,2012
1,15,The Deep End,7.6,4760,2012
1,16,Carpet Diem,8.5,4770,2012
1,17,Boyz Crazy,7.2,4798,2012
1,18,Land Before Swine,8.3,4682,2012
1,19,Dreamscaperers,9.3,5606,2012
1,20,Gideon Rises,9.3,5532,2012
2,1,Scary-oke,8.8,5142,2014
2,2,Into the Bunker,9.3,5494,2014
2,3,The Golf War,8.1,4780,2014
2,4,Sock Opera,8.7,5051,2014
2,5,Soos and the Real Girl,8.6,4920,2014
2,6,Little Gift Shop of Horrors,7.7,4598,2014
2,7,Society of the Blind Eye,9.2,5300,2014
2,8,Blendin's Game,9,4977,2014
2,9,The Love God,7.5,4574,2014
2,10,Northwest Mansion Mystery,9.2,5786,2015
2,11,Not What He Seems,9.8,11224,2015
2,12,A Tale of Two Stans,9.6,6879,2015
2,13,"Dungeons, Dungeons, and More Dungeons",8.3,4640,2015
2,14,The Stanchurian Candidate,8,4446,2015
2,15,The Last Mabelcorn,8.8,4819,2015
2,16,Roadside Attraction,7.8,4560,2015
2,17,Dipper and Mabel vs. the Future,9.3,5523,2015
2,18,Weirdmageddon Part 1,9.5,6144,2015
2,19,Weirdmageddon 2: Escape from Reality,9.4,5731,2015
2,20,Weirdmageddon 3: Take Back the Falls,9.7,11462,2016
2,21,Weirdmageddon 4: Somewhere in the Woods,9.8,8284,2016
