season,episode,title,rating,votes,episode_year
1,1,Pilot,7.8,12292,2020
1,2,Biscuits,8.1,10882,2020
1,3,Trent Crimm: The Independent,8.5,10905,2020
1,4,For the Children,8.2,10457,2020
1,5,Tan Lines,8.9,10982,2020
1,6,Two Aces,8.5,10002,2020
1,7,Make Rebecca Great Again,9,11438,2020
1,8,The Diamond Dogs,8.7,10130,2020
1,9,All Apologies,8.6,9413,2020
1,10,The Hope That Kills You,9.1,11318,2020
2,1,Goodbye Earl,7.6,9587,2021
2,2,Lavender,8,8826,2021
2,3,Do the Right-est Thing,8.4,9586,2021
2,4,Carol of the Bells,8.6,11629,2021
2,5,Rainbow,8.9,10528,2021
2,6,The Signal,8.6,8742,2021
2,7,Headspace,7.7,8325,2021
2,8,Man City,9,11111,2021
2,9,Beard After Hours,6.9,18391,2021
2,10,No Weddings and a Funeral,8.5,10248,2021
2,11,Midnight Train to Royston,8.2,8112,2021
2,12,Inverting the Pyramid of Success,8.8,9306,2021
3,1,Smells Like Mean Spirit,7.7,8835,2023
3,2,(I Don't Want to Go to) Chelsea,8.2,8284,2023
3,3,4-5-1,7.8,8208,2023
3,4,Big Week,8.1,7721,2023
3,5,Signs,7.2,8294,2023
3,6,Sunflowers,8.9,14603,2023
3,7,The Strings That Bind Us,8.3,9578,2023
3,8,We'll Never Have Paris,6.7,9354,2023
3,9,La Locker Room Aux Folles,8.5,9437,2023
3,10,International Break,8.5,9225,2023
3,11,Mom City,9.3,13196,2023
3,12,"So Long, Farewell",9.5,16297,2023
4,1,Home,7.6,5742,2026
4,2,Curiouser and Curiouser!,8.1,4255,2026
4,3,Richmond's Got Talent,7.6,3454,2026
4,4,Greyhounds' Day Off,7.6,3250,2026
4,5,Riches of Embarrassment,7.5,2502,2026
4,6,Don't Jump Around Much Anymore,7.7,2616,2026
4,7,Yes & Baby,7.5,1351,2026
