season,episode,title,rating,votes,episode_year
1,1,3 AM,8.5,12845,2017
1,2,Two Dead Men,8.1,10951,2017
1,3,Kandahar,8.3,10531,2017
1,4,Resupply,8.2,9950,2017
1,5,Gunner,8.6,9900,2017
1,6,The Judas Goat,8.1,9470,2017
1,7,Crosshairs,8.6,9500,2017
1,8,Cold Steel,8.7,9615,2017
1,9,Front Toward Enemy,8.9,9957,2017
1,10,Virtue of the Vicious,9.1,11224,2017
1,11,Danger Close,9.2,11687,2017
1,12,Home,9.5,15041,2017
1,13,Memento Mori,9.2,11876,2017
2,1,Roadhouse Blues,8.8,9260,2019
2,2,Fight or Flight,8,7330,2019
2,3,Trouble the Water,8.8,7772,2019
2,4,Scar Tissue,7.6,6908,2019
2,5,One-Eyed Jacks,8.1,6693,2019
2,6,Nakazat,7.8,6525,2019
2,7,One Bad Day,8.1,6467,2019
2,8,My Brother's Keeper,8,6418,2019
2,9,Flustercluck,8,6304,2019
2,10,The Dark Hearts of Men,8.6,6827,2019
2,11,The Abyss,8.3,6341,2019
2,12,Collision Course,8.7,6686,2019
2,13,The Whirlwind,9,7937,2019
