season,episode,title,rating,votes,episode_year
1,1,Wolferton Splash,8.2,7906,2016
1,2,Hyde Park Corner,8.9,7929,2016
1,3,Windsor,8.1,6236,2016
1,4,Act of God,8.6,6423,2016
1,5,Smoke and Mirrors,8.5,6027,2016
1,6,Gelignite,8,5539,2016
1,7,Scientia Potentia Est,8.7,5917,2016
1,8,Pride & Joy,8.3,5458,2016
1,9,Assassins,9,6745,2016
1,10,Gloriana,8.5,5421,2016
2,1,Misadventure,8.1,5062,2017
2,2,A Company of Men,8.1,4894,2017
2,3,Lisbon,8.3,4811,2017
2,4,Beryl,8.5,5490,2017
2,5,Marionettes,8.9,5515,2017
2,6,Vergangenheit,9.1,5983,2017
2,7,Matrimonium,8.1,4789,2017
2,8,Dear Mrs. Kennedy,9.1,6310,2017
2,9,Paterfamilias,8.7,5632,2017
2,10,Mystery Man,8.3,4716,2017
3,1,Olding,7.9,5587,2019
3,2,Margaretology,8.4,5310,2019
3,3,Aberfan,9.3,7974,2019
3,4,Bubbikins,8.6,5556,2019
3,5,Coup,8,4807,2019
3,6,Tywysog Cymru,9.1,6638,2019
3,7,Moondust,8.1,5486,2019
3,8,Dangling Man,8.1,4508,2019
3,9,Imbroglio,8,4167,2019
3,10,Cri de Coeur,8.2,4374,2019
4,1,Gold Stick,8.4,4947,2020
4,2,The Balmoral Test,8.6,4901,2020
4,3,Fairytale,8.7,4834,2020
4,4,Favourites,8.2,4424,2020
4,5,Fagan,8.5,4771,2020
4,6,Terra Nullius,8.8,4801,2020
4,7,The Hereditary Principle,8.2,4332,2020
4,8,48:1,8.5,4219,2020
4,9,Avalanche,8.2,3955,2020
4,10,War,8.7,4340,2020
5,1,Queen Victoria Syndrome,7.4,4220,2022
5,2,The System,7.6,3633,2022
5,3,Mou Mou,8.4,4585,2022
5,4,Annus Horribilis,7.9,3575,2022
5,5,The Way Ahead,7.6,3338,2022
5,6,Ipatiev House,7.9,3492,2022
5,7,No Woman's Land,7.5,3109,2022
5,8,Gunpowder,8.2,3266,2022
5,9,Couple 31,7.8,3063,2022
5,10,Decommissioned,7.3,3076,2022
6,1,Persona Non Grata,7.8,3172,2023
6,2,Two Photographs,7.8,2966,2023
6,3,Dis-Moi Oui,8.1,3329,2023
6,4,Aftermath,8.2,3549,2023
6,5,Willsmania,7.6,2827,2023
6,6,Ruritania,7.4,2657,2023
6,7,Alma Mater,7.4,2623,2023
6,8,Ritz,8.6,3530,2023
6,9,Hope Street,8,2491,2023
6,10,"Sleep, Dearie Sleep",9,4139,2023
