season,episode,title,rating,votes,episode_year
1,1,Smoke Gets in Your Eyes,8.1,7042,2007
1,2,Ladies Room,7.5,5302,2007
1,3,Marriage of Figaro,7.6,4916,2007
1,4,New Amsterdam,7.9,4678,2007
1,5,5G,8.1,4591,2007
1,6,Babylon,7.8,4499,2007
1,7,Red in the Face,8,4302,2007
1,8,The Hobo Code,8.3,4442,2007
1,9,Shoot,8.2,4256,2007
1,10,Long Weekend,8.2,4137,2007
1,11,Indian Summer,8.1,3929,2007
1,12,Nixon vs. Kennedy,9,4837,2007
1,13,The Wheel,9,5031,2007
2,1,For Those Who Think Young,7.6,3654,2008
2,2,Flight 1,7.8,3545,2008
2,3,The Benefactor,7.8,3482,2008
2,4,Three Sundays,8.1,3477,2008
2,5,The New Girl,8.3,3536,2008
2,6,Maidenform,7.9,3370,2008
2,7,The Gold Violin,8.4,3471,2008
2,8,A Night to Remember,8.3,3405,2008
2,9,Six Month Leave,8.5,3483,2008
2,10,The Inheritance,7.9,3255,2008
2,11,The Jet Set,8.3,3586,2008
2,12,The Mountain King,8.5,3484,2008
2,13,Meditations in an Emergency,8.9,3790,2008
3,1,Out of Town,8.1,3335,2009
3,2,Love Among the Ruins,7.7,3116,2009
3,3,My Old Kentucky Home,8,3323,2009
3,4,The Arrangements,8,3115,2009
3,5,The Fog,8,3147,2009
3,6,Guy Walks Into an Advertising Agency,9.1,4225,2009
3,7,Seven Twenty Three,8.4,3213,2009
3,8,Souvenir,7.9,3081,2009
3,9,Wee Small Hours,8.1,3039,2009
3,10,The Color Blue,8.3,3111,2009
3,11,The Gypsy and the Hobo,9.2,4229,2009
3,12,The Grown-Ups,8.9,3588,2009
3,13,Shut the Door. Have a Seat,9.6,7144,2009
4,1,Public Relations,8.5,3376,2010
4,2,Christmas Comes But Once a Year,8.2,3088,2010
4,3,The Good News,8.7,3403,2010
4,4,The Rejected,8.2,3041,2010
4,5,The Chrysanthemum and the Sword,8.6,3185,2010
4,6,Waldorf Stories,8.6,3221,2010
4,7,The Suitcase,9.7,8200,2010
4,8,The Summer Man,8.6,3340,2010
4,9,The Beautiful Girls,8.8,3361,2010
4,10,Hands and Knees,8.7,3083,2010
4,11,Chinese Wall,8.3,2879,2010
4,12,Blowing Smoke,8.8,3149,2010
4,13,Tomorrowland,9,3600,2010
5,1,"A Little Kiss, Part 1",8.5,3424,2012
5,2,"A Little Kiss, Part 2",8.4,3097,2012
5,3,Tea Leaves,7.8,2972,2012
5,4,Mystery Date,8.6,3234,2012
5,5,Signal 30,9.1,3942,2012
5,6,Far Away Places,9.1,4281,2012
5,7,At the Codfish Ball,8.7,3267,2012
5,8,Lady Lazarus,8.2,2971,2012
5,9,Dark Shadows,8,2811,2012
5,10,Christmas Waltz,8.2,2939,2012
5,11,The Other Woman,9.4,4550,2012
5,12,Commissions and Fees,9.4,4391,2012
5,13,The Phantom,8.6,3239,2012
6,1,"The Doorway, Part 1",7.5,3078,2013
6,2,"The Doorway, Part 2",7.6,2888,2013
6,3,Collaborators,7.8,2819,2013
6,4,To Have and to Hold,8,2784,2013
6,5,The Flood,8.2,2922,2013
6,6,For Immediate Release,8.8,3322,2013
6,7,Man with a Plan,7.9,2786,2013
6,8,The Crash,8.7,3662,2013
6,9,The Better Half,8.3,2858,2013
6,10,A Tale of Two Cities,8.1,2698,2013
6,11,Favors,8.7,3044,2013
6,12,The Quality of Mercy,8.5,2738,2013
6,13,In Care Of,9.1,3519,2013
7,1,Time Zones,7.9,2990,2014
7,2,A Day's Work,8.3,2875,2014
7,3,Field Trip,8.5,2975,2014
7,4,The Monolith,8.5,2844,2014
7,5,The Runaways,8.5,2888,2014
7,6,The Strategy,8.9,3315,2014
7,7,Waterloo,9.5,4700,2014
7,8,Severance,8.1,2963,2015
7,9,New Business,7.8,2818,2015
7,10,The Forecast,8.2,2815,2015
7,11,Time & Life,8.9,3073,2015
7,12,Lost Horizon,9,3312,2015
7,13,The Milk and Honey Route,9.1,3613,2015
7,14,Person to Person,9.3,5959,2015
