season,episode,title,rating,votes,episode_year
1,1,A Lying Witch and a Warden,7.7,2031,2020
1,2,Witches Before Wizards,7.3,1798,2020
1,3,I Was a Teenage Abomination,7.8,1753,2020
1,4,The Intruder,8.1,1711,2020
1,5,Covention,8.5,1899,2020
1,6,Hooty's Moving Hassle,7.5,1605,2020
1,7,Lost in Language,8.5,1856,2020
1,8,Once Upon a Swap,7,1617,2020
1,9,"Something Ventured, Someone Framed",7.6,1551,2020
1,10,Escape of the Palisman,7.5,1534,2020
1,11,Sense and Insensitivity,7.3,1498,2020
1,12,Adventures in the Elements,8.5,1584,2020
1,13,The First Day,8.4,1540,2020
1,14,Really Small Problems,6.9,1520,2020
1,15,Understanding Willow,9,1864,2020
1,16,Enchanting Grom Fright,9.3,2196,2020
1,17,Wing It Like Witches,8.4,1599,2020
1,18,Agony of a Witch,9.5,2058,2020
1,19,"Young Blood, Old Souls",9.1,1755,2020
2,1,Separate Tides,8.1,1605,2021
2,2,Escaping Expulsion,8.6,1730,2021
2,3,Echoes of the Past,9,1751,2021
2,4,Keeping Up A-Fear-Ances,8.1,1483,2021
2,5,Through the Looking Glass Ruins,8.9,1815,2021
2,6,Hunting Palismen,9,1601,2021
2,7,Eda's Requiem,9,1825,2021
2,8,"Knock, Knock, Knockin' on Hooty's Door",9.6,2656,2021
2,9,Eclipse Lake,9.1,1729,2021
2,10,Yesterday's Lie,9.3,1632,2021
2,11,Follies at the Coven Day Parade,8.3,1312,2022
2,12,Elsewhere and Elsewhen,8.8,1308,2022
2,13,Any Sport in a Storm,8.4,1322,2022
2,14,Reaching Out,9.1,1436,2022
2,15,"Them's the Breaks, Kid",8.4,1317,2022
2,16,Hollow Mind,9.6,1978,2022
2,17,Edge of the World,8.7,1312,2022
2,18,Labyrinth Runners,8.9,1340,2022
2,19,"O Titan, Where Art Thou",9.1,1303,2022
2,20,Clouds on the Horizon,9.3,1443,2022
2,21,King's Tide,9.7,2174,2022
3,1,Thanks to Them,9.3,2676,2022
3,2,For the Future,8.8,1617,2023
3,3,Watching and Dreaming,9.5,2325,2023
