season,episode,title,rating,votes
1,1,Rebirth,8.4,8875
1,2,Confrontation,9,9269
1,3,Dealings,8.4,7218
1,4,Pursuit,8.8,7411
1,5,Tactics,8.5,7006
1,6,Unraveling,8.2,6692
1,7,Overcast,9.1,9036
1,8,Glare,8.4,6484
1,9,Encounter,8.6,6584
1,10,Doubt,8.1,6284
1,11,Assault,8.7,6501
1,12,Love,8.3,6125
1,13,Confession,8.3,6032
1,14,Friend,8.2,5958
1,15,Wager,8.9,6722
1,16,Decision,8.3,5904
1,17,Execution,8,5896
1,18,Ally,7.3,5748
1,19,Matsuda,7.6,5695
1,20,Makeshift,7.3,5624
1,21,Performance,7.7,5573
1,22,Guidance,8.1,5638
1,23,Frenzy,8.9,6452
1,24,Revival,9.3,9177
1,25,Silence,9.6,13738
1,26,Renewal,7,7304
1,27,Abduction,7.2,5459
1,28,Impatience,7.3,5312
1,29,Father,7.9,7508
1,30,Justice,7.6,5206
1,31,Transfer,7.6,5215
1,32,Selection,7.8,5302
1,33,Scorn,7.1,5209
1,34,Vigilance,7.2,5124
1,35,Malice,7.9,5383
1,36,1.28,9,7038
1,37,New World,8.7,9047
