player_id,fivb_played,fivb_1st,fivb_2nd,fivb_3rd,fivb_4th,fivb_5th,fivb_9th,fivb_other,fivb_money,player,country,age
14741,81,30,7,11,3,12,9,9,937085,Anders Mol,Norway,28
13274,97,29,7,11,3,14,11,22,945782,Christian Sorum,Norway,30
17928,56,17,6,4,3,9,6,11,421401,David Åhman,Sweden,24
18278,54,16,6,4,3,9,6,10,402149,Jonatan Hellvig,Sweden,24
17561,29,3,1,2,1,8,9,5,111500,Miles Partain,USA,24
13454,57,1,0,3,3,9,19,22,168275,Taylor Crabb,USA,34
18352,29,3,1,2,1,8,9,5,100000,Andy Benesh,USA,31
13453,48,1,1,4,2,5,12,23,135000,Trevor Crabb,USA,36
13393,73,9,8,3,2,14,16,21,353546,Ondrej Perusic,Czechia,31
16538,73,9,8,3,2,14,16,21,353546,David Schweiner,Czechia,31
17592,50,5,5,5,3,10,10,12,285000,Nils Ehlers,Germany,32
13767,55,5,5,5,4,10,12,14,290000,Clemens Wickler,Germany,30
15097,74,8,7,6,2,18,16,17,388100,Cherif Younousse,Qatar,30
15096,74,8,7,6,2,18,16,17,388100,Ahmed Tijan,Qatar,30
18616,35,3,2,8,3,7,5,7,220986,Stefan Boermans,Netherlands,31
17881,35,3,2,8,3,7,5,7,201138,Yorick de Groot,Netherlands,25
11854,141,11,8,12,8,26,30,46,790900,Evandro Goncalves,Brazil,35
15323,63,6,4,5,4,12,15,17,203219,Arthur Lanci,Brazil,30
20306,21,6,3,1,0,4,1,6,105431,Elmer Andersson,Sweden,21
69,22,3,3,1,1,5,5,4,83750,Karch Kiraly,USA,65
151,105,10,7,3,6,8,15,56,435938,Sinjin Smith,USA,68
125,13,3,2,2,0,0,5,1,73525,Kent Steffes,USA,57
128,14,10,0,1,1,0,0,2,150250,Randy Stoklos,USA,65
31,18,0,3,2,1,3,3,6,70000,Mike Dodd,USA,68
138,18,3,6,1,0,1,2,5,158275,Mike Whitmarsh,USA,55
5214,200,38,20,18,12,30,30,52,1800000,Phil Dalhausser,USA,46
111,124,24,7,11,9,12,23,38,911100,Todd Rogers,USA,52
190,149,7,8,8,8,34,44,40,825688,Jake Gibb,USA,50
1163,109,10,6,4,3,18,21,47,630300,Sean Rosenthal,USA,45
1931,121,9,11,6,6,25,18,46,697500,Nick Lucena,USA,46
5327,85,2,2,3,4,17,24,33,362713,Casey Patterson,USA,45
13699,90,2,1,4,4,21,24,34,307463,Tri Bourne,USA,36
13452,67,1,4,1,3,11,14,33,115225,Chase Budinger,USA,37
13467,80,2,6,2,4,9,19,38,117439,Miles Evans,USA,36
12,68,2,1,3,4,5,17,36,207485,Dain Blanton,USA,54
38,63,1,2,1,4,7,20,28,184875,Eric Fonoimoana,USA,56
141,18,0,0,0,0,3,5,10,20000,Kevin Wong,USA,53
1922,36,2,1,1,1,4,10,17,90000,Jeff Nygaard,USA,53
60,50,4,3,2,2,6,12,21,175000,Dax Holdren,USA,53
90,54,2,2,3,1,6,14,26,150000,Stein Metzger,USA,53
11645,11,0,0,0,0,0,3,8,9250,Taylor Sander,USA,34
16101,22,0,0,1,0,2,5,14,25000,Evan Cory,USA,28
8338,95,3,3,4,4,13,18,50,275000,Adrian Carambula,USA,38
148,256,77,37,41,16,32,36,17,2562273,Emanuel Rego,Brazil,52
525,238,56,31,23,18,33,34,43,1921183,Ricardo Santos,Brazil,51
7998,152,28,18,15,9,27,28,27,1264550,Alison Cerutti,Brazil,40
8539,149,17,10,7,11,26,43,35,958775,Bruno Oscar Schmidt,Brazil,39
14454,94,9,5,9,4,8,22,37,324763,George Wanderley,Brazil,29
1901,109,9,11,14,9,12,13,41,671335,Julius Brink,Germany,43
2134,104,7,18,11,8,14,17,29,691428,Jonas Reckermann,Germany,46
9059,154,6,13,13,6,29,38,49,705038,Paolo Nicolai,Italy,37
9422,127,4,9,10,5,24,36,39,545238,Daniele Lupo,Italy,34
9129,150,7,11,8,9,31,37,47,648800,Alexander Brouwer,Netherlands,36
9130,134,7,10,8,7,26,34,42,609838,Robert Meeuwsen,Netherlands,38
2077,225,7,12,12,8,50,58,78,908814,Pablo Herrera,Spain,43
6874,170,14,7,10,8,17,44,70,695068,Janis Smedins,Latvia,38
6769,196,7,4,6,6,17,45,111,461582,Martins Plavins,Latvia,40
10745,112,12,7,8,5,18,24,38,520000,Viacheslav Krasilnikov,Russia,34
14263,68,5,4,3,4,10,16,26,280000,Oleg Stoyanovskiy,Russia,29
1530,109,2,4,5,5,13,25,55,350000,Mark Heese,Canada,65
