season,episode,title,rating,votes
1,1,Wolferton Splash,8.2,7827
1,2,Hyde Park Corner,8.9,7858
1,3,Windsor,8.1,6181
1,4,Act of God,8.6,6368
1,5,Smoke and Mirrors,8.5,5970
1,6,Gelignite,8,5486
1,7,Scientia Potentia Est,8.7,5863
1,8,Pride & Joy,8.3,5405
1,9,Assassins,9,6688
1,10,Gloriana,8.5,5374
2,1,Misadventure,8.1,5018
2,2,A Company of Men,8.1,4854
2,3,Lisbon,8.3,4773
2,4,Beryl,8.5,5445
2,5,Marionettes,8.9,5469
2,6,Vergangenheit,9.1,5928
2,7,Matrimonium,8.1,4748
2,8,Dear Mrs. Kennedy,9.1,6255
2,9,Paterfamilias,8.7,5588
2,10,Mystery Man,8.3,4673
3,1,Olding,7.9,5537
3,2,Margaretology,8.4,5264
3,3,Aberfan,9.3,7918
3,4,Bubbikins,8.6,5513
3,5,Coup,8,4775
3,6,Tywysog Cymru,9.1,6593
3,7,Moondust,8.1,5441
3,8,Dangling Man,8.1,4468
3,9,Imbroglio,8,4132
3,10,Cri de Coeur,8.2,4337
4,1,Gold Stick,8.4,4911
4,2,The Balmoral Test,8.6,4861
4,3,Fairytale,8.7,4795
4,4,Favourites,8.2,4389
4,5,Fagan,8.5,4731
4,6,Terra Nullius,8.8,4766
4,7,The Hereditary Principle,8.2,4298
4,8,48:1,8.5,4189
4,9,Avalanche,8.2,3923
4,10,War,8.7,4301
5,1,Queen Victoria Syndrome,7.4,4186
5,2,The System,7.6,3603
5,3,Mou Mou,8.4,4546
5,4,Annus Horribilis,7.9,3544
5,5,The Way Ahead,7.6,3306
5,6,Ipatiev House,7.9,3457
5,7,No Woman's Land,7.5,3075
5,8,Gunpowder,8.2,3234
5,9,Couple 31,7.8,3033
5,10,Decommissioned,7.3,3047
6,1,Persona Non Grata,7.8,3131
6,2,Two Photographs,7.8,2927
6,3,Dis-Moi Oui,8.1,3284
6,4,Aftermath,8.2,3505
6,5,Willsmania,7.6,2788
6,6,Ruritania,7.4,2622
6,7,Alma Mater,7.4,2582
6,8,Ritz,8.6,3482
6,9,Hope Street,8,2454
6,10,"Sleep, Dearie Sleep",9,4093
