season,episode,title,rating,votes
1,1,Pilot,8.7,7970
1,2,Errors and Omissions,8.2,5061
1,3,Inside Track,8,4598
1,4,Dirty Little Secrets,8,4366
1,5,Bail Out,8,4223
1,6,Tricks of the Trade,8,4136
1,7,Play the Man,8.4,4318
1,8,Identity Crisis,8,3994
1,9,Undefeated,8.3,3898
1,10,The Shelf Life,8.3,3821
1,11,Rules of the Game,8.4,3813
1,12,Dog Fight,8.8,4280
2,1,She Knows,8.9,4476
2,2,The Choice,8.2,3640
2,3,Meet the New Boss,8.2,3518
2,4,Discovery,8.4,3530
2,5,Break Point,8.7,3774
2,6,All In,8.3,3496
2,7,Sucker Punch,9,4182
2,8,Rewind,8.5,3718
2,9,Asterisk,8.7,3573
2,10,High Noon,9.1,4712
2,11,Blind-Sided,8,3494
2,12,Blood in the Water,8.4,3360
2,13,Zane vs. Zane,8.2,3277
2,14,He's Back,8.4,3239
2,15,Normandy,8.3,3240
2,16,War,8.6,3844
3,1,The Arrangement,8.3,3761
3,2,I Want You to Want Me,8.3,3225
3,3,Unfinished Business,8.2,3133
3,4,Conflict of Interest,8.2,3061
3,5,Shadow of a Doubt,8,2963
3,6,The Other Time,8.5,3210
3,7,She's Mine,8.6,3320
3,8,Endgame,8.5,3035
3,9,Bad Faith,8.2,2940
3,10,Stay,8.3,3079
3,11,Buried Secrets,8.2,2881
3,12,Yesterday's Gone,8.9,3384
3,13,Moot Point,8.2,2727
3,14,Heartburn,8.8,3025
3,15,Know When to Fold 'Em,8.6,2877
3,16,No Way Out,9.2,4334
4,1,One-Two-Three Go...,8.3,3315
4,2,"Breakfast, Lunch and Dinner",8.2,2801
4,3,Two in the Knees,8.2,2781
4,4,Leveraged,8,2700
4,5,Pound of Flesh,8.2,2684
4,6,Litt the Hell Up,8.7,2980
4,7,We're Done,8.7,3063
4,8,Exposure,8.8,2941
4,9,Gone,9.2,3457
4,10,This Is Rome,9.4,4823
4,11,Enough Is Enough,8.8,3131
4,12,Respect,8.2,2599
4,13,Fork in the Road,8.7,2918
4,14,Derailed,8.4,2720
4,15,Intent,9.1,3468
4,16,Not Just a Pretty Face,9,3178
5,1,Denial,8.7,3617
5,2,Compensation,8.4,2938
5,3,No Refills,8.7,2897
5,4,No Puedo Hacerlo,8.8,3123
5,5,Toe to Toe,8.4,2687
5,6,Privilege,8.5,2692
5,7,Hitting Home,9.2,3682
5,8,Mea Culpa,8.9,3059
5,9,Uninvited Guests,8.7,2944
5,10,Faith,9.7,11225
5,11,Blowback,9.2,3931
5,12,Live to Fight...,8.9,2923
5,13,God's Green Earth,8.7,2789
5,14,Self Defense,9.2,3481
5,15,Tick Tock,9.5,4868
5,16,25th Hour,9.3,4700
6,1,To Trouble,8.1,3190
6,2,Accounts Payable,8,2540
6,3,Back on the Map,8.2,2400
6,4,Turn,8.1,2356
6,5,Trust,8,2202
6,6,Spain,7.8,2215
6,7,Shake the Trees,7.9,2202
6,8,Borrowed Time,8.4,2350
6,9,The Hand That Feeds You,9,3210
6,10,P.S.L.,9.4,4957
6,11,She's Gone,8.1,2450
6,12,The Painting,8.6,2414
6,13,"Teeth, Nose, Teeth",8.2,2150
6,14,Admission of Guilt,8.1,2013
6,15,Quid Pro Quo,8.1,2030
6,16,Character and Fitness,9.5,5889
7,1,Skin in the Game,8.5,2859
7,2,The Statue,8.1,2101
7,3,Mudmare,7.7,1964
7,4,Divide and Conquer,7.8,1885
7,5,Brooklyn Housing,7.7,1809
7,6,Home to Roost,8.1,1882
7,7,Full Disclosure,8.2,1902
7,8,100,8.5,1982
7,9,Shame,7.8,1780
7,10,Donna,8.8,2585
7,11,Hard Truths,8,1906
7,12,Bad Man,7.6,1726
7,13,Inevitable,8.4,2018
7,14,Pulling the Goalie,8.2,1773
7,15,Tiny Violin,8.2,1707
7,16,Good-Bye,7.8,2311
8,1,Right-Hand Man,7.2,2019
8,2,Pecking Order,7.2,1693
8,3,"Promises, Promises",7.5,1647
8,4,Revenue Per Square Foot,7.5,1642
8,5,Good Mudding,7.6,1607
8,6,"Cats, Ballet, Harvey Specter",7.9,1676
8,7,Sour Grapes,7.5,1544
8,8,Coral Gables,7.2,1494
8,9,Motion to Delay,7.4,1459
8,10,Managing Partner,8.6,2008
8,11,Rocky 8,7.6,1466
8,12,Whale Hunt,7.5,1402
8,13,The Greater Good,7.6,1366
8,14,Peas in a Pod,8,1420
8,15,Stalking Horse,7.9,1379
8,16,Harvey,8.7,2081
9,1,Everything's Changed,7.9,1709
9,2,Special Master,7.6,1471
9,3,Windmills,7.5,1432
9,4,Cairo,7.7,1431
9,5,If the Shoe Fits,8.3,1631
9,6,Whatever It Takes,7.6,1422
9,7,Scenic Route,7.5,1609
9,8,Prisoner's Dilemma,8.6,1805
9,9,Thunder Away,9.1,2166
9,10,One Last Con,9.4,4503
