season,episode,title,rating,votes
1,1,Velma,2.7,5400
1,2,The Candy (Wo)man,2.7,4589
1,3,Velma Kai,2.8,3241
1,4,Velma Makes a List,2.8,3359
1,5,Marching Band Sleepover,3,2267
1,6,The Sins of the Fathers and Some of the Mothers,3.1,2452
1,7,Fog Fest,3,1947
1,8,A Velma in the Woods,3,1987
1,9,Family (Wo)man,3,1711
1,10,The Brains of the Operation,3.2,2022
2,1,The Mystery of Teen Romance,3.2,894
2,2,Creaky Friday,3.2,831
2,3,When Velma Met Money,3.3,820
2,4,Seancé,3.3,798
2,5,Burning Woman,3.3,783
2,6,Private Velmjamin,3.4,785
2,7,Female Utopia,3.3,772
2,8,Aman Hunt,3.4,774
2,9,The Real Villain,3.7,835
2,10,Til Death,3.4,854
2,11,This Halloween Needs to Be More Special!,4.1,629
