season,episode,title,rating,votes
1,1,The Target,7.8,9647
1,2,The Detail,8.1,7815
1,3,The Buys,8.1,7312
1,4,Old Cases,8.2,7076
1,5,The Pager,8.2,6767
1,6,The Wire,8.5,6945
1,7,One Arrest,8.4,6525
1,8,Lessons,8.5,6522
1,9,Game Day,8.7,6754
1,10,The Cost,9.2,7791
1,11,The Hunt,8.8,6695
1,12,Cleaning Up,9.1,7310
1,13,Sentencing,9,7106
2,1,Ebb Tide,7.7,6158
2,2,Collateral Damage,8,5722
2,3,Hot Shots,8,5555
2,4,Hard Cases,8,5460
2,5,Undertow,8.1,5352
2,6,All Prologue,8.8,6101
2,7,Backwash,8.2,5278
2,8,Duck and Cover,8.3,5337
2,9,Stray Rounds,8.5,5380
2,10,Storm Warnings,9,6041
2,11,Bad Dreams,9.2,6634
2,12,Port in a Storm,9,6180
3,1,Time After Time,8,5226
3,2,All Due Respect,8.3,5104
3,3,Dead Soldiers,8.3,5083
3,4,Amsterdam,8.3,5040
3,5,Straight and True,8.5,5031
3,6,Homecoming,8.6,5068
3,7,Back Burners,8.5,4937
3,8,Moral Midgetry,8.9,5534
3,9,Slapstick,8.7,5101
3,10,Reformation,8.7,5075
3,11,Middle Ground,9.6,9052
3,12,Mission Accomplished,9.3,6381
4,1,Boys of Summer,8.3,5076
4,2,Soft Eyes,8.4,4820
4,3,Home Rooms,8.6,4872
4,4,Refugees,8.3,4716
4,5,Alliances,8.5,4701
4,6,Margin of Error,8.7,4923
4,7,Unto Others,8.4,4641
4,8,Corner Boys,8.5,4712
4,9,Know Your Place,8.5,4645
4,10,Misgivings,8.8,4969
4,11,A New Day,8.9,5106
4,12,That's Got His Own,9.3,5981
4,13,Final Grades,9.5,7746
5,1,More with Less,8,4672
5,2,Unconfirmed Reports,8.1,4490
5,3,Not for Attribution,8.5,4588
5,4,Transitions,8.8,4790
5,5,React Quotes,8.6,4557
5,6,The Dickensian Aspect,8.3,4415
5,7,Took,8.4,4510
5,8,Clarifications,8.9,5210
5,9,Late Editions,9.4,5801
5,10,-30-,9.6,8383
