store_id,state,city,street,postal_code,phone,lat,lon,url,scraped_at
737,AL,Birmingham,"205 Summit Blvd, Suite 100",35243,205-969-7801,33.44651,-86.72929,https://locations.traderjoes.com/al/birmingham/737/,2026-04-24
838,AL,Hoover,1769 Montgomery Hwy,35244,205-202-7715,33.3783,-86.80402,https://locations.traderjoes.com/al/hoover/838/,2026-04-24
785,AL,Huntsville,1100 Mid City Dr NW,35806,256-890-7156,34.74014,-86.66557,https://locations.traderjoes.com/al/huntsville/785/,2026-04-24
756,AR,Little Rock,11500 Financial Centre Pky,72211,501-954-7659,34.74829,-92.40185,https://locations.traderjoes.com/ar/little-rock/756/,2026-04-24
287,AZ,Chandler,3961 S Arizona Ave,85248,520-453-3452,33.24914,-111.83819,https://locations.traderjoes.com/az/chandler/287/,2026-04-24
285,AZ,Gilbert,1779 E. Williams Field Rd.,85295,480-857-9878,33.30605,-111.75164,https://locations.traderjoes.com/az/gilbert/285/,2026-04-24
85,AZ,Glendale,8078 W Bell Rd,85308,928-397-9921,33.64006,-112.23115,https://locations.traderjoes.com/az/glendale/85/,2026-04-24
289,AZ,Goodyear,N Bullard Ave & McDowell Rd,85395,480-712-6645,33.46454,-112.37541,https://locations.traderjoes.com/az/goodyear/289/,2026-04-24
89,AZ,Mesa,2050 E Baseline Rd,85204,480-632-0951,33.38097,-111.78708,https://locations.traderjoes.com/az/mesa/89/,2026-04-24
96,AZ,Oro Valley,7912 N Oracle,85704,520-797-4207,32.35051,-110.97318,https://locations.traderjoes.com/az/oro-valley/96/,2026-04-24
177,AZ,Phoenix,"4025 E Chandler Blvd, Ste 38",85048,480-759-2293,33.30313,-111.99487,https://locations.traderjoes.com/az/phoenix/177/,2026-04-24
282,AZ,Phoenix,4726 East Shea Blvd,85028,602-485-7788,33.58331,-111.97903,https://locations.traderjoes.com/az/phoenix/282/,2026-04-24
90,AZ,Phoenix,4821 N 20th St,85016,602-912-9022,33.50712,-112.03781,https://locations.traderjoes.com/az/phoenix/90/,2026-04-24
283,AZ,Prescott,252 N Lee Blvd,86303,928-443-9075,34.54866,-112.40535,https://locations.traderjoes.com/az/prescott/283/,2026-04-24
286,AZ,Queen Creek,21186 S. Ellsworth Loop Rd,85142,480-877-7213,33.25605,-111.64026,https://locations.traderjoes.com/az/queen-creek/286/,2026-04-24
87,AZ,Scottsdale,7555 E Frank Lloyd Wright,85260,480-367-8920,33.63586,-111.91713,https://locations.traderjoes.com/az/scottsdale/87/,2026-04-24
94,AZ,Scottsdale,6202 N Scottsdale Rd,85253,480-948-9886,33.52944,-111.92758,https://locations.traderjoes.com/az/scottsdale/94/,2026-04-24
92,AZ,Surprise,14095 W Grand Ave,85374,623-546-1640,33.65138,-112.3674,https://locations.traderjoes.com/az/surprise/92/,2026-04-24
91,AZ,Tempe,940 E. University Drive,85281,480-303-9974,33.42239,-111.92502,https://locations.traderjoes.com/az/tempe/91/,2026-04-24
93,AZ,Tempe,6460 S McClintock Dr,85283,480-838-4142,33.36181,-111.91225,https://locations.traderjoes.com/az/tempe/93/,2026-04-24
191,AZ,Tucson,4209 N Campbell Ave,85719,520-325-0069,32.2835,-110.9448,https://locations.traderjoes.com/az/tucson/191/,2026-04-24
288,AZ,Tucson,2150 E Broadway Blvd,85719,NA,32.22113,-110.94,https://locations.traderjoes.com/az/tucson/288/,2026-04-24
88,AZ,Tucson,4766 E Grant Rd,85712,520-323-4500,32.24978,-110.89094,https://locations.traderjoes.com/az/tucson/88/,2026-04-24
95,AZ,Tucson,"1101 N Wilmot Rd, Ste 147",85712,520-733-1313,32.23717,-110.85892,https://locations.traderjoes.com/az/tucson/95/,2026-04-24
247,CA,Agoura Hills,28941 Canwood St,91301,818-865-8217,34.14644,-118.75665,https://locations.traderjoes.com/ca/agoura-hills/247/,2026-04-24
109,CA,Alameda,2217 South Shore Ctr,94501,510-769-5450,37.75778,-122.25148,https://locations.traderjoes.com/ca/alameda/109/,2026-04-24
195,CA,Aliso Viejo,26541 Aliso Creek Rd,92656,949-643-5531,33.57749,-117.72478,https://locations.traderjoes.com/ca/aliso-viejo/195/,2026-04-24
295,CA,Anaheim Hills,6336 E Santa Ana Canyon Rd,92807,NA,33.85617,-117.77096,https://locations.traderjoes.com/ca/anaheim-hills/295/,2026-04-24
117,CA,Arroyo Grande,955 Rancho Pkwy,93420,805-474-6114,35.1257,-120.59405,https://locations.traderjoes.com/ca/arroyo-grande/117/,2026-04-24
14,CA,Bakersfield,8200 Stockdale Hwy,93311,661-837-8863,35.35702,-119.09353,https://locations.traderjoes.com/ca/bakersfield/14/,2026-04-24
186,CA,Berkeley,1885 University Ave,94703,510-204-9074,37.87193,-122.27331,https://locations.traderjoes.com/ca/berkeley/186/,2026-04-24
11,CA,Brea,2500 E Imperial Hwy,92821,714-257-1180,33.91057,-117.87002,https://locations.traderjoes.com/ca/brea/11/,2026-04-24
201,CA,Brentwood,5451 Lone Tree Way,94513,925-516-3044,37.96115,-121.75011,https://locations.traderjoes.com/ca/brentwood/201/,2026-04-24
124,CA,Burbank,214 E Alameda Ave,91502,818-848-4299,34.17496,-118.29886,https://locations.traderjoes.com/ca/burbank/124/,2026-04-24
254,CA,Calabasas,23741 Calabasas Rd.,91302,818-591-6758,34.15567,-118.64498,https://locations.traderjoes.com/ca/calabasas/254/,2026-04-24
114,CA,Camarillo,363 Carmen Dr,93010,805-388-1925,34.21985,-119.05322,https://locations.traderjoes.com/ca/camarillo/114/,2026-04-24
73,CA,Campbell,1875 Bascom Ave,95008,408-369-7823,37.28796,-121.93328,https://locations.traderjoes.com/ca/campbell/73/,2026-04-24
64,CA,Capitola,"3555 Clares St, #D",95010,831-464-0115,36.97854,-121.97015,https://locations.traderjoes.com/ca/capitola/64/,2026-04-24
220,CA,Carlsbad,2629 Gateway Rd,92009,760-603-8473,33.12659,-117.25307,https://locations.traderjoes.com/ca/carlsbad/220/,2026-04-24
84,CA,Castro Valley,22224 Redwood Road,94546,510-538-2738,37.68536,-122.073,https://locations.traderjoes.com/ca/castro-valley/84/,2026-04-24
118,CA,Cathedral City,67720 E Palm Canyon Dr,92234,760-202-0090,33.7892,-116.48305,https://locations.traderjoes.com/ca/cathedral-city/118/,2026-04-24
104,CA,Cerritos,12861 Towne Center Dr,90703,562-402-5148,33.86924,-118.05813,https://locations.traderjoes.com/ca/cerritos/104/,2026-04-24
184,CA,Chatsworth,10330 Mason Ave,91311,818-341-3010,34.25826,-118.5788,https://locations.traderjoes.com/ca/chatsworth/184/,2026-04-24
199,CA,Chico,"801 East Ave, Ste 110",95926,530-343-9920,39.75933,-121.84651,https://locations.traderjoes.com/ca/chico/199/,2026-04-24
216,CA,Chino Hills,13911 Peyton Drive,91709,909-627-1404,34.00054,-117.73211,https://locations.traderjoes.com/ca/chino-hills/216/,2026-04-24
120,CA,Chula Vista,"878 Eastlake Pkwy, Ste 810",91914,619-656-5370,32.65132,-116.97039,https://locations.traderjoes.com/ca/chula-vista/120/,2026-04-24
214,CA,Claremont,475 W Foothill Blvd,91711,909-625-8784,34.10739,-117.72203,https://locations.traderjoes.com/ca/claremont/214/,2026-04-24
180,CA,Clovis,1077 N Willow Ave,93611,559-325-3120,36.84933,-119.72804,https://locations.traderjoes.com/ca/clovis/180/,2026-04-24
60,CA,Concord,1150 Concord Ave,94520,925-689-2990,37.97922,-122.0564,https://locations.traderjoes.com/ca/concord/60/,2026-04-24
83,CA,Concord,785 Oak Grove Rd,94518,925-521-1134,37.93683,-122.02474,https://locations.traderjoes.com/ca/concord/83/,2026-04-24
