season,episode,title,rating,votes
1,1,Smoke Gets in Your Eyes,8.1,6315
1,2,Ladies Room,7.5,4740
1,3,Marriage of Figaro,7.6,4406
1,4,New Amsterdam,7.9,4173
1,5,5G,8.1,4093
1,6,Babylon,7.8,4005
1,7,Red in the Face,8,3834
1,8,The Hobo Code,8.3,3979
1,9,Shoot,8.2,3810
1,10,Long Weekend,8.2,3694
1,11,Indian Summer,8.1,3518
1,12,Nixon vs. Kennedy,9,4331
1,13,The Wheel,9,4537
2,1,For Those Who Think Young,7.6,3291
2,2,Flight 1,7.8,3184
2,3,The Benefactor,7.8,3131
2,4,Three Sundays,8.1,3127
2,5,The New Girl,8.3,3194
2,6,Maidenform,7.9,3043
2,7,The Gold Violin,8.4,3142
2,8,A Night to Remember,8.3,3078
2,9,Six Month Leave,8.5,3140
2,10,The Inheritance,7.9,2938
2,11,The Jet Set,8.3,3251
2,12,The Mountain King,8.5,3142
2,13,Meditations in an Emergency,8.9,3432
3,1,Out of Town,8.2,3023
3,2,Love Among the Ruins,7.7,2810
3,3,My Old Kentucky Home,8.1,2999
3,4,The Arrangements,8,2812
3,5,The Fog,8,2831
3,6,Guy Walks Into an Advertising Agency,9.1,3832
3,7,Seven Twenty Three,8.4,2908
3,8,Souvenir,7.9,2786
3,9,Wee Small Hours,8.1,2740
3,10,The Color Blue,8.3,2808
3,11,The Gypsy and the Hobo,9.2,3796
3,12,The Grown-Ups,8.9,3243
3,13,Shut the Door. Have a Seat,9.7,6318
4,1,Public Relations,8.5,3073
4,2,Christmas Comes But Once a Year,8.2,2785
4,3,The Good News,8.7,3077
4,4,The Rejected,8.2,2747
4,5,The Chrysanthemum and the Sword,8.6,2888
4,6,Waldorf Stories,8.6,2916
4,7,The Suitcase,9.7,7340
4,8,The Summer Man,8.6,3021
4,9,The Beautiful Girls,8.8,3044
4,10,Hands and Knees,8.7,2780
4,11,Chinese Wall,8.3,2599
4,12,Blowing Smoke,8.8,2832
4,13,Tomorrowland,9,3252
5,1,"A Little Kiss, Part 1",8.5,3129
5,2,"A Little Kiss, Part 2",8.5,2825
5,3,Tea Leaves,7.8,2689
5,4,Mystery Date,8.6,2938
5,5,Signal 30,9,3573
5,6,Far Away Places,9.1,3885
5,7,At the Codfish Ball,8.7,2957
5,8,Lady Lazarus,8.2,2682
5,9,Dark Shadows,8,2538
5,10,Christmas Waltz,8.2,2651
5,11,The Other Woman,9.4,4137
5,12,Commissions and Fees,9.4,3965
5,13,The Phantom,8.6,2950
6,1,"The Doorway, Part 1",7.5,2800
6,2,"The Doorway, Part 2",7.7,2616
6,3,Collaborators,7.8,2548
6,4,To Have and to Hold,8,2511
6,5,The Flood,8.2,2643
6,6,For Immediate Release,8.8,3029
6,7,Man with a Plan,7.9,2512
6,8,The Crash,8.7,3291
6,9,The Better Half,8.3,2599
6,10,A Tale of Two Cities,8.1,2436
6,11,Favors,8.7,2754
6,12,The Quality of Mercy,8.5,2486
6,13,In Care Of,9.1,3202
7,1,Time Zones,7.9,2704
7,2,A Day's Work,8.3,2590
7,3,Field Trip,8.6,2671
7,4,The Monolith,8.5,2543
7,5,The Runaways,8.5,2589
7,6,The Strategy,8.9,2966
7,7,Waterloo,9.5,4235
7,8,Severance,8.1,2679
7,9,New Business,7.8,2539
7,10,The Forecast,8.2,2536
7,11,Time & Life,8.9,2753
7,12,Lost Horizon,9,2977
7,13,The Milk and Honey Route,9.1,3235
7,14,Person to Person,9.3,5380
