season,episode,title,rating,votes
1,1,The Name of the Game,8.7,32424
1,2,Cherry,8.5,26873
1,3,Get Some,8.3,25214
1,4,The Female of the Species,8.7,25526
1,5,Good for the Soul,8.3,24280
1,6,The Innocents,8.1,23230
1,7,The Self-Preservation Society,8.7,23752
1,8,You Found Me,9.1,28327
2,1,The Big Ride,8.1,22795
2,2,Proper Preparation and Planning,7.6,21778
2,3,Over the Hill with the Swords of a Thousand Men,9,25012
2,4,Nothing Like It in the World,8,21157
2,5,We Gotta Go Now,8.3,21258
2,6,The Bloody Doors Off,8.9,23184
2,7,"Butcher, Baker, Candlestick Maker",9,23919
2,8,What I Know,9.4,32792
3,1,Payback,8.3,23664
3,2,The Only Man in the Sky,8.6,23269
3,3,Barbary Coast,8.2,22022
3,4,Glorious Five Year Plan,8.9,24737
3,5,The Last Time to Look on This World of Lies,8.3,21978
3,6,Herogasm,9.6,53940
3,7,Here Comes a Candle to Light You to Bed,8.9,25459
3,8,The Instant White-Hot Wild,8.3,29575
4,1,Department of Dirty Tricks,7.4,28398
4,2,Life Among the Septics,7.1,25732
4,3,We'll Keep the Red Flag Flying Here,7.4,24568
4,4,Wisdom of the Ages,8.9,34085
4,5,"Beware the Jabberwock, My Son",8,25054
4,6,Dirty Business,7.4,25164
4,7,The Insider,8.2,22844
4,8,Season Four Finale,9.1,37917
5,1,Fifteen Inches of Sheer Dynamite,8.8,39649
5,2,Teenage Kix,8.4,33167
5,3,Every One of You Sons of Bitches,8.2,30670
5,4,King of Hell,7.3,30508
5,5,One-Shots,7.4,32807
5,6,Though the Heavens Fall,8.2,33098
5,7,"The Frenchman, the Female, and the Man Called Mother's Milk",6,42067
5,8,Blood and Bone,6,87576
