city,state,metro,county,zhvi,zhvi_yoy_pct,zori,zori_yoy_pct,annual_rent,rent_to_price_pct,price_to_rent,gross_yield_pct,est_cap_rate_pct,tier,pop_2024,pop_growth_pct,county_pop_2024,county_pop_growth_pct,net_mig_rate_per1k,vacancy_rate_pct,rental_vacancy_pct,renter_pct,zhvi_date,zori_date
Fort Myers Beach,FL,"Cape Coral-Fort Myers, FL",Lee County,495329.12822354375,-8.82,14703,NA,176436,2.968,2.8,35.62,23.15,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Cahokia,IL,"St. Louis, MO-IL",Saint Clair County,47313.591031470794,1.06,1344.5,NA,16134,2.842,2.9,34.1,22.17,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Water Mill,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,4644141.936080315,5.5,109305.5,NA,1311666,2.354,3.5,28.24,18.36,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,2026-04-30,2026-04-30
East Hampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2007562.8518938285,-2.99,40870.76315789474,9.19,490449.15789473685,2.036,4.1,24.43,15.88,Strong Buy,1556,3.73,1535909,0.9,2.22,11.64,3.67,18.09,2026-04-30,2026-04-30
Amagansett,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2919494.260429766,2.1,58027.666666666664,NA,696332,1.988,4.2,23.85,15.5,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,2026-04-30,2026-04-30
Sag Harbor,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2260138.6900142995,5.25,43405.40740740741,20.42,520864.8888888889,1.92,4.3,23.05,14.98,Strong Buy,2816,2.33,1535909,0.9,2.22,11.64,3.67,18.09,2026-04-30,2026-04-30
Country Club Hills,MO,"St. Louis, MO-IL",Saint Louis County,65299.243717235535,-2.61,1250,NA,15000,1.914,4.4,22.97,14.93,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Bel-Ridge,MO,"St. Louis, MO-IL",Saint Louis County,78215.34967247062,-1.02,1450,NA,17400,1.854,4.5,22.25,14.46,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Shelter Island,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,1757953.7328561482,4.32,31750,NA,381000,1.806,4.6,21.67,14.09,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Flordell Hills,MO,"St. Louis, MO-IL",Saint Louis County,66908.16121896477,-1.63,1200,NA,14400,1.794,4.6,21.52,13.99,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Bridgehampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,4600461.378638105,5.51,82314.77777777777,12.04,987777.3333333333,1.789,4.7,21.47,13.96,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,2026-04-30,2026-04-30
Southampton,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2204606.2632617876,6.53,39393.17628205128,11.33,472718.1153846154,1.787,4.7,21.44,13.94,Strong Buy,4693,3.28,1535909,0.9,2.22,11.64,3.67,18.09,2026-04-30,2026-04-30
Braddock,PA,"Pittsburgh, PA",Allegheny County,57192.07629869654,-0.54,1016.6666666666666,NA,12200,1.778,4.7,21.33,13.87,Strong Buy,1669,-3.02,1231814,-1.43,2.72,9.6,6.37,35.07,2026-04-30,2026-04-30
Detroit,MI,"Detroit-Warren-Dearborn, MI",Wayne County,76488.33525838259,-3.89,1337.8492494067689,2.02,16054.190992881227,1.749,4.8,20.99,13.64,Strong Buy,645705,1.15,1771063,-1.04,3.75,12.9,4.58,35.52,2026-04-30,2026-04-30
Westhampton Beach,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,1617219.520695111,6.4,28250,NA,339000,1.747,4.8,20.96,13.63,Strong Buy,2238,1.87,1535909,0.9,2.22,11.64,3.67,18.09,2026-04-30,2026-04-30
Castle Point,MO,"St. Louis, MO-IL",Saint Louis County,80037.67377782379,1.18,1385,NA,16620,1.73,4.8,20.77,13.5,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Quogue,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,2839230.77686036,3.59,49000,NA,588000,1.726,4.8,20.71,13.46,Strong Buy,1697,3.73,1535909,0.9,2.22,11.64,3.67,18.09,2026-04-30,2026-04-30
Riverview,MO,"St. Louis, MO-IL",Saint Louis County,75457.89709603284,-1.36,1298.75,NA,15585,1.721,4.8,20.65,13.43,Strong Buy,2334,-2.51,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Glasgow Village,MO,"St. Louis, MO-IL",Saint Louis County,83110.24229698432,1.2,1375,6.46,16500,1.654,5,19.85,12.9,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Homestead,PA,"Pittsburgh, PA",Allegheny County,82841.31468319792,-3.16,1362.6944444444443,NA,16352.333333333332,1.645,5.1,19.74,12.83,Strong Buy,2852,-1.01,1231814,-1.43,2.72,9.6,6.37,35.07,2026-04-30,2026-04-30
Markham,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,152468.12213756904,1.61,2500,NA,30000,1.64,5.1,19.68,12.79,Strong Buy,11290,-2.83,5182617,-1.6,5.9,8.18,4.67,42.49,2026-04-30,2026-04-30
Montauk,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,1979576.6104782105,3.14,31583.27777777778,NA,378999.3333333334,1.595,5.2,19.15,12.44,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,2026-04-30,2026-04-30
Jennings,MO,"St. Louis, MO-IL",Saint Louis County,74131.53309665422,-2.07,1181.3333333333333,2.81,14176,1.594,5.2,19.12,12.43,Strong Buy,13024,0.95,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Margate City,NJ,"Atlantic City-Hammonton, NJ",Atlantic County,1089312.468597103,9.16,17000,5.27,204000,1.561,5.3,18.73,12.17,Strong Buy,5239,-1.09,279114,1.79,8.62,17.71,4.68,32.16,2026-04-30,2026-04-30
Northwoods,MO,"St. Louis, MO-IL",Saint Louis County,86071.78119522125,-0.38,1331.25,NA,15975,1.547,5.4,18.56,12.06,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Youngstown,OH,"Youngstown-Warren-Boardman, OH-PA",Mahoning County,71351.24535357275,6.6,1097.7777777777776,13.12,13173.333333333332,1.539,5.4,18.46,12,Strong Buy,59123,-1.28,225786,-0.98,2.29,9.15,4.52,29.72,2026-04-30,2026-04-30
Century Village,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,90767.41801371292,-16.88,1372.2222222222224,-6.41,16466.666666666668,1.512,5.5,18.14,11.79,Strong Buy,NA,NA,1582055,5.87,15.98,16.36,6.94,30.14,2026-04-30,2026-04-30
Flint,MI,"Flint, MI",Genesee County,65948.65098347285,-0.09,992.7454212454212,4.51,11912.945054945054,1.505,5.5,18.06,11.74,Strong Buy,79735,-1.69,402279,-0.87,3.33,9.45,3.6,29.16,2026-04-30,2026-04-30
Midfield,AL,"Birmingham-Hoover, AL",Jefferson County,82977.06630032069,1.14,1236.875,NA,14842.5,1.491,5.6,17.89,11.63,Strong Buy,4930,-4.92,664744,-1.48,0.68,13.13,7.2,36.28,2026-04-30,2026-04-30
Gary,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,92113.41978201782,-5.75,1337.281045751634,4,16047.372549019608,1.452,5.7,17.42,11.32,Strong Buy,67555,-2.1,502955,0.8,4.19,10.57,4.92,29.14,2026-04-30,2026-04-30
Jackson,MS,"Jackson, MS",Hinds County,88100.25162124245,-0.68,1255.430035650624,5.11,15065.160427807488,1.425,5.8,17.1,11.12,Strong Buy,141449,-7.55,211975,-6.53,-12.73,15.54,7.94,42.12,2026-04-30,2026-04-30
Lauderdale Lakes,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,140266.24144406643,-12.46,1964.0357142857144,-3.28,23568.428571428572,1.4,6,16.8,10.92,Strong Buy,37333,3.55,2037472,4.84,14.84,13.18,6.08,36.74,2026-04-30,2026-04-30
Hampton Bays,NY,"New York-Newark-Jersey City, NY-NJ-PA",Suffolk County,937304.1962923192,5.77,13102.583333333334,7.27,157231,1.398,6,16.77,10.9,Strong Buy,NA,NA,1535909,0.9,2.22,11.64,3.67,18.09,2026-04-30,2026-04-30
Tarrant,AL,"Birmingham-Hoover, AL",Jefferson County,75894.39860863706,5.48,1048,NA,12576,1.381,6,16.57,10.77,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Dolton,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,153901.61127276006,1.96,2116,9.56,25392,1.375,6.1,16.5,10.72,Strong Buy,20697,-2.99,5182617,-1.6,5.9,8.18,4.67,42.49,2026-04-30,2026-04-30
Berkeley,MO,"St. Louis, MO-IL",Saint Louis County,98213.72403920506,3.92,1312.9444444444443,-0.24,15755.333333333332,1.337,6.2,16.04,10.43,Strong Buy,8058,-1.99,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Turtle Creek,PA,"Pittsburgh, PA",Allegheny County,101141.70859514044,-5.11,1349.3333333333333,NA,16192,1.334,6.2,16.01,10.41,Strong Buy,4925,-3.66,1231814,-1.43,2.72,9.6,6.37,35.07,2026-04-30,2026-04-30
Glenwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,206742.4998046921,6.55,2735,NA,32820,1.323,6.3,15.87,10.32,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
South Palm Beach,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,373396.4366179652,-8.53,4933.333333333334,NA,59200.00000000001,1.321,6.3,15.85,10.31,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Hazel Crest,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,178640.39414827325,-0.69,2355,NA,28260,1.318,6.3,15.82,10.28,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Bellefontaine Neighbors,MO,"St. Louis, MO-IL",Saint Louis County,102061.99592005972,-3.84,1341.904761904762,6.69,16102.857142857143,1.315,6.3,15.78,10.26,Strong Buy,10401,-2.76,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Park Forest,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,153178.51845313908,2.8,1999.0444444444445,NA,23988.533333333333,1.305,6.4,15.66,10.18,Strong Buy,21016,-2.78,5182617,-1.6,5.9,8.18,4.67,42.49,2026-04-30,2026-04-30
East Pittsburgh,PA,"Pittsburgh, PA",Allegheny County,99320.93698370752,4.41,1283.3333333333337,NA,15400.000000000004,1.292,6.4,15.51,10.08,Strong Buy,1855,-3.69,1231814,-1.43,2.72,9.6,6.37,35.07,2026-04-30,2026-04-30
South Holland,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,226732.39028379077,2.38,2800,NA,33600,1.235,6.7,14.82,9.63,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Arnold,PA,"Pittsburgh, PA",Westmoreland County,79876.88995087416,-6.73,982.5,NA,11790,1.23,6.8,14.76,9.59,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Cleveland,OH,"Cleveland-Elyria, OH",Cuyahoga County,117702.6601317933,-2.12,1425.2892903968084,4.58,17103.4714847617,1.211,6.9,14.53,9.45,Strong Buy,365379,-1.74,1240594,-1.75,1.72,9.97,5.22,40.95,2026-04-30,2026-04-30
Meridian,MS,"Meridian, MS",Lauderdale County,112871.66027427628,-0.2,1356.3333333333333,NA,16276,1.202,6.9,14.42,9.37,Strong Buy,33549,-3.79,70588,-2.87,-4.45,14.91,7.9,36.77,2026-04-30,2026-04-30
Fort McKinley,OH,"Dayton-Kettering, OH",Montgomery County,88240.59125625888,-0.33,1058,NA,12696,1.199,7,14.39,9.35,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Camden,NJ,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Camden County,148028.61072761507,-4.9,1765.3333333333333,5.24,21184,1.193,7,14.31,9.3,Strong Buy,71749,0.01,533988,2.07,5.74,5.92,4.3,34.97,2026-04-30,2026-04-30
Inkster,MI,"Detroit-Warren-Dearborn, MI",Wayne County,110235.85154776117,6.32,1293.888888888889,0.61,15526.666666666668,1.174,7.1,14.08,9.16,Strong Buy,25108,-3.36,1771063,-1.04,3.75,12.9,4.58,35.52,2026-04-30,2026-04-30
Artesia,NM,"Carlsbad-Artesia, NM",Eddy County,241499.0625259132,1.17,2800,NA,33600,1.159,7.2,13.91,9.04,Strong Buy,12550,-2.53,61436,-1.45,10.94,12.72,9.12,25.34,2026-04-30,2026-04-30
Ferguson,MO,"St. Louis, MO-IL",Saint Louis County,117252.91383072162,-3.24,1347.1746031746034,5.56,16166.09523809524,1.149,7.3,13.79,8.96,Strong Buy,18043,-2.38,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Glassport,PA,"Pittsburgh, PA",Allegheny County,96266.34405793672,-6,1095,NA,13140,1.137,7.3,13.65,8.87,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Sanibel,FL,"Cape Coral-Fort Myers, FL",Lee County,809396.0853348365,-9.37,9150,NA,109800,1.13,7.4,13.57,8.82,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Ojus,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,217816.16411598527,-9.9,2429.015032679739,-2.68,29148.180392156864,1.115,7.5,13.38,8.7,Strong Buy,NA,NA,2838461,5.29,19.88,11.11,5.36,47.81,2026-04-30,2026-04-30
Maple Heights,OH,"Cleveland-Elyria, OH",Cuyahoga County,133972.63944582565,4.64,1480.7962962962963,5.95,17769.555555555555,1.105,7.5,13.26,8.62,Strong Buy,23081,-2.34,1240594,-1.75,1.72,9.97,5.22,40.95,2026-04-30,2026-04-30
Danville,IL,"Danville, IL",Vermilion County,78099.32637417107,-4.07,853.9351851851852,5.2,10247.222222222224,1.093,7.6,13.12,8.53,Strong Buy,27981,-3.93,71106,-3.92,-1.21,12.23,9.41,30.76,2026-04-30,2026-04-30
Calumet City,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,154661.14292486943,-2.89,1681.888888888889,4.87,20182.666666666668,1.087,7.7,13.05,8.48,Strong Buy,34855,-2.92,5182617,-1.6,5.9,8.18,4.67,42.49,2026-04-30,2026-04-30
Breckenridge Hills,MO,"St. Louis, MO-IL",Saint Louis County,124338.47904184468,5.02,1347.5,NA,16170,1.084,7.7,13,8.45,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Riverdale,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,114365.26138307327,-0.72,1224,NA,14688,1.07,7.8,12.84,8.35,Strong Buy,10299,-3.02,5182617,-1.6,5.9,8.18,4.67,42.49,2026-04-30,2026-04-30
Woodward,OK,"Woodward, OK",Woodward County,130979.92734781466,3.34,1400,NA,16800,1.069,7.8,12.83,8.34,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
McKeesport,PA,"Pittsburgh, PA",Allegheny County,96862.2133272547,-3.71,1034.1555555555558,7.4,12409.866666666669,1.068,7.8,12.81,8.33,Strong Buy,17119,-3.32,1231814,-1.43,2.72,9.6,6.37,35.07,2026-04-30,2026-04-30
Homewood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,248688.20113741115,4.54,2647,NA,31764,1.064,7.8,12.77,8.3,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Munhall,PA,"Pittsburgh, PA",Allegheny County,150156.9258564151,1.44,1598.138888888889,5.83,19177.666666666668,1.064,7.8,12.77,8.3,Strong Buy,10371,-3.65,1231814,-1.43,2.72,9.6,6.37,35.07,2026-04-30,2026-04-30
Saint John,MO,"St. Louis, MO-IL",Saint Louis County,137514.10526312413,3.35,1429.25,NA,17151,1.039,8,12.47,8.11,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Port Arthur,TX,"Beaumont-Port Arthur, TX",Jefferson County,127174.79982967884,0.9,1312.071428571429,10.54,15744.857142857149,1.032,8.1,12.38,8.05,Strong Buy,55799,-0.38,253948,-0.87,-0.33,14.36,5.93,38.16,2026-04-30,2026-04-30
Matteson,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,267164.4282004262,5.03,2729.8333333333335,NA,32758,1.022,8.2,12.26,7.97,Strong Buy,18566,-2.39,5182617,-1.6,5.9,8.18,4.67,42.49,2026-04-30,2026-04-30
Bessemer,AL,"Birmingham-Hoover, AL",Jefferson County,133313.86134993882,1.78,1340.638888888889,2.96,16087.666666666668,1.006,8.3,12.07,7.84,Strong Buy,25079,-3.61,664744,-1.48,0.68,13.13,7.2,36.28,2026-04-30,2026-04-30
Garfield Heights,OH,"Cleveland-Elyria, OH",Cuyahoga County,135429.21996323648,2.38,1353.690476190476,6.08,16244.28571428571,1,8.3,11.99,7.8,Strong Buy,29014,-2.41,1240594,-1.75,1.72,9.97,5.22,40.95,2026-04-30,2026-04-30
Princeville,HI,"Kapaa, HI",Kauai County,1405112.6217622014,-2.67,14030,NA,168360,0.998,8.3,11.98,7.79,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
Alton,IL,"St. Louis, MO-IL",Madison County,105742.29015956724,5.43,1052.9166666666667,5.27,12635,0.996,8.4,11.95,7.77,Strong Buy,24967,-2.61,263017,-1.03,1.59,8.04,3.83,26.39,2026-04-30,2026-04-30
Hornell,NY,"Corning, NY",Steuben County,112454.27967805082,-3.04,1120,NA,13440,0.996,8.4,11.95,7.77,Strong Buy,NA,NA,NA,NA,NA,NA,NA,NA,2026-04-30,2026-04-30
East Cleveland,OH,"Cleveland-Elyria, OH",Cuyahoga County,79096.32990620816,-13.16,779.6666666666666,3.14,9356,0.986,8.5,11.83,7.69,Strong Buy,13402,-2.55,1240594,-1.75,1.72,9.97,5.22,40.95,2026-04-30,2026-04-30
