season,episode,title,rating,votes
1,1,Magic Xylophone,7.7,1115
1,2,Hospital,7.8,936
1,3,Keepy Uppy,8.2,919
1,4,Daddy Robot,7.9,833
1,5,Shadowlands,8.3,891
1,6,The Weekend,8.1,791
1,7,BBQ,8.2,811
1,8,Fruitbat,8,799
1,9,Horsey Ride,7.4,700
1,10,Hotel,7.6,684
1,11,Bike,9.1,983
1,12,Bob Bilby,8.2,702
1,13,Spy Game,7.4,637
1,14,Takeaway,8.8,890
1,15,Butterflies,7.9,647
1,16,Yoga Ball,8.2,661
1,17,Calypso,7.8,668
1,18,The Doctor,7.9,595
1,19,The Claw,8.4,646
1,20,Markets,7.9,598
1,21,Blue Mountains,7.5,604
1,22,The Pool,8.7,740
1,23,Shops,7.4,578
1,24,Wagon Ride,8.3,593
1,25,Taxi,8.2,585
1,26,The Beach,8.6,722
1,27,Pirates,8,556
1,28,Grannies,8.6,764
1,29,The Creek,8.9,786
1,30,Fairies,7.9,583
1,31,Work,7.6,513
1,32,Bumpy and the Wise Old Wolfhound,9.1,826
1,33,Trampoline,7.8,510
1,34,The Dump,8.4,548
1,35,Zoo,7.8,506
1,36,Backpackers,7.7,497
1,37,The Adventure,7.5,477
1,38,Copycat,8.7,635
1,39,The Sleepover,8.5,605
1,40,Early Baby,7.8,516
1,41,Mums and Dads,7.5,489
1,42,Hide and Seek,7.6,470
1,43,Camping,9.6,1788
1,44,Mount Mumandad,7.9,486
1,45,Kids,7.8,480
1,46,Chickenrat,7.4,480
1,47,Neighbours,7.7,461
1,48,Teasing,8.3,514
1,49,Asparagus,8,517
1,50,Shaun,7.6,465
1,51,Daddy Putdown,8.2,422
1,52,Verandah Santa,8.3,452
2,1,Dance Mode,8.9,804
2,2,Hammerbarn,8.6,636
2,3,Featherwand,8.1,511
2,4,Squash,8.3,546
2,5,Hairdressers,7.7,475
2,6,Stumpfest,8.4,575
2,7,Favourite Thing,8,479
2,8,Daddy Dropoff,8.6,581
2,9,Bingo,9.1,930
2,10,Rug Island,8.8,700
2,11,Charades,7.5,489
2,12,Sticky Gecko,8.2,520
2,13,Dad Baby,8.7,526
2,14,Mum School,7.9,456
2,15,Trains,7.7,439
2,16,Army,8.6,687
2,17,Fancy Restaurant,8.3,486
2,18,Piggyback,8,441
2,19,The Show,9,681
2,20,Tickle Crabs,7.3,442
2,21,Escape,8.8,597
2,22,Bus,8.3,502
2,23,Queens,7.5,428
2,24,Flat Pack,9.2,928
2,25,Helicopter,7.5,436
2,26,Sleepytime,9.7,10492
2,27,Grandad,9.2,793
2,28,Seesaw,8.5,510
2,29,Movies,8,518
2,30,Library,7.6,459
2,31,Barky Boats,8.3,504
2,32,Burger Shop,7.6,412
2,33,Circus,7.2,447
2,34,Swim School,7.7,461
2,35,Cafe,8.9,595
2,36,Postman,8,422
2,37,The Quiet Game,8.8,574
2,38,Mr Monkeyjocks,8.2,458
2,39,Double Babysitter,8.8,632
2,40,Bad Mood,7.7,443
2,41,Octopus,8.3,486
2,42,Bin Night,8.6,570
2,43,Muffin Cone,8.4,492
2,44,Duck Cake,8.8,547
2,45,Handstand,8.8,549
2,46,Road Trip,8.2,443
2,47,Ice Cream,8,481
2,48,Dunny,7.7,435
2,49,Typewriter,7.4,415
2,50,Baby Race,9.5,2438
2,51,Christmas Swim,8.5,469
2,52,Easter,8.6,429
3,1,Perfect,8.7,559
3,2,Bedroom,9.1,673
3,3,Obstacle Course,8.3,532
3,4,Promises,8.3,477
3,5,Omelette,8.4,534
3,6,Born Yesterday,8.4,530
3,7,Mini Bluey,8.8,654
3,8,Unicorse,8.5,633
3,9,Curry Quest,9,623
3,10,Magic,7.5,487
3,11,Chest,8.4,507
3,12,Sheep Dog,8.2,467
3,13,Housework,8.2,460
3,14,Pass The Parcel,9.1,763
3,15,Explorers,8.4,447
3,16,Phones,8,430
3,17,Pavlova,8.5,514
3,18,Rain,9.5,1300
3,19,Pizza Girls,8.2,459
3,20,Driving,7.8,403
3,21,Tina,7.1,476
3,22,Whale Watching,8.3,467
3,23,Family Meeting,8,451
3,24,Faceytalk,9,725
3,25,Ragdoll,8.3,449
3,26,Fairytale,9.4,978
3,27,Musical Statues,7.9,447
3,28,Stories,7.8,456
3,29,Puppets,8.4,493
3,30,Turtleboy,9.1,653
3,31,Onesies,9.4,1100
3,32,Tradies,8.8,572
3,33,Granny Mobile,9.2,761
3,34,Space,8.7,598
3,35,Smoochy Kiss,8.3,457
3,36,Dirt,8.2,479
3,37,The Decider,8.6,559
3,38,Cubby,8.2,418
3,39,Exercise,7.9,403
3,40,Relax,8.7,467
3,41,Stickbird,8.9,537
3,42,Show and Tell,8,377
3,43,Dragon,9.3,797
3,44,Wild Girls,7.1,432
3,45,TV Shop,8.6,484
3,46,Slide,8.6,448
3,47,Cricket,9.6,2746
3,48,Ghostbasket,8,395
3,49,The Sign,9.8,5596
3,50,Surprise!,8.7,481
4,1,Episode #4.1,7.6,88
