season,episode,title,rating,votes
1,1,Izuku Midoriya: Origin,7.6,4591
1,2,What It Takes to Be a Hero,8.2,4408
1,3,Roaring Muscles,7.7,3606
1,4,Start Line,8.3,3943
1,5,What I Can Do for Now,7.8,3380
1,6,"Rage, You Damn Nerd",7.7,3256
1,7,Deku vs. Kacchan,8.6,3939
1,8,Bakugo's Start Line,7.5,3179
1,9,"Yeah, Just Do Your Best, Iida!",7.3,3089
1,10,Encounter with the Unknown,8,3200
1,11,Game Over,8.6,3529
1,12,All Might,9.3,5132
1,13,Upon Each of Their Hearts,8.5,3535
2,0,Hero Notebook,6,1902
2,1,"That's the Idea, Ochaco",7.1,2825
2,2,Roaring Sports Festival,7.5,2735
2,3,In Their Own Quirky Ways,8.2,3078
2,4,"Strategy, Strategy, Strategy",8,2816
2,5,Cavalry Battle Finale,8.5,3248
2,6,The Boy Born with Everything,7.6,2735
2,7,Victory or Defeat,8,2810
2,8,"Battle On, Challengers!",7.6,2659
2,9,Bakugo vs. Uraraka,8.6,3396
2,10,Shoto Todoroki: Origin,9.6,7449
2,11,"Fight On, Iida",8,2717
2,12,Todoroki vs. Bakugo,8.6,3257
2,13,Time to Pick Some Names,7.4,2623
2,14,Bizarre! Gran Torino Appears,7.6,2637
2,15,Midoriya and Shigaraki,7.9,2666
2,16,Hero Killer: Stain vs U.A. Students,9.1,3895
2,17,Climax,9.2,4072
2,18,The Aftermath of Hero Killer: Stain,7.6,2574
2,19,Everyone's Internships,6.6,2586
2,20,Listen Up!! A Tale from the Past,7.9,2624
2,21,Gear Up for Final Exams,7.4,2501
2,22,Yaoyorozu: Rising,8,2645
2,23,Stripping the Varnish,7.5,2499
2,24,Katsuki Bakugo: Origin,8.9,3577
2,25,Encounter,8.1,2752
3,1,Game Start,6.4,2601
3,2,"Wild, Wild Pussycats",7.3,2574
3,3,Kota,7.6,2607
3,4,My Hero,9.5,6600
3,5,"Drive It Home, Iron Fist!!!",8.6,3008
3,6,Roaring Upheaval,8.5,2966
3,7,What a Twist!,8.2,2739
3,8,From Iida to Midoriya,7.8,2566
3,9,All For One,9,3808
3,10,Symbol of Peace,9.5,5066
3,11,One For All,9.8,15441
3,12,"End of the Beginning, Beginning of the End",8.2,2905
3,13,Moving Into Dorms,7.2,2469
3,14,Create Those Ultimate Moves,7.5,2391
3,15,The Test,7.5,2355
3,16,Shiketsu High Lurking,7.6,2361
3,17,Class 1-A,7.7,2360
3,18,RUSH!,8,2434
3,19,Rescue Exercises,7.3,2298
3,20,Special Episode - Save the World with Love!,6.3,2123
3,21,What's the Big Idea?,8.2,2613
3,22,A Talk About Your Quirk,8,2471
3,23,"Deku vs. Kacchan, Part 2",9.4,4793
3,24,A Season for Encounters,7.5,2311
3,25,Unrivaled,8,2564
4,1,The Scoop on U.A. Class 1-A,7,2436
4,2,Overhaul,7.8,2517
4,3,Boy Meets...,7.6,2395
4,4,Fighting Fate,8.3,2786
4,5,"Let's Go, Gutsy Red Riot",8.5,2924
4,6,An Unpleasant Talk,7.5,2380
4,7,Go!!,7.7,2351
4,8,Suneater of the Big Three,8.3,2866
4,9,Red Riot,9,3881
4,10,Temp Squad,7.9,2436
4,11,Lemillion,9.6,6303
4,12,Unforeseen Hope,9.3,4089
4,13,Infinite 100%,9.7,8787
4,14,Bright Future,9.1,3630
4,15,Smoldering Flames,7.3,2244
4,16,Win Those Kids' Hearts,6.5,2307
4,17,Relief for License Trainees,7,2276
4,18,School Festival,6.7,2240
4,19,Prepping for the School Festival Is the Funnest Part,6.8,2211
4,20,Golden Tips Imperial,6.4,2205
4,21,Deku vs. Gentle Criminal,7.3,2319
4,22,School Festival Start!,8.3,2855
4,23,Let It Flow! School Festival!,8.4,3177
4,24,Japanese Hero Billboard Chart,7.5,2325
4,25,His Start,9.7,9565
5,1,All Hands on Deck! Class 1-A,6.5,2687
5,2,Vestiges,8,2658
5,3,Clash! Class A vs. Class B!,7.1,2285
5,4,"Make It Happen, Shinso!",7.6,2308
5,5,Operation New Improv Moves,7.3,2237
5,6,Foresight,6.9,2227
5,7,Match 3,7.1,2177
5,8,Match 3 Conclusion,8.2,2713
5,9,Early Bird!,8.6,2928
5,10,That Which Is Inherited,8.8,3151
5,11,Our Brawl,7.9,2306
5,12,The New Power and All For One,7.4,2184
5,13,Have a Merry Christmas!,6.8,2184
5,14,Off to Endeavor's Agency!,7.5,2124
5,15,One Thing at a Time,7.5,2098
5,16,"Long Time No See, Selkie",5.4,2231
5,17,The Hellish Todoroki Family,7.4,2189
