rank,oscar_titles,movie_year,oscar_imdb_ratings,oscar_imdb_id,tconst,life_time_gross,oscar_year
1,Anora,2024,7.4,https://www.imdb.com/title/tt28607951/,tt28607951,57395612,2025
2,Oppenheimer,2023,8.2,https://www.imdb.com/title/tt15398776/,tt15398776,975811333,2024
3,Everything Everywhere All at Once,2022,7.7,https://www.imdb.com/title/tt6710474/,tt6710474,142804136,2023
4,CODA,2021,8,https://www.imdb.com/title/tt10366460/,tt10366460,1905058,2022
5,Nomadland,2020,7.3,https://www.imdb.com/title/tt9770150/,tt9770150,39458207,2021
6,Parasite,2019,8.5,https://www.imdb.com/title/tt6751668/,tt6751668,262550310,2020
7,Green Book,2018,8.2,https://www.imdb.com/title/tt6966692/,tt6966692,321752656,2019
8,The Shape of Water,2017,7.3,https://www.imdb.com/title/tt5580390/,tt5580390,195243464,2018
9,Moonlight,2016,7.4,https://www.imdb.com/title/tt4975722/,tt4975722,66795749,2017
10,Spotlight,2015,8.1,https://www.imdb.com/title/tt1895587/,tt1895587,98690254,2016
11,Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,https://www.imdb.com/title/tt2562232/,tt2562232,103215094,2015
12,12 Years a Slave,2013,8.1,https://www.imdb.com/title/tt2024544/,tt2024544,187734091,2014
13,Argo,2012,7.7,https://www.imdb.com/title/tt1024648/,tt1024648,232325503,2013
14,The Artist,2011,7.8,https://www.imdb.com/title/tt1655442/,tt1655442,133471171,2012
15,The King's Speech,2010,8,https://www.imdb.com/title/tt1504320/,tt1504320,414245125,2011
16,Slumdog Millionaire,2008,8,https://www.imdb.com/title/tt1010048/,tt1010048,378411362,2009
17,The Hurt Locker,2008,7.5,https://www.imdb.com/title/tt0887912/,tt0887912,49259766,2010
18,No Country for Old Men,2007,8.2,https://www.imdb.com/title/tt0477348/,tt0477348,171635732,2008
19,The Departed,2006,8.5,https://www.imdb.com/title/tt0407887/,tt0407887,292095942,2007
20,Million Dollar Baby,2004,8.1,https://www.imdb.com/title/tt0405159/,tt0405159,216763646,2005
21,Crash,2004,7.7,https://www.imdb.com/title/tt0375679/,tt0375679,98410061,2005
22,The Lord of the Rings: The Return of the King,2003,9,https://www.imdb.com/title/tt0167260/,tt0167260,1139431705,2004
23,Chicago,2002,7.2,https://www.imdb.com/title/tt0299658/,tt0299658,306777683,2003
24,A Beautiful Mind,2001,8.2,https://www.imdb.com/title/tt0268978/,tt0268978,316791257,2002
25,Gladiator,2000,8.5,https://www.imdb.com/title/tt0172495/,tt0172495,465516248,2001
26,American Beauty,1999,8.3,https://www.imdb.com/title/tt0169547/,tt0169547,356296601,2000
27,Shakespeare in Love,1998,7.1,https://www.imdb.com/title/tt0138097/,tt0138097,289317794,1999
28,Titanic,1997,7.9,https://www.imdb.com/title/tt0120338/,tt0120338,2264812968,1998
29,The English Patient,1996,7.4,https://www.imdb.com/title/tt0116209/,tt0116209,231976425,1997
30,Braveheart,1995,8.3,https://www.imdb.com/title/tt0112573/,tt0112573,213216216,1996
31,Forrest Gump,1994,8.8,https://www.imdb.com/title/tt0109830/,tt0109830,678226465,1995
32,Schindler's List,1993,9,https://www.imdb.com/title/tt0108052/,tt0108052,322161245,1994
33,Unforgiven,1992,8.2,https://www.imdb.com/title/tt0105695/,tt0105695,159167799,1993
34,The Silence of the Lambs,1991,8.6,https://www.imdb.com/title/tt0102926/,tt0102926,272742922,1992
35,Dances with Wolves,1990,8,https://www.imdb.com/title/tt0099348/,tt0099348,424208848,1991
36,Driving Miss Daisy,1989,7.3,https://www.imdb.com/title/tt0097239/,tt0097239,145793296,1990
37,Rain Man,1988,8,https://www.imdb.com/title/tt0095953/,tt0095953,354825435,1989
38,The Last Emperor,1987,7.7,https://www.imdb.com/title/tt0093389/,tt0093389,44043391,1988
39,Platoon,1986,8.1,https://www.imdb.com/title/tt0091763/,tt0091763,138546255,1987
40,Out of Africa,1985,7.2,https://www.imdb.com/title/tt0089755/,tt0089755,227514205,1986
41,Amadeus,1984,8.4,https://www.imdb.com/title/tt0086879/,tt0086879,52268382,1985
42,Terms of Endearment,1983,7.4,https://www.imdb.com/title/tt0086425/,tt0086425,108423749,1984
43,Gandhi,1982,8,https://www.imdb.com/title/tt0083987/,tt0083987,52769114,1983
44,Chariots of Fire,1981,7.1,https://www.imdb.com/title/tt0082158/,tt0082158,59318980,1982
45,Ordinary People,1980,7.7,https://www.imdb.com/title/tt0081283/,tt0081283,54768282,1981
46,Kramer vs. Kramer,1979,7.8,https://www.imdb.com/title/tt0079417/,tt0079417,106260071,1980
47,The Deer Hunter,1978,8.1,https://www.imdb.com/title/tt0077416/,tt0077416,49080334,1979
48,Annie Hall,1977,7.9,https://www.imdb.com/title/tt0075686/,tt0075686,38308817,1978
49,Rocky,1976,8.1,https://www.imdb.com/title/tt0075148/,tt0075148,117253345,1977
50,One Flew Over the Cuckoo's Nest,1975,8.6,https://www.imdb.com/title/tt0073486/,tt0073486,109130852,1976
51,The Godfather Part II,1974,9,https://www.imdb.com/title/tt0071562/,tt0071562,48203923,1975
52,The Sting,1973,8.2,https://www.imdb.com/title/tt0070735/,tt0070735,156004572,1974
53,The Godfather,1972,9.2,https://www.imdb.com/title/tt0068646/,tt0068646,250926380,1973
54,The French Connection,1971,7.7,https://www.imdb.com/title/tt0067116/,tt0067116,51708862,1972
55,Patton,1970,7.9,https://www.imdb.com/title/tt0066206/,tt0066206,61749765,1971
56,Midnight Cowboy,1969,7.8,https://www.imdb.com/title/tt0064665/,tt0064665,44803092,1970
57,Oliver!,1968,7.4,https://www.imdb.com/title/tt0063385/,tt0063385,1516,1969
58,In the Heat of the Night,1967,7.9,https://www.imdb.com/title/tt0061811/,tt0061811,27669,1968
59,A Man for All Seasons,1966,7.7,https://www.imdb.com/title/tt0060665/,tt0060665,756,1967
60,The Sound of Music,1965,8.1,https://www.imdb.com/title/tt0059742/,tt0059742,161404491,1966
61,My Fair Lady,1964,7.7,https://www.imdb.com/title/tt0058385/,tt0058385,72685970,1965
62,Tom Jones,1963,6.4,https://www.imdb.com/title/tt0057590/,tt0057590,NA,1964
63,Lawrence of Arabia,1962,8.3,https://www.imdb.com/title/tt0056172/,tt0056172,46001347,1963
64,West Side Story,1961,7.6,https://www.imdb.com/title/tt0055614/,tt0055614,44136460,1962
65,The Apartment,1960,8.3,https://www.imdb.com/title/tt0053604/,tt0053604,18783770,1961
66,Ben-Hur,1959,8.1,https://www.imdb.com/title/tt0052618/,tt0052618,74444716,1960
67,Gigi,1958,6.6,https://www.imdb.com/title/tt0051658/,tt0051658,789,1959
68,The Bridge on the River Kwai,1957,8.1,https://www.imdb.com/title/tt0050212/,tt0050212,27202119,1958
69,Around the World in 80 Days,1956,6.7,https://www.imdb.com/title/tt0048960/,tt0048960,42009549,1957
70,Marty,1955,7.6,https://www.imdb.com/title/tt0048356/,tt0048356,NA,1956
71,On the Waterfront,1954,8.1,https://www.imdb.com/title/tt0047296/,tt0047296,3768,1955
72,From Here to Eternity,1953,7.6,https://www.imdb.com/title/tt0045793/,tt0045793,36416,1954
73,The Greatest Show on Earth,1952,6.5,https://www.imdb.com/title/tt0044672/,tt0044672,36000000,1953
74,An American in Paris,1951,7.1,https://www.imdb.com/title/tt0043278/,tt0043278,275077,1952
75,All About Eve,1950,8.2,https://www.imdb.com/title/tt0042192/,tt0042192,156988,1951
76,All the King's Men,1949,7.4,https://www.imdb.com/title/tt0041113/,tt0041113,NA,1950
77,Hamlet,1948,7.5,https://www.imdb.com/title/tt0040416/,tt0040416,NA,1949
78,Gentleman's Agreement,1947,7.2,https://www.imdb.com/title/tt0039416/,tt0039416,NA,1948
79,The Best Years of Our Lives,1946,8.1,https://www.imdb.com/title/tt0036868/,tt0036868,23667133,1947
80,The Lost Weekend,1945,7.9,https://www.imdb.com/title/tt0037884/,tt0037884,813,1946
81,Going My Way,1944,7,https://www.imdb.com/title/tt0036872/,tt0036872,2221,1945
82,Casablanca,1942,8.5,https://www.imdb.com/title/tt0034583/,tt0034583,4739497,1944
83,Mrs. Miniver,1942,7.6,https://www.imdb.com/title/tt0035093/,tt0035093,NA,1943
84,How Green Was My Valley,1941,7.7,https://www.imdb.com/title/tt0033729/,tt0033729,865,1942
85,Rebecca,1940,8.1,https://www.imdb.com/title/tt0032976/,tt0032976,114106,1941
86,Gone with the Wind,1939,8.2,https://www.imdb.com/title/tt0031381/,tt0031381,402382193,1940
87,You Can't Take It with You,1938,7.8,https://www.imdb.com/title/tt0030993/,tt0030993,5355,1939
88,The Life of Emile Zola,1937,7.1,https://www.imdb.com/title/tt0029146/,tt0029146,NA,1938
89,The Great Ziegfeld,1936,6.6,https://www.imdb.com/title/tt0027698/,tt0027698,NA,1937
90,Mutiny on the Bounty,1935,7.6,https://www.imdb.com/title/tt0026752/,tt0026752,4901,1936
91,It Happened One Night,1934,8.1,https://www.imdb.com/title/tt0025316/,tt0025316,16993,1935
92,Cavalcade,1933,5.8,https://www.imdb.com/title/tt0023876/,tt0023876,NA,1934
93,Grand Hotel,1932,7.3,https://www.imdb.com/title/tt0022958/,tt0022958,1130,1933
94,Cimarron,1931,5.8,https://www.imdb.com/title/tt0021746/,tt0021746,NA,1932
95,All Quiet on the Western Front,1930,8.1,https://www.imdb.com/title/tt0020629/,tt0020629,466,1931
96,The Broadway Melody,1929,5.5,https://www.imdb.com/title/tt0019729/,tt0019729,NA,1930
98,Wings,1927,7.5,https://www.imdb.com/title/tt0018578/,tt0018578,1684,1929
