season,episode,title,rating,votes
1,1,Kassa,7.4,23859
1,2,That Would Be Me,7.3,21574
1,3,Reckoning,8.6,23436
1,4,Aldhani,7.8,20090
1,5,The Axe Forgets,7.6,19268
1,6,The Eye,9.1,25683
1,7,Announcement,8.1,18947
1,8,Narkina 5,8.2,19036
1,9,Nobody's Listening!,8.6,19496
1,10,One Way Out,9.5,29264
1,11,Daughter of Ferrix,8.4,18387
1,12,Rix Road,9.2,23009
2,1,One Year Later,7.8,17727
2,2,Sagrona Teema,7.4,16777
2,3,Harvest,8.5,18485
2,4,Ever Been to Ghorman?,7.7,15186
2,5,I Have Friends Everywhere,8.1,15241
2,6,What a Festive Evening,8.6,16789
2,7,Messenger,8.2,16390
2,8,Who Are You?,9.7,31126
2,9,Welcome to the Rebellion,9.6,27103
2,10,Make It Stop,9.5,21812
2,11,Who Else Knows?,9.3,19942
2,12,"Jedha, Kyber, Erso",9.4,21298
