season,episode,title,rating,votes
1,1,Apéritif,8.3,11624
1,2,Amuse-Bouche,8.1,9787
1,3,Potage,8.1,9111
1,4,Oeuf,7.7,8280
1,5,Coquilles,7.9,8441
1,6,Entrée,8.5,8252
1,7,Sorbet,8.6,8430
1,8,Fromage,9,8936
1,9,Trou Normand,8.2,7795
1,10,Buffet Froid,8.7,8151
1,11,Rôti,8.5,7706
1,12,Relevés,8.8,7846
1,13,Savoureux,9.2,9558
2,1,Kaiseki,8.8,8453
2,2,Sakizuke,9,8190
2,3,Hassun,8.6,7613
2,4,Takiawase,9.2,8409
2,5,Mukozuke,9.2,8487
2,6,Futamono,9.2,8332
2,7,Yakimono,9.2,8155
2,8,Su-zakana,8.4,7308
2,9,Shiizakana,8.5,7221
2,10,Naka-Choko,8.8,7591
2,11,Ko no Mono,8.9,7479
2,12,Tome-wan,9.2,8317
2,13,Mizumono,9.8,27505
3,1,Antipasto,8.1,8136
3,2,Primavera,7.9,7104
3,3,Secondo,7.9,6573
3,4,Aperitivo,7.8,6421
3,5,Contorno,9,7419
3,6,Dolce,8.6,6570
3,7,Digestivo,9.3,8275
3,8,The Great Red Dragon,8.5,5903
3,9,...And the Woman Clothed with the Sun,8.2,5562
3,10,...And the Woman Clothed in Sun,8.4,5621
3,11,...And the Beast from the Sea,8.5,5613
3,12,The Number of the Beast Is 666,8.8,6102
3,13,The Wrath of the Lamb,9.7,17937
