season,episode,title,rating,votes
1,0,Unaired Pilot,7.5,1821
1,1,Cartman Gets an Anal Probe,7.8,6982
1,2,Volcano,7.6,5369
1,3,Weight Gain 4000,7.5,5555
1,4,Big Gay Al's Big Gay Boat Ride,7.6,5114
1,5,An Elephant Makes Love to a Pig,7.4,4805
1,6,Death,8,4969
1,7,Pinkeye,8.3,5077
1,8,Starvin' Marvin,8.1,4987
1,9,"Mr. Hankey, the Christmas Poo",8.1,4905
1,10,Damien,7.8,4539
1,11,Tom's Rhinoplasty,7.9,4502
1,12,Mecha-Streisand,7.5,4515
1,13,Cartman's Mom Is a Dirty Slut,8.5,5200
2,1,Terrance and Phillip in Not Without My Anus,6.1,4606
2,2,Cartman's Mom is Still a Dirty Slut,8.2,4565
2,3,Ike's Wee Wee,8,4184
2,4,Chickenlover,8,4274
2,5,Conjoined Fetus Lady,7.6,3972
2,6,The Mexican Staring Frog of Southern Sri Lanka,7.5,3858
2,7,City on the Edge of Forever,7.2,3925
2,8,Summer Sucks,7.3,3693
2,9,Chef's Chocolate Salty Balls,7.5,3754
2,10,Chickenpox,7.9,3794
2,11,Roger Ebert Should Lay Off the Fatty Foods,7.5,3641
2,12,Clubhouses,7.9,3698
2,13,Cow Days,7.5,3553
2,14,Chef Aid,7.7,3672
2,15,Spookyfish,8.4,4124
2,16,Merry Christmas Charlie Manson!,8.1,3821
2,17,Gnomes,8.2,3925
2,18,Prehistoric Ice Man,7.8,3575
3,1,Rainforest Shmainforest,8.4,4433
3,2,Spontaneous Combustion,8.1,3805
3,3,The Succubus,8,3877
3,4,Jakovasaurs,6.4,3846
3,5,Tweek vs. Craig,7.6,3757
3,6,Sexual Harassment Panda,8.2,4033
3,7,Cat Orgy,7.9,3734
3,8,Two Guys Naked in a Hot Tub,8,3703
3,9,Jewbilee,7.4,3501
3,10,Korn's Groovy Pirate Ghost Mystery,7.7,3838
3,11,Chinpokomon,8.7,4679
3,12,Hooked on Monkey Fonics,8,3498
3,13,Starvin' Marvin in Space,8,3417
3,14,The Red Badge of Gayness,8.3,3670
3,15,Mr. Hankey's Christmas Classics,7.2,3520
3,16,"Are You There God? It's Me, Jesus",7.8,3294
3,17,World Wide Recorder Concert,8.1,3402
4,1,The Tooth Fairy's Tats 2000,8.2,3747
4,2,Cartman's Silly Hate Crime 2000,8.6,4021
4,3,Timmy 2000,8.1,3661
4,4,Quintuplets 2000,7.3,3292
4,5,Cartman Joins NAMBLA,9,5168
4,6,Cherokee Hair Tampons,8,3445
4,7,Chef Goes Nanners,8.2,3516
4,8,Something You Can Do with Your Finger,8,3512
4,9,Do the Handicapped Go to Hell?,8.2,3605
4,10,Probably,8.2,3457
4,11,4th Grade,8.1,3406
4,12,Trapper Keeper,8,3360
4,13,Helen Keller! The Musical,7.7,3206
4,14,Pip,6.6,3526
4,15,Fat Camp,8.4,3798
4,16,The Wacky Molestation Adventure,8.7,4084
4,17,A Very Crappy Christmas,7.4,3072
5,1,It Hits the Fan,8.3,3974
5,2,Cripple Fight,8.3,3935
5,3,Super Best Friends,8.2,3338
5,4,Scott Tenorman Must Die,9.6,12655
5,5,Terrance and Phillip: Behind the Blow,6.9,3349
5,6,Cartmanland,8.9,5090
5,7,Proper Condom Use,8.6,4048
5,8,Towelie,8.3,4114
5,9,Osama Bin Laden Has Farty Pants,7.8,3884
5,10,How to Eat with Your Butt,8,3676
5,11,The Entity,8.2,3675
5,12,Here Comes the Neighborhood,8,3515
5,13,Kenny Dies,8.8,4922
5,14,Butters' Very Own Episode,9,5528
6,1,Jared Has Aides,8,3651
6,2,Asspen,8.3,4105
6,3,Freak Strike,7.9,3414
6,4,Fun with Veal,7.9,3455
6,5,The New Terrance and Phillip Movie Trailer,8,3679
6,6,Professor Chaos,8.5,3935
6,7,The Simpsons Already Did It,8.8,4788
6,8,Red Hot Catholic Love,8.2,3686
6,9,Free Hat,8.1,3595
6,10,Bebe's Boobs Destroy Society,8.2,3750
6,11,Child Abduction Is Not Funny,8.5,3771
6,12,A Ladder to Heaven,8.7,4215
6,13,The Return of the Fellowship of the Ring to the Two Towers,9.4,7112
6,14,The Death Camp of Tolerance,8.7,4124
6,15,The Biggest Douche in the Universe,8.6,3865
6,16,My Future Self n' Me,8.6,3800
6,17,Red Sleigh Down,8,3344
7,1,Cancelled,8.4,3890
7,2,Krazy Kripples,8.3,3876
7,3,Toilet Paper,8.3,3686
7,4,I'm a Little Bit Country,8,3460
7,5,Fat Butt and Pancake Head,8.4,3955
7,6,Lil' Crime Stoppers,8.6,3856
7,7,Red Man's Greed,7.6,3261
7,8,South Park Is Gay,8.1,3697
7,9,Christian Rock Hard,9,5295
7,10,Grey Dawn,8.1,3379
7,11,Casa Bonita,9.2,6205
7,12,All About Mormons,8.9,4999
7,13,Butt Out,7.8,3409
7,14,Raisins,8.6,3972
7,15,It's Christmas in Canada,7.5,3166
8,1,Good Times with Weapons,9.2,6454
8,2,Up the Down Steroid,8.6,4109
8,3,The Passion of the Jew,8.6,4575
8,4,You Got F'd in the A,8.1,3654
8,5,AWESOM-O,9.2,6436
8,6,The Jeffersons,8.6,4296
8,7,Goobacks,8.3,3991
8,8,Douche and Turd,8.4,3772
8,9,Something Wall-Mart This Way Comes,8.6,3904
8,10,Pre-School,8.4,3731
8,11,Quest for Ratings,8.2,3482
8,12,Stupid Spoiled Whore Video Playset,8.4,3920
8,13,Cartman's Incredible Gift,8.6,3853
8,14,Woodland Critter Christmas,9.1,6125
9,1,Mr. Garrison's Fancy New Vagina,7.6,3925
9,2,"Die Hippie, Die",8.6,4255
9,3,Wing,7.4,3237
9,4,Best Friends Forever,8.5,3829
9,5,The Losing Edge,8.8,4277
9,6,The Death of Eric Cartman,9.2,5553
9,7,Erection Day,7.6,3375
9,8,Two Days Before the Day After Tomorrow,8.4,3783
9,9,Marjorine,8.8,4262
9,10,Follow That Egg,8,3193
9,11,Ginger Kids,8.8,4336
9,12,Trapped in the Closet,9.1,6309
9,13,Free Willzyx,8.1,3585
9,14,Bloody Mary,7.9,3390
10,1,The Return of Chef,8,3915
10,2,Smug Alert!,8.1,3614
10,3,Cartoon Wars: Part 1,8.7,4031
10,4,Cartoon Wars: Part 2,8.8,3917
10,5,A Million Little Fibers,6.1,4160
10,6,ManBearPig,7.9,3939
10,7,Tsst,9.1,5672
10,8,"Make Love, Not Warcraft",9.5,10565
10,9,Mystery of the Urinal Deuce,8.2,3716
10,10,Miss Teacher Bangs a Boy,8.5,4195
10,11,Hell on Earth 2006,8,3530
10,12,Go God Go,8.5,3912
10,13,Go God Go XII,8.6,3795
10,14,Stanley's Cup,7.4,3985
11,1,With Apologies to Jesse Jackson,8.9,5270
11,2,Cartman Sucks,9,5008
11,3,Lice Capades,8,3803
11,4,The Snuke,8.1,3729
11,5,Fantastic Easter Special,8.1,3531
11,6,D-Yikes!,7.6,3606
11,7,Night of the Living Homeless,8.7,4513
11,8,Le Petit Tourette,9,5025
11,9,More Crap,8.1,3869
11,10,Imaginationland,9,5541
11,11,Imaginationland: Episode II,9,4893
11,12,Imaginationland: Episode III,9,4874
11,13,Guitar Queer-o,8.4,4138
11,14,The List,8.5,3998
12,1,Tonsil Trouble,8,3797
12,2,Britney's New Look,7.1,3785
12,3,Major Boobage,8.7,4677
12,4,Canada on Strike,7.6,3409
12,5,"Eek, a Penis!",7.6,3335
12,6,Over Logging,8.5,3958
12,7,Super Fun Time,8.4,3676
12,8,The China Probrem,7.7,3640
12,9,Breast Cancer Show Ever,8.8,4161
12,10,Pandemic,8,3247
12,11,Pandemic 2: The Startling,7.8,3151
12,12,About Last Night...,7.6,3151
12,13,Elementary School Musical,7.6,3175
12,14,The Ungroundable,7.7,3142
13,1,The Ring,8.1,3770
13,2,The Coon,8.4,3925
13,3,Margaritaville,8.5,3961
13,4,"Eat, Pray, Queef",6.5,3457
13,5,Fishsticks,8.8,4970
13,6,Pinewood Derby,7.8,3243
13,7,Fatbeard,8.2,3478
13,8,Dead Celebrities,7.7,3204
13,9,Butters' Bottom Bitch,8.9,4520
13,10,W.T.F.,8.3,3410
13,11,Whale Whores,8.1,3335
13,12,The F Word,8.1,3403
13,13,Dances with Smurfs,8.1,3253
13,14,Pee,7.7,3234
14,1,Sexual Healing,7.5,3224
14,2,The Tale of Scrotie McBoogerballs,8,3449
14,3,Medicinal Fried Chicken,8.7,4395
14,4,You Have 0 Friends,8.7,4185
14,5,200,8.8,3505
14,6,201,8.8,3219
14,7,Crippled Summer,6.8,3282
14,8,Poor and Stupid,7.5,3081
14,9,It's a Jersey Thing,7.8,3324
14,10,Insheeption,8.1,3206
14,11,Coon 2: Hindsight,8.1,3109
14,12,Mysterion Rises,8.3,3190
14,13,Coon vs. Coon and Friends,8.3,3096
14,14,Crème Fraîche,8.2,3384
15,1,HUMANCENTiPAD,7.7,4030
15,2,Funnybot,6.4,3206
15,3,Royal Pudding,6.7,3120
15,4,T.M.I.,8.1,3276
15,5,Crack Baby Athletic Association,7.5,3083
15,6,City Sushi,8.1,3415
15,7,You're Getting Old,8.6,4274
15,8,Ass Burgers,8.1,3502
15,9,The Last of the Meheecans,8.1,3164
15,10,Bass to Mouth,7.5,2873
15,11,Broadway Bro Down,7.8,2921
15,12,1%,7.8,2884
15,13,A History Channel Thanksgiving,7.2,2713
15,14,The Poor Kid,7.9,2888
16,1,Reverse Cowgirl,7.7,3318
16,2,Cash for Gold,7.9,3296
16,3,Faith Hilling,7.1,3007
16,4,Jewpacabra,6.7,2875
16,5,Butterballs,7.6,3080
16,6,I Should Have Never Gone Ziplining,7.1,3692
16,7,Cartman Finds Love,8,3180
16,8,Sarcastaball,7.5,2985
16,9,Raising the Bar,8.1,3112
16,10,Insecurity,8.3,3172
16,11,Going Native,6.7,2741
16,12,A Nightmare on FaceTime,8.3,3216
16,13,A Scause for Applause,7.1,2488
16,14,Obama Wins!,7.4,2613
17,1,"Let Go, Let Gov",7.4,2948
17,2,Informative Murder Porn,8,3266
17,3,World War Zimmerman,7.7,3214
17,4,Goth Kids 3: Dawn of the Posers,6.8,2977
17,5,Taming Strange,7,2734
17,6,Ginger Cow,7.7,2896
17,7,Black Friday,8.9,4591
17,8,A Song of Ass and Fire,8.8,4017
17,9,Titties and Dragons,8.8,3800
17,10,The Hobbit,8.4,3534
18,1,Go Fund Yourself,7.7,3339
18,2,Gluten Free Ebola,7.7,3023
18,3,The Cissy,8.5,3801
18,4,Handicar,7.3,2931
18,5,The Magic Bush,7.9,2919
18,6,Freemium Isn't Free,8.1,3069
18,7,Grounded Vindaloop,9.1,5510
18,8,Cock Magic,8.3,3365
18,9,Rehash,7.3,2691
18,10,#HappyHolograms,6.8,2810
19,1,Stunning and Brave,7.6,3696
19,2,Where My Country Gone?,8.1,3410
19,3,The City Part of Town,7.6,3156
19,4,You're Not Yelping,8,3271
19,5,Safe Space,8.3,3574
19,6,Tweek x Craig,8.1,3868
19,7,Naughty Ninjas,8.2,2999
19,8,Sponsored Content,8.7,3716
19,9,Truth and Advertising,8,2707
19,10,PC Principal Final Justice,7.8,2691
20,1,Member Berries,7.8,3225
20,2,Skank Hunt,8.1,2883
20,3,The Damned,8,2713
20,4,Wieners Out,7.8,2611
20,5,Douche and a Danish,7.3,2505
20,6,Fort Collins,7.3,2446
20,7,"Oh, Jeez",7.1,2453
20,8,Members Only,7.3,2401
20,9,Not Funny,7.3,2299
20,10,The End of Serialization as We Know It,7.1,2492
21,1,White People Renovating Houses,6.8,3404
21,2,Put It Down,8,3647
21,3,Holiday Special,7.6,2757
21,4,Franchise Prequel,7.4,2678
21,5,Hummels & Heroin,7.3,2685
21,6,Sons A Witches,7.3,2576
21,7,Doubling Down,7.5,2529
21,8,Moss Piglets,7,2282
21,9,Super Hard PCness,7.7,2428
21,10,Splatty Tomato,7.2,2549
22,1,Dead Kids,8.1,3591
22,2,A Boy and a Priest,7.6,2876
22,3,The Problem with a Poo,6.4,2683
22,4,Tegridy Farms,7.8,2779
22,5,The Scoots,8,2693
22,6,Time to Get Cereal,7.7,2637
22,7,Nobody Got Cereal?,7.7,2476
22,8,Buddha Box,7.3,2416
22,9,Unfulfilled,7.6,2268
22,10,Bike Parade,7.6,2226
23,1,Mexican Joker,7.4,3236
23,2,Band in China,8.5,4073
23,3,Shots!!!,7.4,2701
23,4,Let Them Eat Goo,7.9,2670
23,5,Tegridy Farms Halloween Special,7.1,2460
23,6,Season Finale,7.1,2420
23,7,Board Girls,8.1,3041
23,8,Turd Burglars,7.5,2486
23,9,Basic Cable,7.7,2339
23,10,Christmas Snow,7.6,2349
24,1,The Pandemic Special,8.3,6209
24,2,South ParQ Vaccination Special,7.5,4355
25,1,Pajama Day,7.2,2955
25,2,The Big Fix,8,2931
25,3,City People,7.3,2520
25,4,Back to the Cold War,6.6,2445
25,5,"Help, My Teenager Hates Me!",7.6,2544
25,6,Credigree Weed St. Patrick's Day Special,7.1,2156
26,1,Cupid Ye,7.3,3287
26,2,The Worldwide Privacy Tour,8.3,4590
26,3,Japanese Toilet,7.7,2842
26,4,Deep Learning,8.3,3074
26,5,DikinBaus Hot Dogs,7.8,2482
26,6,Spring Break,6.6,2394
27,1,Sermon on the 'Mount,9.3,14450
27,2,Got a Nut,8.3,5743
27,3,Sickofancy,7.4,3697
27,4,Wok Is Dead,7.6,3333
27,5,Conflict of Interest,7.5,3067
28,1,Twisted Christian,6.7,3054
28,2,The Woman in the Hat,7,2341
28,3,Sora Not Sorry,7.2,2067
28,4,Turkey Trot,7.2,1737
28,5,The Crap Out,6.7,1616
