season,episode,title,rating,votes
1,1,Death Has a Shadow,7.6,5447
1,2,I Never Met the Dead Man,7.4,4208
1,3,Chitty Chitty Death Bang,7.5,3951
1,4,Mind Over Murder,7.4,3712
1,5,A Hero Sits Next Door,7.4,3597
1,6,The Son Also Draws,7.1,3451
1,7,Brian: Portrait of a Dog,7.4,3485
2,1,"Peter, Peter, Caviar Eater",7.5,3306
2,2,Holy Crap,7.2,3103
2,3,Da Boom,8.1,3736
2,4,Brian in Love,7.4,3022
2,5,Love Thy Trophy,7.6,3008
2,6,Death Is a Bitch,8.2,3450
2,7,The King Is Dead,7.2,2837
2,8,"I Am Peter, Hear Me Roar",8,3110
2,9,"If I'm Dyin', I'm Lyin'",7.2,2755
2,10,Running Mates,7.3,2725
2,11,"A Picture Is Worth 1,000 Bucks",7,2725
2,12,Fifteen Minutes of Shame,7.5,2703
2,13,Road to Rhode Island,8.1,3232
2,14,Let's Go to the Hop,7.7,2716
2,15,Dammit Janet,7.3,2588
2,16,There's Something About Paulie,6.9,2702
2,17,He's Too Sexy for His Fat,7.7,2670
2,18,E. Peterbus Unum,8.1,2854
2,19,The Story on Page One,7.3,2462
2,20,Wasted Talent,8,2765
2,21,"Fore, Father",7.1,2428
3,1,The Thin White Line,8,2793
3,2,Brian Does Hollywood,7.6,2576
3,3,Mr. Griffin Goes to Washington,7.5,2454
3,4,"One If by Clam, Two If by Sea",7.5,2479
3,5,And the Wiener Is...,7.6,2446
3,6,Death Lives,8,2560
3,7,Lethal Weapons,7.3,2532
3,8,The Kiss Seen Round the World,6.7,2522
3,9,Mr. Saturday Knight,7.3,2377
3,10,A Fish Out of Water,7.1,2466
3,11,Emission Impossible,8.1,2602
3,12,To Love and Die in Dixie,8.1,2696
3,13,Screwed the Pooch,7.3,2288
3,14,"Peter Griffin: Husband, Father... Brother?",7.6,2313
3,15,"Ready, Willing and Disabled",7.5,2262
3,16,A Very Special Family Guy Freakin' Christmas,7.6,2466
3,17,Brian Wallows and Peter's Swallows,7.5,2459
3,18,From Method to Madness,7.4,2264
3,19,"Stuck Together, Torn Apart",7.6,2225
3,20,Road to Europe,7.8,2419
3,21,Family Guy Viewer Mail #1,7.4,2333
3,22,When You Wish Upon a Weinstein,7.3,2323
4,1,North by North Quahog,7.7,2645
4,2,Fast Times at Buddy Cianci Jr. High,7.5,2377
4,3,Blind Ambition,7.5,2306
4,4,Don't Make Me Over,7.4,2352
4,5,The Cleveland-Loretta Quagmire,7.6,2365
4,6,Petarded,8.2,2970
4,7,Brian the Bachelor,7.4,2258
4,8,8 Simple Rules for Buying My Teenage Daughter,7.5,2278
4,9,Breaking Out Is Hard to Do,7.6,2229
4,10,Model Misbehavior,7.2,2152
4,11,Peter's Got Woods,7.5,2282
4,12,The Perfect Castaway,7.6,2208
4,13,Jungle Love,7.2,2143
4,14,PTV,8.5,3412
4,15,Brian Goes Back to College,7.6,2195
4,16,The Courtship of Stewie's Father,7.7,2190
4,17,Fat Guy Strangler,8,2497
4,18,"The Father, the Son and the Holy Fonz",7.2,2147
4,19,Brian Sings and Swings,7.2,2131
4,20,Patriot Games,7.7,2438
4,21,"I Take Thee, Quagmire",7.5,2135
4,22,Sibling Rivalry,7.5,2122
4,23,Deep Throats,7.4,2098
4,24,Peterotica,7.5,2103
4,25,You May Now Kiss the... Uh... Guy Who Receives,7.1,2089
4,26,Petergeist,7.8,2312
4,27,Untitled Griffin Family History,7.7,2169
4,28,Stewie B. Goode,7.6,1921
4,29,Bango Was His Name Oh!,7.6,1905
4,30,Stu & Stewie's Excellent Adventure,7.8,2031
5,1,Stewie Loves Lois,8.2,2635
5,2,Mother Tucker,7.4,2151
5,3,Hell Comes to Quahog,7.5,2102
5,4,Saving Private Brian,7.6,2263
5,5,Whistle While Your Wife Works,7.6,2099
5,6,Prick Up Your Ears,7.3,2044
5,7,Chick Cancer,7.4,2078
5,8,Barely Legal,7.8,2263
5,9,Road to Rupert,7.9,2252
5,10,Peter's Two Dads,7.6,2129
5,11,The Tan Aquatic with Steve Zissou,7.6,2042
5,12,Airport '07,7.7,2131
5,13,Bill & Peter's Bogus Journey,7.2,2008
5,14,No Meals on Wheels,7.2,1935
5,15,Boys Do Cry,7.2,1944
5,16,No Chris Left Behind,7.3,1976
5,17,"It Takes a Village Idiot, and I Married One",7.5,1950
5,18,Meet the Quagmires,8.4,2811
6,1,Blue Harvest,8.2,8730
6,2,Movin' Out (Brian's Song),7.2,2051
6,3,"Believe It or Not, Joe's Walking on Air",7.4,2074
6,4,Stewie Kills Lois,8.3,2901
6,5,Lois Kills Stewie,8.4,2857
6,6,Padre de Familia,6.9,2006
6,7,Peter's Daughter,7.3,1985
6,8,McStroke,7.6,2194
6,9,Back to the Woods,7.4,2055
6,10,"Play It Again, Brian",7.2,1953
6,11,The Former Life of Brian,6.8,1925
6,12,Long John Peter,7.5,2050
7,1,Love Blactually,6.8,2143
7,2,I Dream of Jesus,8,2938
7,3,Road to Germany,8.1,2699
7,4,Baby Not on Board,7.5,2106
7,5,The Man with Two Brians,7.6,2065
7,6,Tales of a Third Grade Nothing,7.1,2150
7,7,Ocean's Three and a Half,7.6,2101
7,8,Family Gay,7.4,2223
7,9,The Juice Is Loose!,6.4,2024
7,10,FOX-y Lady,6.8,1917
7,11,Not All Dogs Go to Heaven,7.6,2369
7,12,420,7.6,2212
7,13,Stew-Roids,7.9,2248
7,14,We Love You Conrad,7.3,1935
7,15,Three Kings,8.1,2468
7,16,Peter's Progress,7.1,1940
8,1,Road to the Multiverse,9.1,5419
8,2,Family Goy,7.1,2066
8,3,Spies Reminiscent of Us,6.7,1970
8,4,Brian's Got a Brand New Bag,7.1,1923
8,5,Hannah Banana,7.1,1936
8,6,Quagmire's Baby,7.2,1911
8,7,Jerome Is the New Black,7.1,1926
8,8,Dog Gone,7.5,1903
8,9,Business Guy,7.3,1987
8,10,Big Man on Hippocampus,7.5,1883
8,11,Dial Meg for Murder,7.5,2007
8,12,Extra Large Medium,6.7,1879
8,13,"Go, Stewie, Go!",7.2,1874
8,14,Peter-assment,6.7,1837
8,15,Brian Griffin's House of Payne,7.1,1842
8,16,April in Quahog,7.2,1790
8,17,Brian & Stewie,7.9,3557
8,18,Quagmire's Dad,7.5,2237
8,19,The Splendid Source,7.3,1872
8,20,"Something, Something, Something, Dark Side",7.7,7272
8,21,Partial Terms of Endearment,7.3,1696
9,1,And Then There Were Fewer,8.7,4347
9,2,Excellence in Broadcasting,6.5,2115
9,3,Welcome Back Carter,7,1778
9,4,Halloween on Spooner Street,7.9,2207
9,5,"Baby, You Knock Me Out",7.1,1901
9,6,Brian Writes a Bestseller,7,2010
9,7,Road to the North Pole,8.2,2949
9,8,New Kidney in Town,7.5,1916
9,9,And I'm Joyce Kinney,7.1,1744
9,10,Friends of Peter G.,7.3,1836
9,11,German Guy,6.8,1895
9,12,The Hand That Rocks the Wheelchair,7.2,1816
9,13,Trading Places,7.2,1794
9,14,Tiegs for Two,7.1,1676
9,15,Brothers & Sisters,6.8,1660
9,16,The Big Bang Theory,8.1,2213
9,17,Foreign Affairs,6.4,1685
9,18,It's a Trap!,7.3,10485
10,1,Lottery Fever,7.3,2277
10,2,Seahorse Seashell Party,6.6,2559
10,3,Screams of Silence: The Story of Brenda Q,6.3,2283
10,4,Stewie Goes for a Drive,7,1970
10,5,Back to the Pilot,8.8,3681
10,6,Thanksgiving,6.8,1930
10,7,Amish Guy,7,1792
10,8,Cool Hand Peter,7.5,1847
10,9,Grumpy Old Man,6.7,1650
10,10,Meg and Quagmire,7.2,1855
10,11,The Blind Side,7.7,1958
10,12,Livin' on a Prayer,6.9,1701
10,13,Tom Tucker: The Man and His Dream,6.7,1657
10,14,Be Careful What You Fish For,6.9,1874
10,15,Burning Down the Bayit,6.7,1607
10,16,Killer Queen,7.4,1770
10,17,Forget-Me-Not,8.1,2042
10,18,"You Can't Do That on Television, Peter",7,1635
10,19,Mr. & Mrs. Stewie,7.6,1822
10,20,Leggo My Meg-O,7.6,1819
10,21,Tea Peter,6.6,1656
10,22,Family Guy Viewer Mail #2,7.7,1876
10,23,Internal Affairs,7.3,1736
11,1,Into Fat Air,7.3,2107
11,2,Ratings Guy,7.1,1809
11,3,The Old Man and the Big 'C',6.8,1659
11,4,Yug Ylimaf,8.4,2619
11,5,Joe's Revenge,7.1,1650
11,6,Lois Comes Out of Her Shell,7.3,1777
11,7,Friends Without Benefits,6.9,1615
11,8,"Jesus, Mary and Joseph!",6.8,1780
11,9,Space Cadet,7.2,1647
11,10,Brian's Play,7.1,1642
11,11,The Giggity Wife,6.9,1627
11,12,Valentine's Day in Quahog,7.2,1619
11,13,Chris Cross,6.7,1552
11,14,Call Girl,6.8,1571
11,15,Turban Cowboy,6.6,1698
11,16,12 and a Half Angry Men,7.5,1731
11,17,Bigfat,6.8,1559
11,18,Total Recall,7.1,1491
11,19,Save the Clam,6.6,1468
11,20,Farmer Guy,7.2,1556
11,21,Roads to Vegas,7.9,1892
11,22,No Country Club for Old Men,6.6,1515
12,1,Finders Keepers,6.9,1972
12,2,Vestigial Peter,5.8,2091
12,3,Quagmire's Quagmire,7.1,1883
12,4,A Fistful of Meg,6.7,1835
12,5,Boopa-dee Bappa-dee,6.5,1761
12,6,Life of Brian,4.8,3659
12,7,Into Harmony's Way,6.5,2239
12,8,Christmas Guy,7.6,2263
12,9,Peter Problems,6.6,1683
12,10,Grimm Job,7,1759
12,11,Brian's a Bad Father,6,1717
12,12,Mom's the Word,6.3,1596
12,13,3 Acts of God,6.5,1581
12,14,Fresh Heir,5.3,1798
12,15,Secondhand Spoke,6.8,1537
12,16,"Herpe, the Love Sore",5.7,1748
12,17,The Most Interesting Man in the World,6.9,1552
12,18,Baby Got Black,6.7,1560
12,19,Meg Stinks!,7.1,1507
12,20,He's Bla-ack!,7.1,1544
12,21,Chap Stewie,7,1520
13,1,The Simpsons Guy,8.4,5643
13,2,The Book of Joe,6.6,1611
13,3,Baking Bad,6.9,1668
13,4,Brian the Closer,6.7,1616
13,5,Turkey Guys,6.8,1561
13,6,"The 2,000-Year-Old Virgin",6,1801
13,7,"Stewie, Chris & Brian's Excellent Adventure",7.5,1677
13,8,Our Idiot Brian,7,1532
13,9,This Little Piggy,6.7,1466
13,10,Quagmire's Mom,6.6,1546
13,11,Encyclopedia Griffin,6.5,1449
13,12,Stewie Is Enceinte,5.7,2053
13,13,Dr. C and the Women,6.5,1387
13,14,#JOLO,7,1425
13,15,Once Bitten,6.7,1404
13,16,Roasted Guy,7.2,1492
13,17,Fighting Irish,6.8,1494
13,18,Take My Wife,7.3,1488
14,1,Pilling Them Softly,7.1,1671
14,2,Papa Has a Rollin' Son,7.1,1546
14,3,"Guy, Robot",6.9,1510
