season,episode,title,rating,votes
1,1,Simpsons Roasting on an Open Fire,8.1,10381
1,2,Bart the Genius,7.6,7214
1,3,Homer's Odyssey,7.3,6432
1,4,There's No Disgrace Like Home,7.6,6230
1,5,Bart the General,7.9,6439
1,6,Moaning Lisa,7.6,6143
1,7,The Call of the Simpsons,7.7,5837
1,8,The Telltale Head,7.6,5640
1,9,Life on the Fast Lane,7.4,5600
1,10,Homer's Night Out,7.3,5431
1,11,The Crepes of Wrath,7.7,5467
1,12,Krusty Gets Busted,8.3,5946
1,13,Some Enchanted Evening,7.7,5634
2,1,Bart Gets an F,8.3,6032
2,2,Simpson and Delilah,8.2,5798
2,3,Treehouse of Horror,8.2,6311
2,4,Two Cars in Every Garage and Three Eyes on Every Fish,8,5171
2,5,Dancin' Homer,7.3,4976
2,6,Dead Putting Society,7.9,4855
2,7,Bart vs. Thanksgiving,7.6,4814
2,8,Bart the Daredevil,8.3,5139
2,9,Itchy & Scratchy & Marge,8,5045
2,10,Bart Gets Hit by a Car,7.7,4678
2,11,"One Fish, Two Fish, Blowfish, Blue Fish",8.8,5961
2,12,The Way We Was,8.3,4912
2,13,Homer vs. Lisa and the 8th Commandment,8,4588
2,14,Principal Charming,7.4,4412
2,15,"Oh Brother, Where Art Thou?",8.3,4853
2,16,Bart's Dog Gets an F,7.4,4332
2,17,Old Money,7.6,4316
2,18,Brush with Greatness,7.9,4351
2,19,Lisa's Substitute,8.6,5625
2,20,The War of the Simpsons,7.7,4241
2,21,Three Men and a Comic Book,8.2,4737
2,22,Blood Feud,7.8,4168
3,1,Stark Raving Dad,8.6,5512
3,2,Mr. Lisa Goes to Washington,7.7,4475
3,3,When Flanders Failed,8.2,4644
3,4,Bart the Murderer,8.6,5167
3,5,Homer Defined,8.3,4852
3,6,"Like Father, Like Clown",7.5,4298
3,7,Treehouse of Horror II,8.2,4888
3,8,Lisa's Pony,7.8,4226
3,9,Saturdays of Thunder,7.8,4179
3,10,Flaming Moe's,8.8,5376
3,11,Burns Verkaufen der Kraftwerk,8.2,4295
3,12,I Married Marge,8.3,4215
3,13,Radio Bart,8.5,4533
3,14,Lisa the Greek,8,4024
3,15,Homer Alone,8,4022
3,16,Bart the Lover,8.3,4489
3,17,Homer at the Bat,8.7,5267
3,18,Separate Vocations,8.2,4045
3,19,Dog of Death,7.7,3852
3,20,Colonel Homer,8,4207
3,21,Black Widower,8.3,4201
3,22,The Otto Show,7.6,3927
3,23,Bart's Friend Falls in Love,7.7,3913
3,24,"Brother, Can You Spare Two Dimes?",8.2,4054
4,1,Kamp Krusty,8.5,4811
4,2,A Streetcar Named Marge,8.1,4371
4,3,Homer the Heretic,8.9,5721
4,4,Lisa the Beauty Queen,7.7,3974
4,5,Treehouse of Horror III,8.4,4714
4,6,Itchy & Scratchy: The Movie,8.2,4240
4,7,Marge Gets a Job,7.7,3859
4,8,New Kid on the Block,8.2,4206
4,9,Mr. Plow,8.8,5217
4,10,Lisa's First Word,8.7,4500
4,11,Homer's Triple Bypass,8.6,4635
4,12,Marge vs. the Monorail,9.1,6543
4,13,Selma's Choice,8,3903
4,14,Brother from the Same Planet,8.1,3908
4,15,I Love Lisa,8.4,4291
4,16,Duffless,8.3,4013
4,17,Last Exit to Springfield,9,5913
4,18,So It's Come to This: A Simpsons Clip Show,6.9,3614
4,19,The Front,8,3717
4,20,Whacking Day,8.1,3952
4,21,Marge in Chains,7.7,3657
4,22,Krusty Gets Kancelled,8.1,3979
5,1,Homer's Barbershop Quartet,8.5,4759
5,2,Cape Feare,9.2,6651
5,3,Homer Goes to College,8.6,4710
5,4,Rosebud,8.8,4819
5,5,Treehouse of Horror IV,8.8,4984
5,6,Marge on the Lam,8,3873
5,7,Bart's Inner Child,7.6,3644
5,8,Boy Scoutz 'n the Hood,8.6,4363
5,9,The Last Temptation of Homer,8.5,4275
5,10,"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.6,4253
5,11,Homer the Vigilante,8.2,3903
5,12,Bart Gets Famous,8.1,3792
5,13,Homer and Apu,8.2,3833
5,14,Lisa vs. Malibu Stacy,8.1,3993
5,15,Deep Space Homer,8.8,4861
5,16,Homer Loves Flanders,8.6,4140
5,17,Bart Gets an Elephant,7.8,3652
5,18,Burns' Heir,8.3,3827
5,19,Sweet Seymour Skinner's Baadasssss Song,8.3,3907
5,20,The Boy Who Knew Too Much,8.3,3660
5,21,Lady Bouvier's Lover,7.5,3330
5,22,Secrets of a Successful Marriage,8,3494
6,1,Bart of Darkness,8.7,4474
6,2,Lisa's Rival,8.1,3826
6,3,Another Simpsons Clip Show,5.7,3409
6,4,Itchy & Scratchy Land,8.6,4236
6,5,Sideshow Bob Roberts,8.2,3725
6,6,Treehouse of Horror V,9.2,6047
6,7,Bart's Girlfriend,8.1,3760
6,8,Lisa on Ice,8.6,4075
6,9,Homer Badman,9,5261
6,10,Grampa vs. Sexual Inadequacy,8.1,3473
6,11,Fear of Flying,7.7,3571
6,12,Homer the Great,9,5000
6,13,And Maggie Makes Three,8.9,4710
6,14,Bart's Comet,8.7,4001
6,15,Homie the Clown,8.6,4012
6,16,Bart vs. Australia,8.5,4196
6,17,Homer vs. Patty and Selma,7.8,3331
6,18,A Star Is Burns,8.6,4008
6,19,Lisa's Wedding,8.4,3843
6,20,Two Dozen and One Greyhounds,8.1,3450
6,21,The PTA Disbands,8,3395
6,22,'Round Springfield,8.1,3669
6,23,The Springfield Connection,8.2,3457
6,24,Lemon of Troy,8.7,4207
6,25,Who Shot Mr. Burns? Part One,9.2,5381
7,1,Who Shot Mr. Burns? Part Two,9,4909
7,2,Radioactive Man,8.3,3714
7,3,Home Sweet Home-Dum-Diddly Doodily,8.4,3632
7,4,Bart Sells His Soul,8.8,4635
7,5,Lisa the Vegetarian,8.5,4236
7,6,Treehouse of Horror VI,8.7,4386
7,7,King Size Homer,9,5141
7,8,Mother Simpson,8.7,4104
7,9,Sideshow Bob's Last Gleaming,7.9,3354
7,10,The Simpsons 138th Episode Spectacular!,7.3,3241
7,11,Marge Be Not Proud,8.5,4211
7,12,Team Homer,8.3,3421
7,13,Two Bad Neighbors,8.5,4007
7,14,Scenes from the Class Struggle in Springfield,7.7,3160
7,15,Bart the Fink,7.6,3113
7,16,Lisa the Iconoclast,8.1,3365
7,17,Homer the Smithers,8.8,4379
7,18,The Day the Violence Died,8,3319
7,19,A Fish Called Selma,8.2,3668
7,20,Bart on the Road,8.6,3980
7,21,22 Short Films About Springfield,9,4727
7,22,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',8.5,3576
7,23,Much Apu About Nothing,8.1,3219
7,24,Homerpalooza,7.9,3318
7,25,"Summer of 4'2""",8.5,3646
8,1,Treehouse of Horror VII,8.5,4065
8,2,You Only Move Twice,9.2,7103
8,3,The Homer They Fall,8.1,3500
8,4,"Burns, Baby Burns",7.6,3370
8,5,Bart After Dark,8.3,3595
8,6,A Milhouse Divided,8.1,3366
8,7,Lisa's Date with Density,7.8,3267
8,8,Hurricane Neddy,8.7,4241
8,9,The Mysterious Voyage of Our Homer,8.6,4341
8,10,The Springfield Files,9.1,5423
8,11,The Twisted World of Marge Simpson,7.7,3185
8,12,Mountain of Madness,8.5,3800
8,13,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,7.6,3407
8,14,The Itchy & Scratchy & Poochie Show,8,3447
8,15,Homer's Phobia,8.8,4716
8,16,Brother from Another Series,8.2,3426
8,17,"My Sister, My Sitter",7.8,3389
8,18,Homer vs. the 18th Amendment,8.8,4106
8,19,Grade School Confidential,8.2,3414
8,20,The Canine Mutiny,7.6,2963
8,21,The Old Man and the Lisa,7.8,3112
8,22,In Marge We Trust,8.1,3221
8,23,Homer's Enemy,9.3,7785
8,24,The Simpsons Spin-Off Showcase,7.1,3116
8,25,The Secret War of Lisa Simpson,7.8,3090
9,1,The City of New York vs. Homer Simpson,9,5525
9,2,The Principal and the Pauper,6.9,3902
9,3,Lisa's Sax,8.1,3041
9,4,Treehouse of Horror VIII,8.2,3408
9,5,The Cartridge Family,8.3,3359
9,6,Bart Star,7.6,2860
9,7,The Two Mrs. Nahasapeemapetilons,7.6,2789
9,8,Lisa the Skeptic,8.1,3044
9,9,Realty Bites,7.6,2804
9,10,Miracle on Evergreen Terrace,7.6,3079
9,11,"All Singing, All Dancing",5,3185
9,12,Bart Carny,7.6,2874
9,13,The Joy of Sect,8.3,3173
9,14,Das Bus,8.2,3106
9,15,The Last Temptation of Krust,7.4,2703
9,16,Dumbbell Indemnity,7.6,2724
9,17,Lisa the Simpson,8,3014
9,18,This Little Wiggy,7.8,2805
9,19,Simpson Tide,8.1,3121
9,20,The Trouble with Trillions,7.8,2951
9,21,Girly Edition,7.8,2747
9,22,Trash of the Titans,8.4,3421
9,23,King of the Hill,8.2,3099
9,24,Lost Our Lisa,7.7,2680
9,25,Natural Born Kissers,8,2838
10,1,Lard of the Dance,7.6,2865
10,2,The Wizard of Evergreen Terrace,8.1,3146
10,3,Bart the Mother,7.6,2764
10,4,Treehouse of Horror IX,8,3234
10,5,When You Dish Upon a Star,7.1,2726
10,6,D'oh-in' in the Wind,7.5,2675
10,7,Lisa Gets an 'A',8.1,2795
10,8,Homer Simpson in: 'Kidney Trouble',7.2,2612
10,9,Mayored to the Mob,8.1,3080
10,10,Viva Ned Flanders,7.8,2761
10,11,Wild Barts Can't Be Broken,7.7,2647
10,12,"Sunday, Cruddy Sunday",7,2656
10,13,Homer to the Max,7.7,2685
10,14,I'm with Cupid,7.2,2463
10,15,Marge Simpson in: 'Screaming Yellow Honkers',7.3,2506
10,16,Make Room for Lisa,7.5,2459
10,17,Maximum Homerdrive,7.7,2600
10,18,Simpsons Bible Stories,7.3,2544
10,19,Mom and Pop Art,7.6,2644
10,20,The Old Man and the 'C' Student,7.2,2350
