season,episode,title,rating,votes
1,1,A Hard Day's Night,8.3,3600
1,2,The First Cut Is the Deepest,8.1,2500
1,3,"Winning a Battle, Losing the War",8,2313
1,4,No Man's Land,8,2181
1,5,Shake Your Groove Thing,8,2104
1,6,If Tomorrow Never Comes,8.1,2031
1,7,The Self-Destruct Button,8.1,1999
1,8,Save Me,7.9,1980
1,9,Who's Zoomin' Who?,8.6,2222
2,1,Raindrops Keep Falling on My Head,8.3,1997
2,2,Enough Is Enough,8,1843
2,3,Make Me Lose Control,8.6,2013
2,4,"Deny, Deny, Deny",8.3,1891
2,5,Bring the Pain,8.5,1918
2,6,Into You Like a Train,9,2534
2,7,Something to Talk About,8.1,1719
2,8,Let It Be,7.8,1703
2,9,Thanks for the Memories,8.3,1781
2,10,Much Too Much,8,1704
2,11,Owner of a Lonely Heart,8.1,1667
2,12,Grandma Got Run Over by a Reindeer,8.1,1691
2,13,Begin the Begin,8.2,1752
2,14,Tell Me Sweet Little Lies,7.8,1666
2,15,Break on Through,8.3,1748
2,16,It's the End of the World,9.4,3644
2,17,As We Know It,9.4,3537
2,18,Yesterday,8.3,1763
2,19,What Have I Done to Deserve This?,8,1681
2,20,Band-Aid Covers the Bullet Hole,7.9,1625
2,21,Superstition,8.1,1616
2,22,The Name of the Game,8.1,1634
2,23,Blues for Sister Someone,7.9,1649
2,24,Damage Case,8.4,1739
2,25,17 Seconds,9,2202
2,26,Deterioration of the Fight or Flight Response,9,2191
2,27,Losing My Religion,9.3,2891
3,1,Time Has Come Today,8.3,1967
3,2,I Am a Tree,8.1,1559
3,3,Sometimes a Fantasy,8,1570
3,4,What I Am,8.2,1636
3,5,"Oh, the Guilt",8,1477
3,6,Let the Angels Commit,7.9,1627
3,7,Where the Boys Are,7.9,1644
3,8,Staring at the Sun,7.9,1585
3,9,From a Whisper to a Scream,8.6,1801
3,10,Don't Stand So Close to Me,8.1,1511
3,11,Six Days: Part 1,8.2,1703
3,12,Six Days: Part 2,8.6,1787
3,13,Great Expectations,8.2,1527
3,14,Wishin' and Hopin',8.4,1557
3,15,Walk on Water,8.8,1912
3,16,Drowning on Dry Land,9,2083
3,17,Some Kind of Miracle,8.4,2044
3,18,Scars and Souvenirs,8.1,1619
3,19,My Favorite Mistake,8,1495
3,20,Time After Time,8,1479
3,21,Desire,7.9,1481
3,22,"The Other Side of This Life, Part 1",6.8,1773
3,23,"The Other Side of This Life, Part 2",7.1,1640
3,24,Testing 1-2-3,8.3,1494
3,25,Didn't We Almost Have It All?,8.7,2025
4,1,A Change Is Gonna Come,8,1624
4,2,Love/Addiction,7.7,1421
4,3,Let the Truth Sting,7.9,1442
4,4,The Heart of the Matter,7.9,1468
4,5,Haunt You Every Day,7.8,1435
4,6,Kung Fu Fighting,7.8,1372
4,7,Physical Attraction... Chemical Reaction,7.7,1385
4,8,Forever Young,7.9,1448
4,9,Crash Into Me: Part 1,8.5,1605
4,10,Crash Into Me: Part 2,8.4,1522
4,11,Lay Your Hands on Me,7.9,1428
4,12,Where the Wild Things Are,8,1378
4,13,Piece of My Heart,8.1,1385
4,14,The Becoming,8,1585
4,15,Losing My Mind,8,1429
4,16,Freedom: Part 1,8.6,1779
4,17,Freedom: Part 2,8.8,1519
5,1,Dream a Little Dream of Me: Part 1,8.2,1596
5,2,Dream a Little Dream of Me: Part 2,8.2,1237
5,3,Here Comes the Flood,8.1,1470
5,4,Brave New World,8.2,1574
5,5,There's No 'I' in Team,8.3,1537
5,6,Life During Wartime,8.2,1400
5,7,Rise Up,8.3,1541
5,8,These Ties That Bind,7.8,1588
5,9,In the Midnight Hour,8.2,1591
5,10,All by Myself,8.2,1556
5,11,Wish You Were Here,8.1,1337
5,12,Sympathy for the Devil,8.6,1689
5,13,Stairway to Heaven,9,2017
5,14,Beat Your Heart Out,8.2,1467
5,15,Before and After,8.1,1337
5,16,An Honest Mistake,8.5,1632
5,17,I Will Follow You Into the Dark,8.5,1611
5,18,Stand by Me,8.8,1726
5,19,Elevator Love Letter,8.9,1794
5,20,Sweet Surrender,8.5,1611
5,21,No Good at Saying Sorry (One More Chance),8.3,1358
5,22,What a Difference a Day Makes,9.2,2131
5,23,Here's to Future Days,8.8,1768
5,24,Now or Never,9.5,3387
6,1,Good Mourning,8.4,1686
6,2,Goodbye,8.2,1550
6,3,I Always Feel Like Somebody's Watchin' Me,7.8,1285
6,4,Tainted Obligation,7.9,1295
6,5,Invasion,8,1347
6,6,I Saw What I Saw,9,2199
6,7,Give Peace a Chance,8.7,1586
6,8,Invest in Love,8.4,1414
6,9,New History,8.1,1239
6,10,Holidaze,7.9,1286
6,11,Blink,8,1234
6,12,I Like You So Much Better When You're Naked,7.8,1245
6,13,State of Love and Trust,8,1211
6,14,Valentine's Day Massacre,8,1198
6,15,The Time Warp,8.8,1826
6,16,Perfect Little Accident,8,1219
6,17,Push,7.8,1214
6,18,Suicide Is Painless,7.8,1276
6,19,Sympathy for the Parents,7.9,1202
6,20,"Hook, Line and Sinner",7.6,1167
6,21,How Insensitive,8.1,1220
6,22,Shiny Happy People,8.2,1437
6,23,Sanctuary,9.6,4221
6,24,Death and All His Friends,9.7,5019
7,1,With You I'm Born Again,7.9,1419
7,2,Shock to the System,7.8,1238
7,3,Superfreak,7.7,1213
7,4,Can't Fight Biology,7.6,1181
7,5,Almost Grown,7.9,1203
7,6,These Arms of Mine,7.7,1694
7,7,That's Me Trying,7.8,1219
7,8,Something's Gotta Give,7.8,1194
7,9,"Slow Night, So Long",8.1,1228
7,10,Adrift and at Peace,8.2,1356
7,11,Disarm,8.6,1552
7,12,Start Me Up,7.9,1189
7,13,Don't Deceive Me (Please Don't Go),7.8,1162
7,14,P.Y.T. (Pretty Young Thing),7.7,1149
7,15,Golden Hour,8.6,1477
7,16,Not Responsible,7.7,1135
7,17,This Is How We Do It,8,1199
7,18,Song Beneath the Song,6.1,4839
7,19,It's a Long Way Back,7.8,1186
7,20,White Wedding,7.9,1219
7,21,I Will Survive,7.8,1107
7,22,Unaccompanied Minor,8.1,1340
8,1,Free Falling,8,1427
8,2,She's Gone,8.3,1383
8,3,Take the Lead,8.1,1198
8,4,What Is It About Men,8.1,1255
8,5,"Love, Loss and Legacy",8.1,1236
8,6,Poker Face,7.9,1143
8,7,"Put Me in, Coach",8.2,1256
8,8,Heart-Shaped Box,8.4,1423
8,9,Dark Was the Night,9.1,1922
