season,episode,title,rating,votes
1,1,Ambush,7.3,7679
1,2,Rising Malevolence,7.3,6750
1,3,Shadow of Malevolence,7.3,6311
1,4,Destroy Malevolence,7.4,6154
1,5,Rookies,7.9,6720
1,6,Downfall of a Droid,6.5,5722
1,7,Duel of the Droids,7.1,5672
1,8,Bombad Jedi,6,5758
1,9,Cloak of Darkness,7.9,5783
1,10,Lair of Grievous,8.1,5938
1,11,Dooku Captured,7.3,5366
1,12,The Gungan General,6.9,5219
1,13,Jedi Crash,7.3,5215
1,14,Defenders of Peace,7.4,5171
1,15,Trespass,7.5,5233
1,16,The Hidden Enemy,7.6,5381
1,17,Blue Shadow Virus,6.6,4969
1,18,Mystery of a Thousand Moons,6.9,4847
1,19,Storm Over Ryloth,7.6,5077
1,20,Innocents of Ryloth,7.9,5227
1,21,Liberty on Ryloth,7.6,4960
1,22,Hostage Crisis,7.8,5064
2,1,Holocron Heist,7.8,4990
2,2,Cargo of Doom,8,4914
2,3,Children of the Force,7.6,4748
2,4,Senate Spy,6.8,4567
2,5,Landing at Point Rain,8.2,5229
2,6,Weapons Factory,7.8,4780
2,7,Legacy of Terror,7.6,4675
2,8,Brain Invaders,8,4807
2,9,Grievous Intrigue,7.8,4494
2,10,The Deserter,8.1,4763
2,11,Lightsaber Lost,7.5,4574
2,12,The Mandalore Plot,8,4858
2,13,Voyage of Temptation,8.1,4815
2,14,Duchess of Mandalore,7.6,4538
2,15,Senate Murders,6.7,4193
2,16,Cat and Mouse,7.5,4760
2,17,Bounty Hunters,7.5,4402
2,18,The Zillo Beast,7.3,4349
2,19,The Zillo Beast Strikes Back,7.6,4380
2,20,Death Trap,7.7,4368
2,21,R2 Come Home,7.5,4265
2,22,Lethal Trackdown,7.9,4328
3,1,Clone Cadets,7.8,5360
3,2,ARC Troopers,8.6,5251
3,3,Supply Lines,6.9,4508
3,4,Sphere of Influence,6.9,4039
3,5,Corruption,6.6,4186
3,6,The Academy,6.9,4146
3,7,Assassin,7.5,4152
3,8,Evil Plans,6.2,4046
3,9,Hunt for Ziro,7,4109
3,10,Heroes on Both Sides,7.5,4210
3,11,Pursuit of Peace,7.1,4059
3,12,Nightsisters,8.6,5050
3,13,Monster,8.7,5039
3,14,Witches of the Mist,8.9,5144
3,15,Overlords,8.9,5752
3,16,Altar of Mortis,8.6,5289
3,17,Ghosts of Mortis,8.9,5732
3,18,The Citadel,8.1,4423
3,19,Counter Attack,8,4276
3,20,Citadel Rescue,8.2,4318
3,21,Padawan Lost,7.6,4117
3,22,Wookiee Hunt,7.9,4174
4,1,Water War,7,4042
4,2,Gungan Attack,7,3924
4,3,Prisoners,7.1,3885
4,4,Shadow Warrior,7.1,3813
4,5,Mercy Mission,6.1,3823
4,6,Nomad Droids,6.2,3801
4,7,Darkness on Umbara,8.5,5166
4,8,The General,8.6,5118
4,9,Plan of Dissent,8.8,5132
4,10,Carnage of Krell,9.4,6520
4,11,Kidnapped,7.6,3925
4,12,Slaves of the Republic,7.8,3987
4,13,Escape from Kadavo,8.1,4017
4,14,A Friend in Need,7.9,4024
4,15,Deception,8.3,4257
4,16,Friends and Enemies,8.3,4179
4,17,The Box,8.7,4652
4,18,Crisis on Naboo,8.3,4142
4,19,Massacre,8.1,4244
4,20,Bounty,8.2,4210
4,21,Brothers,8.2,4504
4,22,Revenge,9.1,5352
5,1,Revival,8.8,5105
5,2,A War on Two Fronts,7.3,3899
5,3,Front Runners,7.3,3815
5,4,The Soft War,7.5,3788
5,5,Tipping Points,7.9,3909
5,6,The Gathering,7.8,4073
5,7,A Test of Strength,7.6,3840
5,8,Bound for Rescue,7.3,3752
5,9,A Necessary Bond,7.9,3855
5,10,Secret Weapons,6.3,3769
5,11,A Sunny Day in the Void,6,3861
5,12,Missing in Action,7.2,3821
5,13,Point of No Return,7,3644
5,14,Eminence,8.8,5088
5,15,Shades of Reason,9.1,5538
5,16,The Lawless,9.7,8458
5,17,Sabotage,8.1,4629
5,18,The Jedi Who Knew Too Much,9.1,5611
5,19,To Catch a Jedi,9.1,5417
5,20,The Wrong Jedi,9.7,9603
6,1,The Unknown,8.2,4437
6,2,Conspiracy,8.2,4368
6,3,Fugitive,8.4,4386
6,4,Orders,9,5278
6,5,An Old Friend,7,3638
6,6,The Rise of Clovis,7.2,3644
6,7,Crisis at the Heart,7.4,3632
6,8,The Disappeared: Part 1,6.4,3579
6,9,The Disappeared: Part 2,6.6,3552
6,10,The Lost One,8.6,4316
6,11,Voices,8.8,4696
6,12,Destiny,8.7,4558
6,13,Sacrifice,9.2,5332
7,1,The Bad Batch,8.2,6428
7,2,A Distant Echo,8.1,5813
7,3,On the Wings of Keeradaks,7.7,5602
7,4,Unfinished Business,8.5,5913
7,5,Gone with a Trace,6.4,5903
7,6,Deal No Deal,6.1,5807
7,7,Dangerous Debt,6,5838
7,8,Together Again,7,5568
7,9,Old Friends Not Forgotten,9.7,15996
7,10,The Phantom Apprentice,9.8,21228
7,11,Shattered,9.8,19402
7,12,Victory and Death,9.9,24713
