season,episode,title,rating,votes
1,1,Winter Is Coming,8.9,78104
1,2,The Kingsroad,8.6,59279
1,3,Lord Snow,8.5,56187
1,4,"Cripples, Bastards, and Broken Things",8.6,53596
1,5,The Wolf and the Lion,9,56449
1,6,A Golden Crown,9.1,55501
1,7,You Win or You Die,9.2,56311
1,8,The Pointy End,8.9,52471
1,9,Baelor,9.6,77036
1,10,Fire and Blood,9.4,64773
2,1,The North Remembers,8.6,48464
2,2,The Night Lands,8.3,46179
2,3,What Is Dead May Never Die,8.6,45612
2,4,Garden of Bones,8.6,44576
2,5,The Ghost of Harrenhal,8.6,44768
2,6,The Old Gods and the New,8.9,46656
2,7,A Man Without Honor,8.8,45158
2,8,The Prince of Winterfell,8.6,44387
2,9,Blackwater,9.7,84466
2,10,Valar Morghulis,9.3,54774
3,1,Valar Dohaeris,8.6,46588
3,2,"Dark Wings, Dark Words",8.4,43596
3,3,Walk of Punishment,8.7,44125
3,4,And Now His Watch Is Ended,9.5,61040
3,5,Kissed by Fire,8.9,46310
3,6,The Climb,8.7,44874
3,7,The Bear and the Maiden Fair,8.6,43446
3,8,Second Sons,8.9,44727
3,9,The Rains of Castamere,9.9,182110
3,10,Mhysa,9.1,50979
4,1,Two Swords,9,53462
4,2,The Lion and the Rose,9.7,87809
4,3,Breaker of Chains,8.7,46931
4,4,Oathkeeper,8.7,45323
4,5,First of His Name,8.6,44682
4,6,The Laws of Gods and Men,9.7,90446
4,7,Mockingbird,9,49354
4,8,The Mountain and the Viper,9.7,88068
4,9,The Watchers on the Wall,9.6,80285
4,10,The Children,9.7,78936
5,1,The Wars to Come,8.3,46002
5,2,The House of Black and White,8.3,42736
5,3,High Sparrow,8.3,41662
5,4,Sons of the Harpy,8.5,42580
5,5,Kill the Boy,8.5,42766
5,6,"Unbowed, Unbent, Unbroken",7.9,49933
5,7,The Gift,8.8,45205
5,8,Hardhome,9.8,142538
5,9,The Dance of Dragons,9.4,65223
5,10,Mother's Mercy,9.2,63689
6,1,The Red Woman,8.4,56374
6,2,Home,9.2,65379
6,3,Oathbreaker,8.6,50959
6,4,Book of the Stranger,9,55491
6,5,The Door,9.7,107573
6,6,Blood of My Blood,8.3,49888
6,7,The Broken Man,8.5,49168
6,8,No One,8.3,53862
6,9,Battle of the Bastards,9.9,308544
6,10,The Winds of Winter,9.9,227549
7,1,Dragonstone,8.5,67856
7,2,Stormborn,8.8,61007
7,3,The Queen's Justice,9.1,64776
7,4,The Spoils of War,9.7,123866
7,5,Eastwatch,8.6,60755
7,6,Beyond the Wall,9,86855
7,7,The Dragon and the Wolf,9.4,88443
8,1,Winterfell,7.6,158552
8,2,A Knight of the Seven Kingdoms,7.9,158568
8,3,The Long Night,7.5,253637
8,4,The Last of the Starks,5.5,193717
8,5,The Bells,5.9,225421
8,6,The Iron Throne,4,303088
