season,episode,title,rating,votes
1,1,The Original,8.8,24909
1,2,Chestnut,8.5,18938
1,3,The Stray,8.2,17331
1,4,Dissonance Theory,8.6,17264
1,5,Contrapasso,8.6,16477
1,6,The Adversary,8.8,16673
1,7,Trompe L'Oeil,9.4,22267
1,8,Trace Decay,8.7,15747
1,9,The Well-Tempered Clavier,9.3,20421
1,10,The Bicameral Mind,9.7,33222
2,1,Journey into Night,8.1,14109
2,2,Reunion,8,12117
2,3,Virtù e Fortuna,7.9,11365
2,4,The Riddle of the Sphinx,8.9,14726
2,5,Akane no Mai,7.8,12356
2,6,Phase Space,8,10654
2,7,Les Écorchés,8.5,11692
2,8,Kiksuya,9.2,19369
2,9,Vanishing Point,8.7,11656
2,10,The Passenger,8.7,13164
3,1,Parce Domine,8.2,11982
3,2,The Winter Line,8.1,9812
3,3,The Absence of Field,8.1,9285
3,4,The Mother of Exiles,8.7,10602
3,5,Genre,7.9,10026
3,6,Decoherence,8.2,8821
3,7,Passed Pawn,7.8,8352
3,8,Crisis Theory,7.2,10183
4,1,The Auguries,7.2,5746
4,2,Well Enough Alone,7.6,4853
4,3,Années Folles,8.1,5004
4,4,Generation Loss,8.7,6226
4,5,Zhuangzi,8.5,5320
4,6,Fidelity,8.1,4585
4,7,Metanoia,8.1,4605
4,8,"Que Será, Será",6.9,5346
