"index","Title","URL"
3,"Upper Mesa Falls","https://www.google.com/maps/place/Upper+Mesa+Falls/data=!4m2!3m1!1s0x53517d4dde1ab2c7:0x23c2a40f5ee1a694"
4,"L' Bacaro de' Bischeri","https://www.google.com/maps/place/L'+Bacaro+de'+Bischeri/data=!4m2!3m1!1s0x477eb1ddb83ec9d9:0x2d1ac237b880dabf"
5,"Uruapan Taco","https://www.google.com/maps/place/Uruapan+Taco/data=!4m2!3m1!1s0x80c2cb9b3795d93b:0x5aae7d62035c55bd"
6,"Il Santo Bevitore","https://www.google.com/maps/place/Il+Santo+Bevitore/data=!4m2!3m1!1s0x132a56ab5714d359:0xd0183c03de161b3b"
7,"I' Girone De' Ghiotti","https://www.google.com/maps/place/I'+Girone+De'+Ghiotti/data=!4m2!3m1!1s0x132a54010f7dcbc1:0xc93c0d1bebce9db4"
8,"Royal Palace of Caserta","https://www.google.com/maps/place/Royal+Palace+of+Caserta/data=!4m2!3m1!1s0x133a55b22aed1333:0xc79c020a24847245"
9,"Philomena's Pizza","https://www.google.com/maps/place/Philomena's+Pizza/data=!4m2!3m1!1s0x89c25f55cf7a74bd:0xaa79bdb59ff36960"
10,"F&F Pizzeria","https://www.google.com/maps/place/F%26F+Pizzeria/data=!4m2!3m1!1s0x89c25b3ab3b17d3b:0xb2095aabdfe0bf56"
11,"Camphor","https://www.google.com/maps/place/Camphor/data=!4m2!3m1!1s0x80c2c76c7e656d35:0xedbfe078ba7b3ac7"
12,"Soča","https://www.google.com/maps/place/So%C4%8Da/data=!4m2!3m1!1s0x477baa0061f316c3:0x163bee60453a3a0e"
13,"Chatuchak Weekend Market","https://www.google.com/maps/place/Chatuchak+Weekend+Market/data=!4m2!3m1!1s0x30e29c14e883f8dd:0x91f191d784b87d4b"
14,"Family Thaifood & Seafood","https://www.google.com/maps/place/Family+Thaifood+%26+Seafood/data=!4m2!3m1!1s0x3051c00f4f139b89:0xa090c94e2830d67f"
15,"RuenMai Restaurant","https://www.google.com/maps/place/RuenMai+Restaurant/data=!4m2!3m1!1s0x3051945310f042e5:0xfacf0a8c23823be"
16,"Pa-Noi Thai Food","https://www.google.com/maps/place/Pa-Noi+Thai+Food/data=!4m2!3m1!1s0x3051dee0395c861d:0xc52016d7280e19f7"
17,"R-HAAN","https://www.google.com/maps/place/R-HAAN/data=!4m2!3m1!1s0x30e29fab5a8cd9f9:0x1d16d2b8c5533110"
18,"Raan Jay Fai","https://www.google.com/maps/place/Raan+Jay+Fai/data=!4m2!3m1!1s0x30e29916f7bc1a6b:0xd7abaa5b13a1d242"
19,"Sam Lor","https://www.google.com/maps/place/Sam+Lor/data=!4m2!3m1!1s0x30e29949a21c764f:0x5244a59b041fbee"
20,"Saneh Jaan","https://www.google.com/maps/place/Saneh+Jaan/data=!4m2!3m1!1s0x30e29ed8ce3d6251:0xaa59932c8c873865"
21,"nahm","https://www.google.com/maps/place/nahm/data=!4m2!3m1!1s0x30e29f2fd8e6421d:0x3e3415d4024e98fa"
22,"Samrub Samrub Thai","https://www.google.com/maps/place/Samrub+Samrub+Thai/data=!4m2!3m1!1s0x30e299b910dfeb3f:0x85b25e6da0e9551a"
23,"80/20 Eighty Twenty","https://www.google.com/maps/place/80%2F20+Eighty+Twenty/data=!4m2!3m1!1s0x30e29910ab5387cf:0x73fd412d73b35383"
24,"Aksorn","https://www.google.com/maps/place/Aksorn/data=!4m2!3m1!1s0x30e2996bd1ab1511:0x519ff926a421da5e"
